#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,AbatediTivoliDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Abate di Tivoli,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
18,a,1,sonetto,ABABABAB CDCDCD,,11,"Ai deo d'amore, a te faccio preghera",1,1,0,1,0,1,1,0,0,1,
18,a,2,sonetto,ABABABAB CDCDCD,,11,ca mi 'ntendiate s' io chero razone:,0,0,0,1,0,0,1,0,0,1,
18,a,3,sonetto,ABABABAB CDCDCD,,11,"cad io son tutto fatto a tua manera,",0,1,0,1,0,1,0,0,0,1,
18,a,4,sonetto,ABABABAB CDCDCD,,11,aggio cavelli e barba a tua fazzone,1,0,0,1,0,1,0,0,0,1,
18,a,5,sonetto,ABABABAB CDCDCD,,11,"ed ogni parte aio, viso e cera,",0,0,0,1,0,1,0,1,0,1,
18,a,6,sonetto,ABABABAB CDCDCD,,11,e seggio in quattro serpi ogni stagione;,0,1,0,1,0,1,1,0,0,1,
18,a,7,sonetto,ABABABAB CDCDCD,,11,"per l'ali gran giornata m'è leggera,",0,1,0,0,0,1,0,0,0,1,
18,a,8,sonetto,ABABABAB CDCDCD,,11,son ben nato a tua isperagione.,0,0,1,0,0,1,0,0,0,1,
18,a,9,sonetto,ABABABAB CDCDCD,,11,"E son montato per le quattro scale,",0,0,0,1,0,0,0,1,0,1,
18,a,10,sonetto,ABABABAB CDCDCD,,11,"e som'asiso, ma tu m'ài feruto",0,0,0,1,0,0,1,0,0,1,
18,a,11,sonetto,ABABABAB CDCDCD,,11,"de lo dardo de l'auro, ond'ò gran male,",0,0,1,0,0,1,0,1,0,1,
18,a,12,sonetto,ABABABAB CDCDCD,,11,che per mezzo lo core m'ài partuto:,0,0,1,0,0,1,0,0,0,1,
18,a,13,sonetto,ABABABAB CDCDCD,,11,di quello de lo piombo fo altretale,0,1,0,0,0,1,0,0,0,1,
18,a,14,sonetto,ABABABAB CDCDCD,,11,a quella per cui questo m'è avenuto.,0,1,0,0,0,1,0,0,0,1,
18,c,1,sonetto,ABABABAB CDECDE,,11,"Qual om riprende altrui spessamente,",0,1,0,1,0,1,0,0,0,1,
