#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,AnonimoDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Anonimo,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,https://docs.google.com/spreadsheets/d/1DiCf8WOqPCy24lvym6Qv2wbU-Cktc2jVoC8HE77gFb4/edit?usp=sharing,,,# file da cui è stato esportato,,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzonetta,ababab cdcdcd,,7,Oi lassa 'namorata!,0,1,0,0,0,1,0,0,0,0,
1,,2,canzonetta,ababab cdcdcd,,7,contar voglio mia vita,0,1,1,0,0,1,0,0,0,0,
1,,3,canzonetta,ababab cdcdcd,,7,e dire ogne fïata,0,1,1,0,0,1,0,0,0,0,
1,,4,canzonetta,ababab cdcdcd,,7,"come l'Amor m'invita,",1,0,0,1,0,1,0,0,0,0,
1,,5,canzonetta,ababab cdcdcd,,7,"ch'io son, sanza pecata,",0,1,1,0,0,1,0,0,0,0,
1,,6,canzonetta,ababab cdcdcd,,7,d'assai pene guernita,0,1,1,0,0,1,0,0,0,0,
1,,7,canzonetta,ababab cdcdcd,,7,per uno ch'amo e voglio,0,1,0,1,0,1,0,0,0,0,
1,,8,canzonetta,ababab cdcdcd,,7,e no· ll'aggio in mia baglia,0,0,1,0,0,1,0,0,0,0,
1,,9,canzonetta,ababab cdcdcd,,7,sì com'avere soglio;,1,0,0,1,0,1,0,0,0,0,
1,,10,canzonetta,ababab cdcdcd,,7,però pato travaglia,0,0,1,0,0,1,0,0,0,0,
1,,11,canzonetta,ababab cdcdcd,,7,"ed or mi mena orgoglio,",0,1,0,1,0,1,0,0,0,0,
1,,12,canzonetta,ababab cdcdcd,,7,lo cor mi fende e taglia.,0,1,0,1,0,1,0,0,0,0,
1,,13,canzonetta,ababab cdcdcd,,7,"Oi lassa tapinella,",0,1,0,0,0,1,0,0,0,0,
1,,14,canzonetta,ababab cdcdcd,,7,come l'amor m'à prisa!,1,0,0,1,0,1,0,0,0,0,
1,,15,canzonetta,ababab cdcdcd,,7,che lo suo amor m'apella,0,0,0,1,0,1,0,0,0,0,
1,,16,canzonetta,ababab cdcdcd,,7,quello che m'à conquisa.,1,0,0,1,0,1,0,0,0,0,
1,,17,canzonetta,ababab cdcdcd,,7,La sua persona bella,0,0,0,1,0,1,0,0,0,0,
1,,18,canzonetta,ababab cdcdcd,,7,tolto m'à gioco e risa,1,0,1,1,0,1,0,0,0,0,
1,,19,canzonetta,ababab cdcdcd,,7,ed àmi messa in pene,0,1,0,1,0,1,0,0,0,0,
1,,20,canzonetta,ababab cdcdcd,,7,ed in tormenti forte.,0,0,0,1,0,1,0,0,0,0,
1,,21,canzonetta,ababab cdcdcd,,7,Mai non credo aver bene,1,0,1,0,1,1,0,0,0,0,
1,,22,canzonetta,ababab cdcdcd,,7,se non m'acorre morte;,0,0,0,1,0,1,0,0,0,0,
1,,23,canzonetta,ababab cdcdcd,,7,"aspètola che vene,",0,1,0,0,0,1,0,0,0,0,
1,,24,canzonetta,ababab cdcdcd,,7,tràgami d'este sorte.,1,0,0,1,0,1,0,0,0,0,
1,,25,canzonetta,ababab cdcdcd,,7,"Lassa, che mi dicea",1,0,0,0,0,1,0,0,0,0,
1,,26,canzonetta,ababab cdcdcd,,7,quando m'avea in celato:,1,0,0,1,0,1,0,0,0,0,
1,,27,canzonetta,ababab cdcdcd,,7,"«Di te, oi vita mea,",0,1,0,1,0,1,0,0,0,0,
1,,28,canzonetta,ababab cdcdcd,,7,mi tegno più pagato,0,1,0,0,0,1,0,0,0,0,
1,,29,canzonetta,ababab cdcdcd,,7,ca ss'io avesse in ballìa,0,0,1,0,0,1,0,0,0,0,
1,,30,canzonetta,ababab cdcdcd,,7,lo mondo a segnorato».,0,1,0,0,0,1,0,0,0,0,
1,,31,canzonetta,ababab cdcdcd,,7,Ed or m'à a disdegnanza,0,1,1,0,0,1,0,0,0,0,
1,,32,canzonetta,ababab cdcdcd,,7,e fami scanoscenza;,0,1,0,0,0,1,0,0,0,0,
1,,33,canzonetta,ababab cdcdcd,,7,par ch'aggia e' d'altr'amanza.,0,1,1,0,0,1,0,0,0,0,
