#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,ArrigoTestaDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Arrigo Testa,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,abbc abbc cddeeffc,,7,Vostra orgogliosa cera,1,0,0,1,0,1,0,0,0,0,
1,,2,canzone,abbc abbc cddeeffc,,7,e la fera sembianza,0,0,1,0,0,1,0,0,0,0,
1,,3,canzone,abbc abbc cddeeffc,,7,mi tra' di fin'amanza,0,1,0,1,0,1,0,0,0,0,
1,,4,canzone,abbc abbc cddeeffc,,7,e metemi in erore;,0,1,0,0,0,1,0,0,0,0,
1,,5,canzone,abbc abbc cddeeffc,,7,fami tener manera,1,0,0,1,0,1,0,0,0,0,
1,,6,canzone,abbc abbc cddeeffc,,7,"d'omo ch'è 'n disperanza,",1,0,1,0,0,1,0,0,0,0,
1,,7,canzone,abbc abbc cddeeffc,,7,e nonn à in sé membranza,0,0,1,1,0,1,0,0,0,0,
1,,8,canzone,abbc abbc cddeeffc,,7,d'avere alcun valore.,0,1,0,1,0,1,0,0,0,0,
1,,9,canzone,abbc abbc cddeeffc,,7,In ciò blasimo Amore,0,1,1,0,0,1,0,0,0,0,
1,,10,canzone,abbc abbc cddeeffc,,7,"che non vi dà misura,",0,0,0,1,0,1,0,0,0,0,
1,,11,canzone,abbc abbc cddeeffc,,7,vedendo voi sì dura,0,1,0,1,0,1,0,0,0,0,
1,,12,canzone,abbc abbc cddeeffc,,7,ver' naturale usanza;,1,0,0,1,0,1,0,0,0,0,
1,,13,canzone,abbc abbc cddeeffc,,7,ben passa costumanza,0,1,0,0,0,1,0,0,0,0,
1,,14,canzone,abbc abbc cddeeffc,,7,ed è quasi fuor d'uso,0,0,1,0,0,1,0,0,0,0,
1,,15,canzone,abbc abbc cddeeffc,,7,l'afar vostro noioso,0,1,1,0,0,1,0,0,0,0,
1,,16,canzone,abbc abbc cddeeffc,,7,per livezzi di core.,0,0,1,0,0,1,0,0,0,0,
1,,17,canzone,abbc abbc cddeeffc,,7,Del vostro cor certanza,0,1,0,1,0,1,0,0,0,0,
