#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,Chariteo_Endimione_testoCIBIT,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Endimione di Chariteo. Riadattato dall'archivio AMI originale. ,,,,,,,,,,,,,,,,,
#dc:author,"Chariteo",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Endimione",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"testoCIBIT",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,Non disponibile,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,sonetto,ABBA ABBA CDC DCD,-,11,"Se 'l foco del mio casto, alto desio",0,1,0,0,0,1,1,0,0,1,nessuna
1,-,2,sonetto,ABBA ABBA CDC DCD,-,11,"Non havesse aspirato a vero honore,",0,0,1,0,0,1,0,1,0,1,nessuna
1,-,3,sonetto,ABBA ABBA CDC DCD,-,11,"Sarebbe stato insano et folle errore,",0,1,0,1,0,1,0,1,0,1,nessuna
1,-,4,sonetto,ABBA ABBA CDC DCD,-,11,Havere aperto al mondo il voler mio.,0,1,0,1,0,1,0,0,1,1,nessuna
1,-,5,sonetto,ABBA ABBA CDC DCD,-,11,"Poi che vertù lo mosse, ardir pres'io",1,0,0,1,0,1,0,1,0,1,nessuna
1,-,6,sonetto,ABBA ABBA CDC DCD,-,11,"Di far chiaro ad ciascun, senza timore,",0,0,1,0,0,1,1,0,0,1,nessuna
1,-,7,sonetto,ABBA ABBA CDC DCD,-,11,"Il tanto honesto et sì pudico ardore,",0,1,0,1,0,0,0,1,0,1,nessuna
1,-,8,sonetto,ABBA ABBA CDC DCD,-,11,Che contra il Re del ciel mai non fallìo.,0,1,0,1,0,1,1,0,0,1,nessuna
1,-,9,sonetto,ABBA ABBA CDC DCD,-,11,Per la mia diva io vidi exempio in terra,0,0,0,1,0,1,0,1,0,1,nessuna
1,-,10,sonetto,ABBA ABBA CDC DCD,-,11,"Degli angeli, et in opre et in figura,",0,1,0,0,0,1,0,0,0,1,nessuna
1,-,11,sonetto,ABBA ABBA CDC DCD,-,11,Che contra il vil pensier fe' sempre guerra.,0,1,0,1,0,1,0,1,0,1,nessuna
1,-,12,sonetto,ABBA ABBA CDC DCD,-,11,"Io l'adorai come sustantia pura,",0,0,0,1,0,0,0,1,0,1,nessuna
1,-,13,sonetto,ABBA ABBA CDC DCD,-,11,"Da presso et da lontan: ché l'huom non erra,",0,1,0,0,0,1,0,1,0,1,nessuna
1,-,14,sonetto,ABBA ABBA CDC DCD,-,11,Il fattor adorando in sua factura.,0,0,1,0,0,1,0,0,0,1,nessuna
2,-,1,sonetto,ABBA ABBA CDC DCD,-,11,"Son gemini gli Amori: un, casto et pio;",0,1,0,0,0,1,0,1,0,1,nessuna
2,-,2,sonetto,ABBA ABBA CDC DCD,-,11,L'altro furente in desiderio insano:,1,0,0,1,0,0,0,1,0,1,nessuna
2,-,3,sonetto,ABBA ABBA CDC DCD,-,11,"Questo si mostra in terra in volto humano,",1,0,0,1,0,1,0,1,0,1,nessuna
2,-,4,sonetto,ABBA ABBA CDC DCD,-,11,Quel vola per li cieli in lato idio.,1,1,0,0,0,1,0,1,0,1,nessuna
2,-,5,sonetto,ABBA ABBA CDC DCD,-,11,"Qual di duo raccendesse il petto mio,",1,0,1,0,0,1,0,1,0,1,nessuna
2,-,6,sonetto,ABBA ABBA CDC DCD,-,11,"Lo sa colei, che 'l cor mi tiene in mano:",0,0,0,1,0,1,0,1,0,1,nessuna
2,-,7,sonetto,ABBA ABBA CDC DCD,-,11,"Arsi da presso, et arsi di lontano,",1,0,0,1,0,1,0,0,0,1,nessuna
2,-,8,sonetto,ABBA ABBA CDC DCD,-,11,Con la speranza eguale al gran desio.,0,0,0,1,0,1,0,0,0,1,nessuna
2,-,9,sonetto,ABBA ABBA CDC DCD,-,11,"Con vïolenta voglia et importuna,",0,0,0,1,0,1,0,0,0,1,nessuna
2,-,10,sonetto,ABBA ABBA CDC DCD,-,11,"Anhelando al sidereo, almo paese,",0,0,1,0,0,1,1,0,0,1,nessuna
2,-,11,sonetto,ABBA ABBA CDC DCD,-,11,Servii senza cercar mercede alcuna.,0,1,1,0,0,1,0,1,0,1,nessuna
2,-,12,sonetto,ABBA ABBA CDC DCD,-,11,Celeste fu la fiamma che m'accese:,0,1,0,1,0,1,0,0,0,1,nessuna
2,-,13,sonetto,ABBA ABBA CDC DCD,-,11,"Ché di quelle, che in ciel movon la luna,",0,0,1,0,0,1,1,0,0,1,nessuna
2,-,14,sonetto,ABBA ABBA CDC DCD,-,11,Una angelica forma il cor mi prese.,0,0,1,0,0,1,0,1,0,1,nessuna
3,-,1,sonetto,ABBA ABBA CDC DCD,-,11,"Principe, sol di Alcide in terra un pegno,",1,0,0,1,0,1,0,1,0,1,nessuna
3,-,2,sonetto,ABBA ABBA CDC DCD,-,11,"Che i feri, horrendi mostri atterra et preme;",0,1,0,1,0,1,0,1,0,1,nessuna
3,-,3,sonetto,ABBA ABBA CDC DCD,-,11,"Di populi indigenti unica speme,",0,1,0,0,0,1,1,0,0,1,nessuna
3,-,4,sonetto,ABBA ABBA CDC DCD,-,11,"Et sol di monarchia, più ch'altri, degno;",0,1,0,0,0,1,0,1,0,1,nessuna
3,-,5,sonetto,ABBA ABBA CDC DCD,-,11,"Il tuo valor, coraggio et alto ingegno",0,0,0,1,0,1,0,1,0,1,nessuna
3,-,6,sonetto,ABBA ABBA CDC DCD,-,11,"Dan tal dilecto et meraviglia inseme,",0,0,0,1,0,0,0,1,0,1,nessuna
3,-,7,sonetto,ABBA ABBA CDC DCD,-,11,"Ch'avendo te, nullo adversario teme",0,1,0,1,1,0,0,1,0,1,nessuna
3,-,8,sonetto,ABBA ABBA CDC DCD,-,11,Questo d'Italia bella il più bel regno.,1,0,0,1,0,1,0,0,0,1,nessuna
3,-,9,sonetto,ABBA ABBA CDC DCD,-,11,"In arme huom hoggi incontro ad te non vale,",0,1,1,0,0,1,0,1,0,1,nessuna
3,-,10,sonetto,ABBA ABBA CDC DCD,-,11,"Ché con tal gratia et forza il braccio extendi,",0,0,0,1,0,1,0,1,0,1,nessuna
3,-,11,sonetto,ABBA ABBA CDC DCD,-,11,Che i movimenti son sovra huom mortale.,0,0,0,1,0,0,0,1,0,1,nessuna
3,-,12,sonetto,ABBA ABBA CDC DCD,-,11,"Ardisco dirlo, et tu da te 'l comprendi:",0,1,0,1,0,0,0,1,0,1,nessuna
3,-,13,sonetto,ABBA ABBA CDC DCD,-,11,Tu non ritroverai nel mondo eguale;,1,0,0,0,0,1,0,1,0,1,nessuna
3,-,14,sonetto,ABBA ABBA CDC DCD,-,11,Se già tu stesso teco non contendi.,0,0,0,1,0,1,0,0,0,1,nessuna
4,-,1,sonetto,ABBA ABBA CDC DCD,-,11,Ad quanto un cor gentile ama et desia,0,1,0,1,0,1,1,0,0,1,nessuna
4,-,2,sonetto,ABBA ABBA CDC DCD,-,11,"Le mie speranze et voglie hor son sì pronte,",0,0,0,1,0,1,0,0,0,1,nessuna
4,-,3,sonetto,ABBA ABBA CDC DCD,-,11,Ch'io spero anchor di lauro ornar la fronte,0,1,0,1,0,1,0,1,0,1,nessuna
4,-,4,sonetto,ABBA ABBA CDC DCD,-,11,Nel dolce luogo dove io nacqui pria.,0,1,0,1,0,1,0,1,0,1,nessuna
4,-,5,sonetto,ABBA ABBA CDC DCD,-,11,"Primo sarò, che 'n l'alta patria mia",1,0,0,1,0,1,0,1,0,1,nessuna
4,-,6,sonetto,ABBA ABBA CDC DCD,-,11,"Condurò d'Aganippe il vivo fonte,",0,0,1,0,0,1,0,1,0,1,nessuna
4,-,7,sonetto,ABBA ABBA CDC DCD,-,11,"Venerando di Giove il sacro monte,",0,0,1,0,0,1,0,1,0,1,nessuna
4,-,8,sonetto,ABBA ABBA CDC DCD,-,11,Se morte dal pensier non mi disvia.,0,1,0,0,0,1,0,0,0,1,nessuna
4,-,9,sonetto,ABBA ABBA CDC DCD,-,11,E 'n su la riva dal purpureo fiume,0,0,0,1,0,0,0,1,0,1,nessuna
4,-,10,sonetto,ABBA ABBA CDC DCD,-,11,"Io vo' constituire un aureo templo,",1,0,0,0,0,1,0,1,0,1,nessuna
4,-,11,sonetto,ABBA ABBA CDC DCD,-,11,In memoria del mio celeste lume.,0,0,1,0,0,1,0,1,0,1,nessuna
4,-,12,sonetto,ABBA ABBA CDC DCD,-,11,"Et tu, Aragonio sol, ch'or io contemplo,",0,1,0,1,0,1,0,0,0,1,nessuna
4,-,13,sonetto,ABBA ABBA CDC DCD,-,11,"Sarai del primo altare il primo nume,",0,1,0,1,0,1,0,1,0,1,nessuna
4,-,14,sonetto,ABBA ABBA CDC DCD,-,11,Ché de divinità sei primo exemplo.,1,0,0,0,0,1,0,1,0,1,nessuna
