#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,CinodaPistoia_Rime_Marti1969,,,,,,,,,,,,,,,,,
#dc:description,questa è una trascrizione fatta nel corso dei progetti precedenti.,,,,,,,,,,,,,,,,,
#dc:author,"Cino da Pistoia",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Rime",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Marti,1969",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/SBL0096611,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,sonetto,ABBA ABBA CDE EDC,-,11,"Veduto han gli occhi miei sì bella cosa,",0,1,0,1,0,1,0,1,0,1,nessuna
1,-,2,sonetto,ABBA ABBA CDE EDC,-,11,"che dentro dal mio cor dipinta l'hanno,",0,1,0,0,0,1,0,1,0,1,nessuna
1,-,3,sonetto,ABBA ABBA CDE EDC,-,11,"e se per veder lei tuttor no stanno,",0,1,0,0,0,1,0,1,0,0,nessuna
1,-,4,sonetto,ABBA ABBA CDE EDC,-,11,"infin che non la trovan non han posa,",0,1,0,0,0,1,0,0,0,1,nessuna
1,-,5,sonetto,ABBA ABBA CDE EDC,-,11,"e fatt'han l'alma mia sì amorosa,",0,0,1,1,0,1,0,0,0,1,nessuna
1,-,6,sonetto,ABBA ABBA CDE EDC,-,11,"che tutto corro in amoroso affanno,",0,1,0,1,0,0,0,1,0,1,nessuna
1,-,7,sonetto,ABBA ABBA CDE EDC,-,11,"e quando col suo sguardo scontro fanno,",0,1,0,0,0,1,0,1,0,1,nessuna
1,-,8,sonetto,ABBA ABBA CDE EDC,-,11,toccan lo cor che sovra 'l ciel gir osa.,1,0,0,1,0,1,0,1,0,1,nessuna
1,-,9,sonetto,ABBA ABBA CDE EDC,-,11,"Fanno li occhi a lo mio core scorta,",1,0,0,1,0,0,0,1,0,1,nessuna
1,-,10,sonetto,ABBA ABBA CDE EDC,-,11,"fermandol ne la fé d'amor più forte,",0,1,0,0,0,1,0,1,0,1,nessuna
1,-,11,sonetto,ABBA ABBA CDE EDC,-,11,quando risguardan lo su' novo viso;,1,0,0,1,0,0,0,1,0,1,nessuna
1,-,12,sonetto,ABBA ABBA CDE EDC,-,11,"e tanto passa in su' desiar fiso,",0,1,0,1,0,0,0,1,0,1,nessuna
1,-,13,sonetto,ABBA ABBA CDE EDC,-,11,"che 'l dolce imaginar li daria morte,",0,1,0,0,0,1,0,0,1,1,nessuna
1,-,14,sonetto,ABBA ABBA CDE EDC,-,11,sed e' non fosse Amor che lo conforta.,0,0,0,1,0,1,0,0,0,1,nessuna
2,-,1,sonetto,ABBA ABBA CDC CDC,-,11,Tutto mi salva il dolce salutare,1,0,0,1,0,1,0,0,0,1,nessuna
2,-,2,sonetto,ABBA ABBA CDC CDC,-,11,"che vèn da quella ch'è somma salute,",0,1,0,1,0,0,1,0,0,1,nessuna
2,-,3,sonetto,ABBA ABBA CDC CDC,-,11,in cui le grazie son tutte compiute:,0,1,0,1,0,0,1,0,0,1,nessuna
2,-,4,sonetto,ABBA ABBA CDC CDC,-,11,con lei va Amor che con lei nato pare.,0,1,0,1,0,0,1,1,0,1,nessuna
2,-,5,sonetto,ABBA ABBA CDC CDC,-,11,"E fa rinovellar la terra e l'âre,",0,1,0,0,0,1,0,1,0,1,nessuna
2,-,6,sonetto,ABBA ABBA CDC CDC,-,11,e rallegrar lo ciel la sua vertute;,0,0,0,1,0,1,0,0,0,1,nessuna
2,-,7,sonetto,ABBA ABBA CDC CDC,-,11,giammai non fuor tai novità vedute,0,1,0,1,0,0,0,1,0,1,nessuna
2,-,8,sonetto,ABBA ABBA CDC CDC,-,11,quali ci face Dio per lei mostrare.,1,0,0,1,0,1,0,1,0,1,nessuna
2,-,9,sonetto,ABBA ABBA CDC CDC,-,11,"Quando va fuor adorna, par che 'l mondo",1,0,0,1,0,1,0,1,0,0,nessuna
2,-,10,sonetto,ABBA ABBA CDC CDC,-,11,"sia tutto pien di spiriti d'amore,",1,0,0,1,0,1,0,0,0,1,nessuna
2,-,11,sonetto,ABBA ABBA CDC CDC,-,11,sì ch'ogni gentil cor deven giocondo.,0,1,0,0,0,1,0,1,0,1,nessuna
2,-,12,sonetto,ABBA ABBA CDC CDC,-,11,"E lo villan domanda: ""Ove m'ascondo?"";",0,0,0,1,0,1,1,0,0,1,nessuna
2,-,13,sonetto,ABBA ABBA CDC CDC,-,11,per tema di morir vòl fuggir fòre;,0,1,0,0,0,1,1,0,1,1,nessuna
2,-,14,sonetto,ABBA ABBA CDC CDC,-,11,"ch'abbassi li occhi l'omo allor, rispondo.",0,1,0,1,0,1,0,1,0,1,nessuna
3,-,1,sonetto,ABBA ABBA CDE DCE,-,11,Una gentil piacevol giovanella,0,0,0,1,0,1,0,0,0,1,nessuna
3,-,2,sonetto,ABBA ABBA CDE DCE,-,11,"adorna vèn d'angelica vertute,",0,1,0,1,0,1,0,0,0,1,nessuna
3,-,3,sonetto,ABBA ABBA CDE DCE,-,11,"in compagnia di sì dolce salute,",0,0,0,1,0,0,1,0,0,1,nessuna
3,-,4,sonetto,ABBA ABBA CDE DCE,-,11,che qual la sente poi d'amor favella.,0,1,0,1,0,1,0,1,0,1,nessuna
3,-,5,sonetto,ABBA ABBA CDE DCE,-,11,"Ella m'aparve agli occhi tanto bella,",1,0,0,1,0,1,0,1,0,1,nessuna
3,-,6,sonetto,ABBA ABBA CDE DCE,-,11,che per entr'un penser al cor venute,0,0,1,0,0,1,0,1,0,1,nessuna
3,-,7,sonetto,ABBA ABBA CDE DCE,-,11,"son parolette, che dal cor vedut'è",1,0,0,1,0,0,0,1,0,1,nessuna
3,-,8,sonetto,ABBA ABBA CDE DCE,-,11,abbia 'n vertù d'esta gioia novella;,1,0,0,1,0,0,1,0,0,1,nessuna
3,-,9,sonetto,ABBA ABBA CDE DCE,-,11,la quale ha presa sì la mente nostra,0,1,0,1,0,1,0,1,0,1,nessuna
3,-,10,sonetto,ABBA ABBA CDE DCE,-,11,"e l'ha coverta di sì dolce amore,",0,0,0,1,0,0,0,1,0,1,nessuna
3,-,11,sonetto,ABBA ABBA CDE DCE,-,11,ch'ella non può pensar se non di lei:,1,0,0,0,0,1,0,0,0,1,nessuna
3,-,12,sonetto,ABBA ABBA CDE DCE,-,11,"""Vedi com'è soave il su' valore!",1,0,0,0,0,1,0,0,0,1,nessuna
3,-,13,sonetto,ABBA ABBA CDE DCE,-,11,ch'agli occhi nostri apertamente mostra,0,1,0,1,0,0,0,1,0,1,nessuna
3,-,14,sonetto,ABBA ABBA CDE DCE,-,11,"come tu dèi aver gran gioi da lei"".",1,0,0,1,0,1,0,1,0,1,nessuna
4,-,1,sonetto,ABAB ABAB CDE CDE,-,11,"Vedete, donne, bella creatura",0,1,0,1,0,1,0,0,0,1,nessuna
4,-,2,sonetto,ABAB ABAB CDE CDE,-,11,che sta tra voi maravigliosamente!,0,1,0,1,0,0,0,0,0,1,nessuna
4,-,3,sonetto,ABAB ABAB CDE CDE,-,11,Vedeste mai così nova figura,0,1,0,1,0,0,1,0,0,1,nessuna
4,-,4,sonetto,ABAB ABAB CDE CDE,-,11,o così savia giovane piacente?,0,0,0,1,0,1,0,0,0,1,nessuna
4,-,5,sonetto,ABAB ABAB CDE CDE,-,11,Ella per certo l'umana natura,1,0,0,1,0,0,1,0,0,1,nessuna
4,-,6,sonetto,ABAB ABAB CDE CDE,-,11,e tutte voi adorna similmente;,0,0,0,1,0,1,0,0,0,1,nessuna
4,-,7,sonetto,ABAB ABAB CDE CDE,-,11,ponete a li atti suoi piacenti cura,0,1,0,1,0,1,0,1,0,1,nessuna
4,-,8,sonetto,ABAB ABAB CDE CDE,-,11,che fan maravigliar tutta la gente.,0,1,0,0,0,1,1,0,0,1,nessuna
4,-,9,sonetto,ABAB ABAB CDE CDE,-,11,"Quanto si puote, a prova l'onorate,",1,0,0,1,0,1,0,0,0,1,nessuna
4,-,10,sonetto,ABAB ABAB CDE CDE,-,11,"donne gentil, ché tutte voi onora,",1,0,0,1,0,0,0,1,0,1,nessuna
