#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,DanteAlighieri_Inferno_Petrocchi,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Inferno di Dante Alighieri. Riadattato dall'archivio AMI originale. ,,,,,,,,,,,,,,,,,
#dc:author,"Dante Alighieri",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Inferno",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Petrocchi",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,Non disponibile,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,terzina,-,-,11,Nel mezzo del cammin di nostra vita,0,1,0,0,0,1,0,1,0,1,nessuna
1,-,2,terzina,-,-,11,mi ritrovai per una selva oscura,0,0,0,1,0,0,0,1,0,1,nessuna
1,-,3,terzina,-,-,11,ché la diritta via era smarrita.,0,0,0,1,0,1,1,0,0,1,nessuna
1,-,4,terzina,-,-,11,Ahi quanto a dir qual era è cosa dura,0,1,0,1,0,1,0,1,0,1,nessuna
1,-,5,terzina,-,-,11,esta selva selvaggia e aspra e forte,1,0,1,0,0,1,0,1,0,1,nessuna
1,-,6,terzina,-,-,11,che nel pensier rinova la paura!,0,0,0,1,0,1,0,0,0,1,nessuna
1,-,7,terzina,-,-,11,Tant'è amara che poco è più morte;,0,1,0,1,0,0,1,0,1,1,nessuna
1,-,8,terzina,-,-,11,"ma per trattar del ben ch'i' vi trovai,",0,0,0,1,0,1,0,0,0,1,nessuna
1,-,9,terzina,-,-,11,dirò de l'altre cose ch'i' v'ho scorte.,0,1,0,1,0,1,0,0,0,1,nessuna
1,-,10,terzina,-,-,11,"Io non so ben ridir com'i' v'intrai,",0,0,1,1,0,1,0,1,0,1,nessuna
1,-,11,terzina,-,-,11,tant'era pien di sonno a quel punto,0,1,0,1,0,1,0,0,0,1,nessuna
1,-,12,terzina,-,-,11,che la verace via abbandonai.,0,0,0,1,0,1,0,0,0,1,nessuna
1,-,13,terzina,-,-,11,"Ma poi ch'i' fui al piè d'un colle giunto,",0,1,0,1,0,1,0,1,0,1,nessuna
1,-,14,terzina,-,-,11,là dove terminava quella valle,0,1,0,0,0,1,0,1,0,1,nessuna
1,-,15,terzina,-,-,11,"che m'avea di paura il cor compunto,",0,0,1,0,0,1,0,1,0,1,nessuna
1,-,16,terzina,-,-,11,"guardai in alto, e vidi le sue spalle",0,1,0,1,0,1,0,0,0,1,nessuna
