#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,DanteAlighieri_Paradiso_Petrocchi,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Paradiso di Dante Alighieri. Riadattato dall'archivio AMI originale. ,,,,,,,,,,,,,,,,,
#dc:author,"Dante Alighieri",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Paradiso",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Petrocchi",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,Non disponibile,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,terzina,-,-,11,La gloria di colui che tutto move,0,1,0,0,0,1,0,1,0,1,nessuna
1,-,2,terzina,-,-,11,"per l'universo penetra, e risplende",0,0,0,1,0,1,0,0,0,1,nessuna
1,-,3,terzina,-,-,11,in una parte più e meno altrove.,0,0,0,1,0,1,0,1,0,1,nessuna
1,-,4,terzina,-,-,11,Nel ciel che più de la sua luce prende,0,1,0,1,0,0,0,1,0,1,nessuna
1,-,5,terzina,-,-,11,"fu' io, e vidi cose che ridire",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,6,terzina,-,-,11,né sa né può chi di là sù discende;,0,1,0,1,0,0,0,1,0,1,nessuna
1,-,7,terzina,-,-,11,"perché appressando sé al suo disire,",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,8,terzina,-,-,11,"nostro intelletto si profonda tanto,",1,0,0,1,0,0,0,1,0,1,nessuna
1,-,9,terzina,-,-,11,che dietro la memoria non può ire.,0,1,0,0,0,1,0,0,1,1,nessuna
1,-,10,terzina,-,-,11,Veramente quant'io del regno santo,0,0,1,0,0,1,0,1,0,1,nessuna
1,-,11,terzina,-,-,11,"ne la mia mente potei far tesoro,",0,0,0,1,0,0,0,1,0,1,nessuna
1,-,12,terzina,-,-,11,sarà ora materia del mio canto.,0,1,1,0,0,1,0,0,0,1,nessuna
1,-,13,terzina,-,-,11,"O buono Appollo, a l'ultimo lavoro",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,14,terzina,-,-,11,"fammi del tuo valor sì fatto vaso,",1,0,0,0,0,1,0,1,0,1,nessuna
1,-,15,terzina,-,-,11,come dimandi a dar l'amato alloro.,1,0,0,1,0,1,0,1,0,1,nessuna
1,-,16,terzina,-,-,11,Infino a qui l'un giogo di Parnaso,0,1,0,1,0,1,0,0,0,1,nessuna
1,-,17,terzina,-,-,11,assai mi fu; ma or con amendue,0,1,0,1,0,1,0,0,0,1,nessuna
1,-,18,terzina,-,-,11,m'è uopo intrar ne l'aringo rimaso.,0,1,0,1,0,0,1,0,0,1,nessuna
1,-,19,terzina,-,-,11,"Entra nel petto mio, e spira tue",1,0,0,1,0,1,0,1,0,1,nessuna
1,-,20,terzina,-,-,11,sì come quando Marsia traesti,0,1,0,1,0,1,0,0,0,1,nessuna
1,-,21,terzina,-,-,11,de la vagina de le membra sue.,0,0,0,1,0,0,0,1,0,1,nessuna
1,-,22,terzina,-,-,11,"O divina virtù, se mi ti presti",0,0,1,0,0,1,0,0,0,1,nessuna
1,-,23,terzina,-,-,11,tanto che l'ombra del beato regno,1,0,0,1,0,0,0,1,0,1,nessuna
1,-,24,terzina,-,-,11,"segnata nel mio capo io manifesti,",0,1,0,0,0,1,0,0,0,1,nessuna
1,-,25,terzina,-,-,11,vedra'mi al piè del tuo diletto legno,0,1,0,1,0,0,0,1,0,1,nessuna
1,-,26,terzina,-,-,11,"venire, e coronarmi de le foglie",0,1,0,0,0,1,0,0,0,1,nessuna
1,-,27,terzina,-,-,11,che la materia e tu mi farai degno.,0,0,0,1,0,1,0,0,1,1,nessuna
1,-,28,terzina,-,-,11,"Sì rade volte, padre, se ne coglie",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,29,terzina,-,-,11,"per triunfare o cesare o poeta,",0,0,0,1,0,1,0,0,0,1,nessuna
1,-,30,terzina,-,-,11,"colpa e vergogna de l'umane voglie,",1,0,0,1,0,0,0,1,0,1,nessuna
1,-,31,terzina,-,-,11,che parturir letizia in su la lieta,0,0,0,1,0,1,0,0,0,1,nessuna
1,-,32,terzina,-,-,11,delfica deità dovria la fronda,1,0,0,0,0,1,0,1,0,1,nessuna
