#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,DanteAlighieri_Purgatorio_Petrocchi,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Purgatorio di Dante Alighieri. Riadattato dall'archivio AMI originale. ,,,,,,,,,,,,,,,,,
#dc:author,"Dante Alighieri",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Purgatorio",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Petrocchi",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,Non disponibile,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,terzina,-,-,11,Per correr miglior acque alza le vele,0,1,0,0,0,1,1,0,0,1,nessuna
1,-,2,terzina,-,-,11,"omai la navicella del mio ingegno,",0,1,0,0,0,1,0,0,0,1,nessuna
1,-,3,terzina,-,-,11,che lascia dietro a sé mar sì crudele;,0,1,0,1,0,1,1,0,0,1,nessuna
1,-,4,terzina,-,-,11,e canterò di quel secondo regno,0,0,0,1,0,0,0,1,0,1,nessuna
1,-,5,terzina,-,-,11,dove l'umano spirito si purga,1,0,0,1,0,1,0,0,0,1,nessuna
1,-,6,terzina,-,-,11,e di salire al ciel diventa degno.,0,0,0,1,0,1,0,1,0,1,nessuna
1,-,7,terzina,-,-,11,"Ma qui la morta poesì resurga,",0,1,0,1,0,0,0,1,0,1,nessuna
1,-,8,terzina,-,-,11,"o sante Muse, poi che vostro sono;",0,1,0,1,0,1,0,1,0,1,nessuna
1,-,9,terzina,-,-,11,"e qui Calïopè alquanto surga,",0,1,0,0,0,1,0,1,0,1,nessuna
1,-,10,terzina,-,-,11,seguitando il mio canto con quel suono,0,0,1,0,0,1,0,0,0,1,nessuna
1,-,11,terzina,-,-,11,di cui le Piche misere sentiro,0,1,0,1,0,1,0,0,0,1,nessuna
1,-,12,terzina,-,-,11,"lo colpo tal, che disperar perdono.",0,1,0,1,0,0,0,1,0,1,nessuna
1,-,13,terzina,-,-,11,"Dolce color d'orïental zaffiro,",1,0,0,1,0,0,0,1,0,1,nessuna
1,-,14,terzina,-,-,11,che s'accoglieva nel sereno aspetto,0,0,0,1,0,0,0,1,0,1,nessuna
1,-,15,terzina,-,-,11,"del mezzo, puro infino al primo giro,",0,1,0,1,0,1,0,1,0,1,nessuna
1,-,16,terzina,-,-,11,"a li occhi miei ricominciò diletto,",0,1,0,1,0,0,0,1,0,1,nessuna
1,-,17,terzina,-,-,11,tosto ch'io usci' fuor de l'aura morta,1,0,0,0,1,1,0,1,0,1,nessuna
1,-,18,terzina,-,-,11,che m'avea contristati li occhi e 'l petto.,0,0,1,0,0,1,0,1,0,1,nessuna
1,-,19,terzina,-,-,11,Lo bel pianeto che d'amar conforta,0,0,0,1,0,0,0,1,0,1,nessuna
1,-,20,terzina,-,-,11,"faceva tutto rider l'orïente,",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,21,terzina,-,-,11,velando i Pesci ch'erano in sua scorta.,0,1,0,1,0,1,0,0,0,1,nessuna
1,-,22,terzina,-,-,11,"I' mi volsi a man destra, e puosi mente",0,0,1,0,0,1,0,1,0,1,nessuna
1,-,23,terzina,-,-,11,"a l'altro polo, e vidi quattro stelle",0,1,0,1,0,1,0,1,0,1,nessuna
1,-,24,terzina,-,-,11,non viste mai fuor ch'a la prima gente.,0,1,0,1,1,0,0,1,0,1,nessuna
1,-,25,terzina,-,-,11,Goder pareva 'l ciel di lor fiammelle:,0,1,0,1,0,1,0,0,0,1,nessuna
1,-,26,terzina,-,-,11,"oh settentrïonal vedovo sito,",1,0,0,0,0,1,1,0,0,1,nessuna
1,-,27,terzina,-,-,11,poi che privato se' di mirar quelle!,1,0,0,1,0,1,0,0,1,1,nessuna
1,-,28,terzina,-,-,11,"Com'io da loro sguardo fui partito,",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,29,terzina,-,-,11,"un poco me volgendo a l'altro polo,",0,1,0,1,0,1,0,1,0,1,nessuna
1,-,30,terzina,-,-,11,"là onde 'l Carro già era sparito,",0,1,0,1,0,1,0,0,0,1,nessuna
