#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,DanteAlighieri_Rime_Barbi-Maggini-Pernicone19561969,,,,,,,,,,,,,,,,,
#dc:description,questa è una trascrizione fatta nel corso dei progetti precedenti.,,,,,,,,,,,,,,,,,
#dc:author,"Dante Alighieri",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Rime",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Barbi-Maggini-Pernicone,1956,1969",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0584217,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
56,-,1,ballata,xyz ababbyz,-,7,Per una ghirlandetta,0,0,0,0,0,1,0,0,0,0,nessuna
56,-,2,ballata,xyz ababbyz,-,7,"ch'io vidi, mi farà",0,1,0,0,0,1,0,0,0,0,nessuna
56,-,3,ballata,xyz ababbyz,-,7,sospirare ogni fiore.,0,0,1,0,0,1,0,0,0,0,nessuna
56,-,4,ballata,xyz ababbyz,-,9,"I' vidi a voi, donna, portare",0,1,0,1,1,0,0,1,0,0,nessuna
56,-,5,ballata,xyz ababbyz,-,9,"ghirlandetta di fior gentile,",0,0,1,0,0,1,0,1,0,0,nessuna
56,-,6,ballata,xyz ababbyz,-,9,e sovr'a lei vidi volare,0,0,0,1,1,0,0,1,0,0,nessuna
56,-,7,ballata,xyz ababbyz,-,9,un angiolel d'amore umile;,0,0,0,1,0,1,0,1,0,0,nessuna
56,-,8,ballata,xyz ababbyz,-,7,e'n suo cantar sottile,0,0,0,1,0,1,0,0,0,0,nessuna
56,-,9,ballata,xyz ababbyz,-,7,"dicea: ""Chi mi vedrà",0,1,1,0,0,1,0,0,0,0,nessuna
56,-,10,ballata,xyz ababbyz,-,7,"lauderà 'l mio signore"".",0,0,1,0,0,1,0,0,0,0,nessuna
56,-,11,ballata,xyz ababbyz,-,9,Se io sarò là dove sia,0,0,0,1,1,0,0,1,0,0,nessuna
56,-,12,ballata,xyz ababbyz,-,9,"Fioretta mia bella [a sentire],",0,1,0,0,1,0,0,1,0,0,nessuna
56,-,13,ballata,xyz ababbyz,-,9,allor dirò la donna mia,0,1,0,1,0,1,0,1,0,0,nessuna
56,-,14,ballata,xyz ababbyz,-,9,che port'in testa i miei sospire.,0,1,0,1,0,0,0,1,0,0,nessuna
56,-,15,ballata,xyz ababbyz,-,7,Ma per crescer disire,0,0,1,0,0,1,0,0,0,0,nessuna
56,-,16,ballata,xyz ababbyz,-,7,mia donna verrà,0,0,1,0,0,1,0,0,0,0,nessuna
56,-,17,ballata,xyz ababbyz,-,7,coronata da Amore.,0,0,1,0,0,1,0,0,0,0,nessuna
56,-,18,ballata,xyz ababbyz,-,9,"Le parolette mie novelle,",0,0,0,1,0,1,0,1,0,0,nessuna
56,-,19,ballata,xyz ababbyz,-,9,"che di fiori fatto han ballata,",0,0,1,0,1,1,0,1,0,0,nessuna
56,-,20,ballata,xyz ababbyz,-,9,per leggiadria ci hanno tolt'elle,0,0,0,1,1,0,1,1,0,0,nessuna
56,-,21,ballata,xyz ababbyz,-,9,una vesta ch'altrui fu data:,0,0,1,0,0,1,0,1,0,0,nessuna
56,-,22,ballata,xyz ababbyz,-,7,"però siate pregata,",0,1,1,0,0,1,0,0,0,0,nessuna
56,-,23,ballata,xyz ababbyz,-,7,"qual uom la canterà,",0,1,0,0,0,1,0,0,0,0,nessuna
