#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,FedericoIIDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Federico II,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,abab cddc,,8,"«Dolze meo drudo, e vaténe!",1,0,0,1,0,0,1,0,0,0,
1,,2,canzone,abab cddc,,8,"Meo sire, a Dio t'acomano,",0,1,0,1,0,0,1,0,0,0,
1,,3,canzone,abab cddc,,8,che ti diparti da mene,0,0,0,1,0,0,1,0,0,0,
1,,4,canzone,abab cddc,,8,ed io tapina rimanno.,0,1,0,1,0,0,1,0,0,0,
1,,5,canzone,abab cddc,,8,"Lassa, la vita m'enoia,",1,0,0,1,0,0,1,0,0,0,
1,,6,canzone,abab cddc,,8,"dolz'è la morte a vedere,",1,0,0,1,0,0,1,0,0,0,
1,,7,canzone,abab cddc,,8,ch'io non pensai mai guerire,1,0,0,1,0,0,1,0,0,0,
1,,8,canzone,abab cddc,,8,membrandome fuor di noia.,0,1,0,0,1,0,1,0,0,0,
1,,9,canzone,abab cddc,,8,"Membrandome che te 'n vai,",0,1,0,0,0,0,1,0,0,0,
1,,10,canzone,abab cddc,,8,lo cor mi mena gran guerra:,0,1,0,1,0,0,1,0,0,0,
1,,11,canzone,abab cddc,,8,di ciò che più disïai,0,1,0,1,0,0,1,0,0,0,
1,,12,canzone,abab cddc,,8,l mi tolle lontana terra.,0,1,0,0,1,0,1,0,0,0,
1,,13,canzone,abab cddc,,8,"Or se ne va lo mio amore,",1,0,0,1,0,0,1,0,0,0,
1,,14,canzone,abab cddc,,8,ch'io sovra gli altri l'amava;,1,0,0,1,0,0,1,0,0,0,
1,,15,canzone,abab cddc,,8,"biasmomi, dolze Toscana,",1,0,0,1,0,0,1,0,0,0,
1,,16,canzone,abab cddc,,8,ch'e' mi diparte lo core».,1,0,0,1,0,0,1,0,0,0,
1,,17,canzone,abab cddc,,8,"«Dolce mia donna, lo gire",1,0,0,1,0,0,1,0,0,0,
1,,18,canzone,abab cddc,,8,"nonn è per mia volontate,",0,1,0,1,0,0,1,0,0,0,
1,,19,canzone,abab cddc,,8,che mi convene ubidire,0,0,0,1,0,0,1,0,0,0,
1,,20,canzone,abab cddc,,8,quelli che m'à 'n potestate:,1,0,0,1,0,0,1,0,0,0,
