#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,FilippodaMessinaDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Rime di Filippo da Messina. Fellowship Marco Praloran 2013. ,,,,,,,,,,,,,,,,,
#dc:author,Filippo da Messina,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,sonetto,ABABABAB CDE CDE,,11,"Ai, siri Deo, con' forte fu lo punto",0,1,0,1,0,1,0,1,0,1,
1,,2,sonetto,ABABABAB CDE CDE,,11,"che gli ochi tuoi, madonna, isguardai, lasso!",0,1,0,1,0,1,0,0,1,1,
1,,3,sonetto,ABABABAB CDE CDE,,11,"che sì son preso e da vostr'amor punto,",0,1,0,1,0,0,1,0,1,1,
1,,4,sonetto,ABABABAB CDE CDE,,11,ch'amor d'ogn'altra donna per voi lasso.,0,1,0,1,0,1,0,0,1,1,
1,,5,sonetto,ABABABAB CDE CDE,,11,"Non fino di penare uno punto,",0,1,0,0,0,1,0,0,0,1,
1,,6,sonetto,ABABABAB CDE CDE,,11,"per omo morto a voi, donna, mi lasso:",0,1,0,1,0,1,1,0,0,1,
1,,7,sonetto,ABABABAB CDE CDE,,11,non sono meo quanto d'un ago punto;,0,1,0,1,1,0,0,1,0,1,
1,,8,sonetto,ABABABAB CDE CDE,,11,"se mi disdegn', e' be· moraggio lasso.",0,0,0,1,0,1,0,1,0,1,
1,,9,sonetto,ABABABAB CDE CDE,,11,"Poi non son meo ma vostro, amor meo fino,",1,0,0,1,0,1,0,1,0,1,
1,,10,sonetto,ABABABAB CDE CDE,,11,"preso m'avete como Alena Pari,",1,0,0,1,0,0,0,1,0,1,
1,,11,sonetto,ABABABAB CDE CDE,,11,e non amò Tristano tanto Isolda,0,0,0,1,0,1,0,1,0,1,
1,,12,sonetto,ABABABAB CDE CDE,,11,"quant'amo voi, per cui penar non fino.",0,1,0,1,0,1,0,1,0,1,
1,,13,sonetto,ABABABAB CDE CDE,,11,"Oi rosa fresca, che di maggio apari,",0,1,0,1,0,0,0,1,0,1,
1,,14,sonetto,ABABABAB CDE CDE,,11,mercé vi chiamo: lo meo male solda.,0,1,0,1,0,0,0,1,0,1,
