#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,FrancescoPetrarca_Canzoniere_Contini1960,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Canzoniere di Francesco Petrarca. Riadattato dall'archivio AMI originale. ,,,,,,,,,,,,,,,,,
#dc:author,"Francesco Petrarca",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Canzoniere",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Contini,1960",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/LO10317904,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
5,Co,4,sonetto,ABBA ABBA CDC CDC,-,11,il suon de' primi dolci accenti suoi.,0,1,0,1,0,1,0,1,0,1,nessuna
5,Co,5,sonetto,ABBA ABBA CDC CDC,-,11,"Vostro stato REal, che 'ncontro poi,",1,0,1,0,0,1,0,1,0,1,nessuna
5,Co,6,sonetto,ABBA ABBA CDC CDC,-,11,raddoppia a l'alta impresa il mio valore;,0,1,0,1,0,1,0,0,0,1,nessuna
5,Co,7,sonetto,ABBA ABBA CDC CDC,-,11,"ma: Taci, grida il fin, ché farle honore",0,1,0,1,0,1,0,1,0,1,nessuna
5,Co,8,sonetto,ABBA ABBA CDC CDC,-,11,è d'altri homeri soma che da' tuoi.,0,0,1,0,0,1,0,0,0,1,nessuna
5,Co,9,sonetto,ABBA ABBA CDC CDC,-,11,Cosí LAUdare et REverire insegna,0,1,0,1,0,0,0,1,0,1,nessuna
5,Co,10,sonetto,ABBA ABBA CDC CDC,-,11,"la voce stessa, pur ch'altri vi chiami,",0,1,0,1,0,0,1,0,0,1,nessuna
5,Co,11,sonetto,ABBA ABBA CDC CDC,-,11,o d'ogni reverenza et d'onor degna:,0,1,0,0,0,1,0,0,1,1,nessuna
5,Co,12,sonetto,ABBA ABBA CDC CDC,-,11,se non che forse Apollo si disdegna,0,1,0,1,0,1,0,0,0,1,nessuna
5,Co,13,sonetto,ABBA ABBA CDC CDC,-,11,ch'a parlar de' suoi sempre verdi rami,0,0,1,0,1,1,0,1,0,1,nessuna
5,Co,14,sonetto,ABBA ABBA CDC CDC,-,11,lingua mortal presumptüosa vegna.,1,0,0,1,0,0,0,1,0,1,nessuna
6,Co,1,sonetto,ABBA ABBA CDE CDE,-,11,Sí travïato è 'l folle mi' desio,0,0,0,1,0,1,0,0,0,1,nessuna
6,Co,2,sonetto,ABBA ABBA CDE CDE,-,11,"a seguitar costei che 'n fuga è volta,",0,0,0,1,0,1,0,1,0,1,nessuna
6,Co,3,sonetto,ABBA ABBA CDE CDE,-,11,et de' lacci d'Amor leggiera et sciolta,0,0,1,0,0,1,0,1,0,1,nessuna
6,Co,4,sonetto,ABBA ABBA CDE CDE,-,11,"vola dinanzi al lento correr mio,",1,0,0,1,0,1,0,1,0,1,nessuna
6,Co,5,sonetto,ABBA ABBA CDE CDE,-,11,che quanto richiamando piú l'envio,0,1,0,0,0,1,0,1,0,1,nessuna
6,Co,6,sonetto,ABBA ABBA CDE CDE,-,11,"per la secura strada, men m'ascolta:",0,0,0,1,0,1,0,1,0,1,nessuna
6,Co,7,sonetto,ABBA ABBA CDE CDE,-,11,"né mi vale spronarlo, o dargli volta,",0,0,1,0,0,1,0,0,0,1,nessuna
6,Co,8,sonetto,ABBA ABBA CDE CDE,-,11,ch'Amor per sua natura il fa restio.,0,1,0,0,0,1,0,1,0,1,nessuna
6,Co,9,sonetto,ABBA ABBA CDE CDE,-,11,"Et poi che 'l fren per forza a sé raccoglie,",0,1,0,1,0,1,0,1,0,1,nessuna
6,Co,10,sonetto,ABBA ABBA CDE CDE,-,11,"i' mi rimango in signoria di lui,",0,0,0,1,0,0,0,1,0,1,nessuna
6,Co,11,sonetto,ABBA ABBA CDE CDE,-,11,che mal mio grado a morte mi trasporta:,0,1,0,1,0,1,0,0,0,1,nessuna
6,Co,12,sonetto,ABBA ABBA CDE CDE,-,11,sol per venir al lauro onde si coglie,1,0,0,1,0,1,1,0,0,1,nessuna
6,Co,13,sonetto,ABBA ABBA CDE CDE,-,11,"acerbo frutto, che le piaghe altrui",0,1,0,1,0,0,0,1,0,1,nessuna
