#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,FrancescoPetrarca_TriumphusCupidinis_Pacca-Paolino1996,,,,,,,,,,,,,,,,,
#dc:description,questa è una trascrizione fatta nel corso dei progetti precedenti.,,,,,,,,,,,,,,,,,
#dc:author,"Francesco Petrarca",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Triumphus Cupidinis",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Pacca-Paolino,1996",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/FER0142246,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,terzina,-,-,11,Al tempo che rinova i mie' sospiri,0,1,0,0,0,1,0,0,0,1,nessuna
1,-,2,terzina,-,-,11,per la dolce memoria di quel giorno,0,0,1,0,0,1,0,0,0,1,nessuna
1,-,3,terzina,-,-,11,"che fu principio a sì lunghi martiri,",0,0,0,1,0,0,1,0,0,1,nessuna
1,-,4,terzina,-,-,11,già il sole al Toro l'uno e l'altro corno,0,1,0,1,0,1,0,1,0,1,nessuna
1,-,5,terzina,-,-,11,"scaldava, e la fanciulla di Titone",0,1,0,0,0,1,0,0,0,1,nessuna
1,-,6,terzina,-,-,11,correa gelata al suo usato soggiorno.,0,1,0,1,0,0,1,0,0,1,nessuna
1,-,7,terzina,-,-,11,"Amor, gli sdegni, e 'l pianto, e la stagione",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,8,terzina,-,-,11,ricondotto m'aveano al chiuso loco,0,0,1,0,0,1,0,1,0,1,nessuna
1,-,9,terzina,-,-,11,ov'ogni fascio il cor lasso ripone.,0,1,0,1,0,1,1,0,0,1,nessuna
1,-,10,terzina,-,-,11,"Ivi, fra l'erbe, già del pianger fioco,",1,0,0,1,0,1,0,1,0,1,nessuna
1,-,11,terzina,-,-,11,"vinto dal sonno, vidi una gran luce,",1,0,0,1,0,1,0,0,0,1,nessuna
1,-,12,terzina,-,-,11,e dentro assai dolor con breve gioco.,0,1,0,1,0,1,0,1,0,1,nessuna
1,-,13,terzina,-,-,11,"Vidi un victorïoso e sommo duce,",1,0,0,0,0,1,0,1,0,1,nessuna
1,-,14,terzina,-,-,11,pur com'un di color che 'n Campidoglio,1,0,1,0,0,1,0,0,0,1,nessuna
1,-,15,terzina,-,-,11,triumphal carro a gran gloria conduce.,0,0,1,1,0,0,1,0,0,1,nessuna
1,-,16,terzina,-,-,11,"I', che gioir di tal vista non soglio",0,0,0,1,0,0,1,0,0,1,nessuna
