#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,FrancescoPetrarca_TriumphusEternitatis_Pacca-Paolino1996,,,,,,,,,,,,,,,,,
#dc:description,questa è una trascrizione fatta nel corso dei progetti precedenti.,,,,,,,,,,,,,,,,,
#dc:author,"Francesco Petrarca",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Triumphus Eternitatis",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Pacca-Paolino,1996",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/FER0142246,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
0,-,18,terzina,-,-,11,"dopo molto voltar, che fine avranno?",1,0,1,0,0,1,0,1,0,1,nessuna
0,-,19,terzina,-,-,11,Questo pensava; e mentre più s'interna,1,0,0,1,0,1,0,1,0,1,nessuna
0,-,20,terzina,-,-,11,"la mente mia, veder mi parve un mondo",0,1,0,1,0,1,0,1,0,1,nessuna
0,-,21,terzina,-,-,11,"novo, in etate immobile ed eterna,",1,0,0,1,0,1,0,0,0,1,nessuna
0,-,22,terzina,-,-,11,e 'l sole e tutto 'l ciel disfar a tondo,0,1,0,1,0,1,0,1,0,1,nessuna
0,-,17,terzina,-,-,11,"queste cose che 'l ciel volge e governa,",1,0,1,0,0,1,1,0,0,1,nessuna
0,-,23,terzina,-,-,11,"con le sue stelle, anchor la terra e 'l mare,",0,0,0,1,0,1,0,1,0,1,nessuna
0,-,24,terzina,-,-,11,e rifarne un più bello e più giocondo.,0,0,1,0,0,1,0,0,0,1,nessuna
0,-,25,terzina,-,-,11,"Qual meraviglia ebb'io, quando ristare",0,0,0,1,0,1,1,0,0,1,nessuna
0,-,26,terzina,-,-,11,"vidi in un punto quel che mai non stette,",1,0,0,1,0,1,0,1,0,1,nessuna
0,-,27,terzina,-,-,11,ma discorrendo suol tutto cangiare!,0,0,0,1,0,1,1,0,0,1,nessuna
0,-,28,terzina,-,-,11,E le tre parti sue vidi ristrecte,0,0,0,1,0,1,1,0,0,1,nessuna
0,-,29,terzina,-,-,11,"ad una sola, e quella una esser ferma",0,0,0,1,0,0,1,1,0,1,nessuna
0,-,30,terzina,-,-,11,"sì che, come solea, più non s'affrette;",0,1,1,0,0,1,1,0,0,1,nessuna
0,-,31,terzina,-,-,11,"e, quasi in terra d'erbe ignuda ed herma,",0,1,0,1,0,1,0,1,0,1,nessuna
