#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,FrancescoPetrarca_TriumphusFame_Pacca-Paolino1996,,,,,,,,,,,,,,,,,
#dc:description,questa è una trascrizione fatta nel corso dei progetti precedenti.,,,,,,,,,,,,,,,,,
#dc:author,"Francesco Petrarca",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Triumphus Fame",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Pacca-Paolino,1996",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/FER0142246,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,97,terzina,-,-,11,"E quanto in arme fu crudo e severo,",0,1,0,1,0,0,1,0,0,1,nessuna
1,-,98,terzina,-,-,11,"tanto quei che 'l seguiva era benigno,",1,0,1,0,0,1,0,0,0,1,nessuna
1,-,99,terzina,-,-,11,non so se miglior duce o cavalero.,0,1,0,0,0,1,0,0,0,1,nessuna
1,-,100,terzina,-,-,11,Poi venia que' che livido maligno,1,0,1,1,0,1,0,0,0,1,nessuna
1,-,101,terzina,-,-,11,"tumor di sangue, bene oprando, oppresse:",0,1,0,1,0,1,0,1,0,1,nessuna
1,-,102,terzina,-,-,11,"nobil Volumnio, e d'alta laude digno.",1,0,0,1,0,1,0,1,0,1,nessuna
1,-,103,terzina,-,-,11,"Cosso e Philon, Rutilio; e dalle spesse",1,0,0,1,0,1,0,0,0,1,nessuna
1,-,104,terzina,-,-,11,"luci in disparte tre soli ir vedeva,",1,0,0,1,0,0,1,1,0,1,nessuna
1,-,105,terzina,-,-,11,"rotti i membri, e smagliate l'arme e fesse:",1,0,1,0,0,1,0,1,0,1,nessuna
1,-,106,terzina,-,-,11,"Lucio Dentato, e Marco Sergio, e Sceva,",1,0,0,1,0,1,0,1,0,1,nessuna
1,-,107,terzina,-,-,11,que' tre folgori e tre scogli di guerra;,1,0,0,1,0,0,1,0,0,1,nessuna
1,-,108,terzina,-,-,11,ma l'un rio successor di fama leva;,0,0,1,0,0,1,0,1,0,1,nessuna
1,-,109,terzina,-,-,11,"Mario poi, che Iugurta e' Cimbri atterra",1,0,1,0,0,1,0,1,0,1,nessuna
1,-,110,terzina,-,-,11,"e 'l tedesco furore; e Fulvio Flacco,",0,0,1,0,0,1,0,1,0,1,nessuna
1,-,111,terzina,-,-,11,ch'a l'ingrati troncar a bel studio erra;,0,0,1,0,0,1,0,0,1,1,nessuna
1,-,112,terzina,-,-,11,ed il più nobil Fulvio; e solo un Gracco,0,0,0,1,0,1,0,1,0,1,nessuna
1,-,113,terzina,-,-,11,di quel gran nido garulo inquieto,0,1,0,1,0,1,0,0,0,1,nessuna
