#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,FrancescoPetrarca_TriumphusMortis_Pacca-Paolino1996,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Triumphus Mortis di Francesco Petrarca. Riadattato dall'archivio AMI originale. ,,,,,,,,,,,,,,,,,
#dc:author,"Francesco Petrarca",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Triumphus Mortis",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Pacca-Paolino,1996",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/FER0142246,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,terzina,-,-,11,Quella leggiadra e glorïosa donna,1,0,0,1,0,0,0,1,0,1,nessuna
1,-,2,terzina,-,-,11,"ch'è oggi ignudo spirto e poca terra,",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,3,terzina,-,-,11,"e fu già di valore alta colonna,",0,0,1,0,0,1,1,0,0,1,nessuna
1,-,4,terzina,-,-,11,"tornava con honor da la sua guerra,",0,1,0,0,0,1,0,0,0,1,nessuna
1,-,5,terzina,-,-,11,"allegra, avendo vinto il gran nemico,",0,1,0,0,0,1,0,0,0,1,nessuna
1,-,6,terzina,-,-,11,"che con suo' ingegni tutto il mondo atterra,",0,0,0,1,0,1,0,1,0,1,nessuna
1,-,7,terzina,-,-,11,non con altre arme che col cor pudico,1,0,0,1,0,0,0,1,0,1,nessuna
1,-,8,terzina,-,-,11,"e d'un bel viso e de' pensieri schivi,",0,0,0,1,0,0,0,1,0,1,nessuna
1,-,9,terzina,-,-,11,d'un parlar saggio e d'onestate amico.,0,0,1,1,0,0,0,1,0,1,nessuna
1,-,10,terzina,-,-,11,Era miracol novo a veder ivi,1,0,0,1,0,1,0,0,0,1,nessuna
1,-,11,terzina,-,-,11,"rotte l'arme d'Amore, arco e saette,",1,0,1,0,0,1,1,0,0,1,nessuna
1,-,12,terzina,-,-,11,"e tal' morti da lui, tal' presi e vivi.",0,0,1,0,0,1,0,1,0,1,nessuna
1,-,13,terzina,-,-,11,"La bella donna e le compagne elette,",0,1,0,1,0,0,0,1,0,1,nessuna
1,-,14,terzina,-,-,11,"tornando da la nobile victoria,",0,1,0,0,0,1,0,0,0,1,nessuna
1,-,15,terzina,-,-,11,in un bel drappelletto ivan ristrette.,0,0,1,0,0,1,1,0,0,1,nessuna
1,-,16,terzina,-,-,11,"Poche eran, perché rara è vera gloria,",1,1,0,0,0,1,0,1,0,1,nessuna
