#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,FrancescoPetrarca_TriumphusPudicitie_Pacca-Paolino1996,,,,,,,,,,,,,,,,,
#dc:description,questa è una trascrizione fatta nel corso dei progetti precedenti.,,,,,,,,,,,,,,,,,
#dc:author,"Francesco Petrarca",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Triumphus Pudicitie",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Pacca-Paolino,1996",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/FER0142246,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
0,-,1,terzina,-,-,11,Quando ad un giogo ed in un tempo quivi,1,0,0,1,0,0,0,1,0,1,nessuna
0,-,2,terzina,-,-,11,domita l'alterezza degli dèi,1,0,0,0,0,1,0,0,0,1,nessuna
0,-,3,terzina,-,-,11,"e degli uomini vidi al mondo divi,",0,0,1,0,0,1,0,1,0,1,nessuna
0,-,4,terzina,-,-,11,"i' presi exempio de' lor stati rei,",0,1,0,1,0,0,0,1,0,1,nessuna
0,-,5,terzina,-,-,11,facendo mio profecto l'altrui male,0,1,0,0,0,1,0,0,1,1,nessuna
0,-,6,terzina,-,-,11,in consolar i casi e i dolor mei;,0,0,0,1,0,1,0,0,1,1,nessuna
0,-,7,terzina,-,-,11,"ché, s'io veggio d'un arco e d'uno strale",0,0,1,0,0,1,0,0,0,1,nessuna
0,-,8,terzina,-,-,11,"Phebo percosso e 'l giovene d'Abido,",1,0,0,1,0,1,0,0,0,1,nessuna
0,-,9,terzina,-,-,11,"l'un detto deo, l'altro uom puro mortale,",1,0,0,1,1,0,1,0,0,1,nessuna
0,-,10,terzina,-,-,11,"e veggio ad un lacciuol Giunone e Dido,",0,1,0,0,0,1,0,1,0,1,nessuna
0,-,11,terzina,-,-,11,"ch'amor pio del suo sposo a morte spinse,",0,1,1,0,0,1,0,1,0,1,nessuna
0,-,12,terzina,-,-,11,"non quel d'Enea, com'è 'l publico grido,",0,0,0,1,0,0,1,0,0,1,nessuna
0,-,13,terzina,-,-,11,"non mi debb'io doler, s'altri mi vinse",0,0,0,1,0,1,1,0,0,1,nessuna
0,-,14,terzina,-,-,11,"giovene, incauto, disarmato e solo.",1,0,0,1,0,0,0,1,0,1,nessuna
0,-,15,terzina,-,-,11,"E, se la mia nemica Amor non strinse,",0,0,0,0,0,1,0,1,0,1,nessuna
0,-,16,terzina,-,-,11,"non è ancor giusta assai cagion di duolo,",0,0,1,1,0,1,0,1,0,1,nessuna
0,-,17,terzina,-,-,11,"ché 'n abito il revidi ch'io ne piansi,",0,1,0,0,0,1,0,0,0,1,nessuna
0,-,18,terzina,-,-,11,sì tolte gli eran l'ali e 'l gire a volo.,0,1,0,1,0,1,0,1,0,1,nessuna
0,-,19,terzina,-,-,11,Non con altro romor di petto dansi,0,0,1,0,0,1,0,1,0,1,nessuna
0,-,20,terzina,-,-,11,"duo leon feri, o duo folgori ardenti",0,0,1,1,0,0,1,0,0,1,nessuna
0,-,21,terzina,-,-,11,"che cielo e terra e mar dar loco fansi,",0,1,0,1,0,1,0,1,0,1,nessuna
0,-,22,terzina,-,-,11,ch'i' vidi Amor con tutti suoi argomenti,0,1,0,1,0,1,0,0,0,1,nessuna
0,-,23,terzina,-,-,11,"mover contra colei di ch'io ragiono,",1,0,1,0,0,1,0,1,0,1,nessuna
0,-,24,terzina,-,-,11,e lei presta assai più che fiamme o venti.,0,1,1,0,0,1,0,1,0,1,nessuna
0,-,25,terzina,-,-,11,Non fan sì grande e sì terribil sòno,0,1,0,1,0,0,0,1,0,1,nessuna
0,-,26,terzina,-,-,11,"Ethna, qualor da Enchelado è più scossa,",1,0,0,1,0,0,1,0,0,1,nessuna
0,-,27,terzina,-,-,11,"Scilla e Caribdi, quando irate sono,",1,0,0,1,1,0,0,1,0,1,nessuna
0,-,28,terzina,-,-,11,che via maggiore in su la prima mossa,0,1,0,1,0,0,0,1,0,1,nessuna
0,-,29,terzina,-,-,11,"non fusse del dubbioso e grave assalto,",0,1,0,0,0,1,0,1,0,1,nessuna
0,-,30,terzina,-,-,11,ch'i' non cre' che ridir sappia né possa.,0,0,1,0,0,1,1,0,0,1,nessuna
0,-,31,terzina,-,-,11,Ciascun per sé si ritraeva in alto,0,1,0,1,0,0,0,1,0,1,nessuna
0,-,32,terzina,-,-,11,"per veder meglio, e l'orror de l'impresa",0,0,1,1,0,0,1,0,0,1,nessuna
0,-,33,terzina,-,-,11,i cori e gli occhi avea fatti di smalto.,0,1,0,1,0,0,0,1,0,1,nessuna
0,-,34,terzina,-,-,11,"Quel vincitor che primo era a l'offesa,",0,0,0,1,0,1,1,0,0,1,nessuna
0,-,35,terzina,-,-,11,"da man dritta lo stral, da l'altra l'arco,",0,0,1,0,0,1,0,1,0,1,nessuna
0,-,36,terzina,-,-,11,e la corda a l'orecchia avea già stesa.,0,0,1,0,0,1,0,1,0,1,nessuna
0,-,37,terzina,-,-,11,Non corse mai sì levemente al varco,0,1,0,1,0,0,0,1,0,1,nessuna
0,-,38,terzina,-,-,11,d'una fugace cerva un leopardo,0,0,0,1,0,1,0,0,0,1,nessuna
0,-,39,terzina,-,-,11,"libero in selva, o di catene scarco,",1,0,0,1,0,0,0,1,0,1,nessuna
0,-,40,terzina,-,-,11,"che non fusse stato ivi lento e tardo,",0,0,1,0,1,1,0,1,0,1,nessuna
0,-,41,terzina,-,-,11,tanto Amor pronto venne a lei ferire,1,0,1,1,0,1,0,1,0,1,nessuna
