#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,GiacominoPuglieseDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Rime di Giacomino Pugliese. Fellowship Marco Praloran 2013. ,,,,,,,,,,,,,,,,,
#dc:author,Giacomino Pugliese,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,https://docs.google.com/spreadsheets/d/1WVRqag-lTfEW1OL9eJ6ZCKayVEJ6mCaSLlsmZzCFWPI/edit?usp=sharing,,,# file da cui è stato esportato,,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,ABAB CCbCCb,,11,"Morte, perché m'ài fatta sì gran guerra",1,0,0,1,0,1,0,1,0,1,
1,,2,canzone,ABAB CCbCCb,,11,"che m'ài tolta madonna, ond'io mi doglio?",0,0,1,0,0,1,0,1,0,1,
1,,3,canzone,ABAB CCbCCb,,11,La fior de le bellezze mort'ài in terra,0,1,0,0,0,1,0,1,0,1,
1,,4,canzone,ABAB CCbCCb,,11,per che lo mondo non amo né voglio.,0,0,0,1,0,0,1,0,0,1,
1,,5,canzone,ABAB CCbCCb,,11,"Villana morte, che nonn à' pietanza,",0,1,0,1,0,0,0,1,0,1,
1,,6,canzone,ABAB CCbCCb,,11,disparti amore e togli l'allegranza,0,1,0,1,0,1,0,0,0,1,
1,,7,canzone,ABAB CCbCCb,,5,e dai cordoglio;,0,0,0,1,0,0,0,0,0,0,
1,,8,canzone,ABAB CCbCCb,,11,"la mia alegranza post'ài in gran stristanza,",0,0,0,1,0,0,1,0,0,1,
1,,9,canzone,ABAB CCbCCb,,11,che m'ài tolto la gioia e l'alegranza,0,0,1,0,0,1,0,0,0,1,
1,,10,canzone,ABAB CCbCCb,,5,ch'avere soglio.,0,1,0,1,0,0,0,0,0,0,
1,,11,canzone,ABAB CCbCCb,,11,Sollea aver sollazzo e gioco e riso,0,1,0,1,0,1,0,1,0,1,
1,,12,canzone,ABAB CCbCCb,,11,più che null'altro cavalier che sia:,1,0,0,1,0,0,0,1,0,1,
1,,13,canzone,ABAB CCbCCb,,11,"or se n'è gita madonna in paradiso,",0,0,0,0,0,0,0,0,0,0,IPERMETRO
1,,14,canzone,ABAB CCbCCb,,11,portòne la dolze speranza mia;,0,1,0,0,1,0,0,1,0,1,
1,,15,canzone,ABAB CCbCCb,,11,"lasciòmi in pene e con sospiri e planti,",0,1,0,1,0,0,0,1,0,1,
1,,16,canzone,ABAB CCbCCb,,11,levòmi da sollazzo e gioco e canti,0,1,0,0,0,1,0,1,0,1,
1,,17,canzone,ABAB CCbCCb,,5,e compagnia;,0,0,0,1,0,0,0,0,0,0,
