#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,GiacomodaLentini_Rime_#NULL#,,,,,,,,,,,,,,,,,
#dc:description,questa è una trascrizione fatta nel corso dei progetti precedenti.,,,,,,,,,,,,,,,,,
#dc:author,"Giacomo da Lentini",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Rime",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"#NULL#",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,Non disponibile,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,"Madonna, dir vi voglio",0,1,0,1,0,1,0,0,0,0,nessuna
1,-,2,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,como l'amor m'à priso,1,0,0,1,0,1,0,0,0,0,nessuna
1,-,3,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,inver lo grande orgoglio,0,1,0,1,0,1,0,0,0,0,nessuna
1,-,4,canzone,abaC dbdC eef(f)Ghhi(i)G,-,11,"che voi, bella, mostrati, e no m'aita.",0,0,1,0,0,1,0,0,0,1,nessuna
1,-,5,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,Oi lasso lo meo core!,0,1,0,0,0,1,0,0,0,0,nessuna
1,-,6,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,"ch'è 'n tanta pena miso,",1,0,0,1,0,1,0,0,0,0,nessuna
1,-,7,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,che vide ca nde more,0,1,0,1,0,1,0,0,0,0,nessuna
1,-,8,canzone,abaC dbdC eef(f)Ghhi(i)G,-,11,per bene amare e tenelosi in vita.,0,0,0,1,0,0,1,0,0,0,nessuna
1,-,9,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,"Dunque, moriraio eo?",1,0,0,0,1,1,0,0,0,0,nessuna
1,-,10,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,"No, ma lo core meo",1,0,0,1,0,1,0,0,0,0,nessuna
1,-,11,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,more spesso e più forte,1,0,1,0,0,1,0,0,0,0,nessuna
1,-,12,canzone,abaC dbdC eef(f)Ghhi(i)G,-,11,che non faria di morte - naturale;,0,0,0,1,0,1,0,0,0,1,nessuna
1,-,13,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,"per vui, donna, cui ama",0,1,1,0,0,1,0,0,0,0,nessuna
1,-,14,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,"più che sì stesso, brama,",0,0,0,1,0,1,0,0,0,0,nessuna
1,-,15,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,e voi pur lo sdengate:,0,1,0,0,0,1,0,0,0,0,nessuna
1,-,16,canzone,abaC dbdC eef(f)Ghhi(i)G,-,11,Amor vostr'amistate - vidi male.,0,1,0,0,0,1,0,1,0,0,nessuna
1,-,17,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,Lo meo namoramento,0,1,0,0,0,1,0,0,0,0,nessuna
1,-,18,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,"non pò parire in ditto,",0,0,0,1,0,1,0,0,0,0,nessuna
1,-,19,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,"ca sì com'eo lo sento,",0,1,0,1,0,1,0,0,0,0,nessuna
1,-,20,canzone,abaC dbdC eef(f)Ghhi(i)G,-,11,cor no lo penzaria né diria lingua;,1,0,0,0,0,1,0,0,1,1,nessuna
1,-,21,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,zo ch'eo dico è neente,0,0,1,0,0,1,0,0,0,0,nessuna
1,-,22,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,inver ch'eo son distritto,0,0,1,0,0,1,0,0,0,0,nessuna
1,-,23,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,tanto coralemente:,1,0,0,0,0,1,0,0,0,0,nessuna
1,-,24,canzone,abaC dbdC eef(f)Ghhi(i)G,-,11,"foco aio, non credo mai si stingua;",1,0,1,0,0,1,0,0,0,1,nessuna
1,-,25,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,"anti, si pur alluma,",0,0,0,0,0,0,0,0,0,0,nessuna
1,-,26,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,perché non mi consuma?,0,1,0,0,0,1,0,0,0,0,nessuna
1,-,27,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,La salamandra audivi,0,0,0,1,0,1,0,0,0,0,nessuna
1,-,28,canzone,abaC dbdC eef(f)Ghhi(i)G,-,11,ca 'nfra lo foco vivi - stando sana;,0,0,0,1,0,1,0,1,0,0,nessuna
1,-,29,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,cusì fo per long'uso:,0,0,1,0,0,1,0,0,0,0,nessuna
1,-,30,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,vivo in foco amoruso,1,0,1,0,0,1,0,0,0,0,nessuna
1,-,31,canzone,abaC dbdC eef(f)Ghhi(i)G,-,7,e non saccio ch'eo dica:,0,0,1,0,0,1,0,0,0,0,nessuna
