#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,GiovanniBoccaccio_Rime(parteI)_Branca1992,,,,,,,,,,,,,,,,,
#dc:description,questa è una trascrizione fatta nel corso dei progetti precedenti.,,,,,,,,,,,,,,,,,
#dc:author,"Giovanni Boccaccio",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Rime (parte I)",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Branca,1992",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/UBO0978090,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,sonetto,ABBA ABBA CDC DCD,-,11,"Intorn'ad una fonte, in un pratello",0,1,0,0,0,1,0,0,0,1,nessuna
1,-,2,sonetto,ABBA ABBA CDC DCD,-,11,"di verdi erbette pieno e di bei fiori,",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,3,sonetto,ABBA ABBA CDC DCD,-,11,"sedean tre angiolette, i loro amori",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,4,sonetto,ABBA ABBA CDC DCD,-,11,"forse narrando, e a ciascuna 'l bello",1,0,0,1,0,0,0,1,0,1,nessuna
1,-,5,sonetto,ABBA ABBA CDC DCD,-,11,viso adombrava un verde ramicello,1,0,0,1,0,1,0,0,0,1,nessuna
1,-,6,sonetto,ABBA ABBA CDC DCD,-,11,"ch'i capei d'or cingea, al qual di fuori",0,0,1,1,0,1,0,1,0,1,nessuna
1,-,7,sonetto,ABBA ABBA CDC DCD,-,11,e dentro insieme i dua vaghi colori,0,1,0,1,0,0,1,0,0,1,nessuna
1,-,8,sonetto,ABBA ABBA CDC DCD,-,11,avolgeva un suave venticello.,0,0,1,0,0,1,0,0,0,1,nessuna
1,-,9,sonetto,ABBA ABBA CDC DCD,-,11,E dopo alquanto l'una alle due disse,0,1,0,1,0,1,0,0,1,1,nessuna
1,-,10,sonetto,ABBA ABBA CDC DCD,-,11,"(com'io udi'): - Deh, se per avventura",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,11,sonetto,ABBA ABBA CDC DCD,-,11,"di ciascuna l'amante or qui venisse,",0,0,1,0,0,1,0,1,0,1,nessuna
1,-,12,sonetto,ABBA ABBA CDC DCD,-,11,fuggiremo noi quinci per paura? -.,0,0,1,0,0,1,0,0,0,1,nessuna
1,-,13,sonetto,ABBA ABBA CDC DCD,-,11,"A cui le due risposer: - Chi fuggisse,",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,14,sonetto,ABBA ABBA CDC DCD,-,11,"poco savia saria, cotal ventura! -.",1,0,1,0,0,1,0,1,0,1,nessuna
2,-,1,sonetto,ABBA ABBA CDE CDE,-,11,"All'ombra di mill'arbori fronzuti,",0,1,0,0,0,1,0,0,0,1,nessuna
2,-,2,sonetto,ABBA ABBA CDE CDE,-,11,"in abito leggiadro e gentilesco,",0,1,0,0,0,1,0,0,0,1,nessuna
2,-,3,sonetto,ABBA ABBA CDE CDE,-,11,con gli occhi vaghi e col cianciar donnesco,0,1,0,1,0,0,0,1,0,1,nessuna
2,-,4,sonetto,ABBA ABBA CDE CDE,-,11,"lacci tendea, da lei prima tessuti",1,0,0,1,0,1,1,0,0,1,nessuna
2,-,5,sonetto,ABBA ABBA CDE CDE,-,11,de' suoi biondi capei crespi e soluti,0,0,1,0,0,1,1,0,0,1,nessuna
2,-,6,sonetto,ABBA ABBA CDE CDE,-,11,"al vento lieve, in prato verde e fresco,",0,1,0,1,0,1,0,1,0,1,nessuna
2,-,7,sonetto,ABBA ABBA CDE CDE,-,11,una angiolella; a' quai giungeva vesco,0,0,0,1,0,1,0,1,0,1,nessuna
2,-,8,sonetto,ABBA ABBA CDE CDE,-,11,"tenace Amor, e ami aspri e acuti.",0,1,0,1,0,1,1,0,0,1,nessuna
2,-,9,sonetto,ABBA ABBA CDE CDE,-,11,"Da' quai, chi v'incappava lei mirando,",0,1,0,0,0,1,0,1,0,1,nessuna
2,-,10,sonetto,ABBA ABBA CDE CDE,-,11,"invan tentava poi lo svilupparsi,",0,1,0,1,0,1,0,0,0,1,nessuna
2,-,11,sonetto,ABBA ABBA CDE CDE,-,11,tant'era l'artificio che i teneva.,0,1,0,0,0,1,0,0,0,1,nessuna
2,-,12,sonetto,ABBA ABBA CDE CDE,-,11,"E io lo so, che me di me fidando",0,1,0,1,0,1,0,1,0,1,nessuna
2,-,13,sonetto,ABBA ABBA CDE CDE,-,11,"più che 'l dovere, infra e lacciuoli sparsi",1,0,0,1,1,0,0,1,0,1,nessuna
2,-,14,sonetto,ABBA ABBA CDE CDE,-,11,fui preso da virtù ch'io non vedeva.,0,1,0,0,0,1,0,0,0,1,nessuna
3,-,1,sonetto,ABBA ABBA CDE CDE,-,11,"Il Cancro ardea, passata la sest'ora,",0,1,0,1,0,1,0,0,0,1,nessuna
3,-,2,sonetto,ABBA ABBA CDE CDE,-,11,"spirava zefiro e il tempo era bello,",0,1,0,1,0,0,1,0,0,1,nessuna
3,-,3,sonetto,ABBA ABBA CDE CDE,-,11,"quieto il mar, e in su' lito di quello,",0,1,0,1,0,0,1,0,0,1,nessuna
3,-,4,sonetto,ABBA ABBA CDE CDE,-,11,"in parte dove il sol non era ancora,",0,1,0,0,0,1,0,1,0,1,nessuna
3,-,5,sonetto,ABBA ABBA CDE CDE,-,11,"vid'io colei, che 'l ciel di sé innamora,",0,1,0,1,0,1,0,1,0,1,nessuna
3,-,6,sonetto,ABBA ABBA CDE CDE,-,11,e 'n più donne far festa: e l'aureo vello,0,0,1,0,0,1,0,1,0,1,nessuna
3,-,7,sonetto,ABBA ABBA CDE CDE,-,11,le cingea 'l capo in guisa che capello,0,0,1,1,0,1,0,0,0,1,nessuna
3,-,8,sonetto,ABBA ABBA CDE CDE,-,11,del vago nodo non usciva fuora.,0,1,0,1,0,0,0,1,0,1,nessuna
3,-,9,sonetto,ABBA ABBA CDE CDE,-,11,"Neptuno, Glauco, Forco e la gran Teti",0,1,0,1,0,1,0,0,0,1,nessuna
3,-,10,sonetto,ABBA ABBA CDE CDE,-,11,"dal mar lei riguardavan sì contenti,",0,1,0,0,0,1,0,0,0,1,nessuna
3,-,11,sonetto,ABBA ABBA CDE CDE,-,11,"che dir parevon: - Giove, altro non voglio -",0,1,0,1,0,1,1,0,0,1,nessuna
3,-,12,sonetto,ABBA ABBA CDE CDE,-,11,"Io, da un ronchio, fissi agli occhi lieti",1,0,0,1,0,1,0,1,0,1,nessuna
3,-,13,sonetto,ABBA ABBA CDE CDE,-,11,"sì adoppiati aveva e sentimenti,",1,0,0,1,0,1,0,0,0,1,nessuna
3,-,14,sonetto,ABBA ABBA CDE CDE,-,11,ch'un sasso paravamo io e lo scoglio.,0,1,0,0,0,1,0,1,0,1,nessuna
4,-,1,sonetto,ABBA ABBA CDE DEC,-,11,"Guidommi Amor, ardendo ancora il sole,",0,1,0,1,0,1,0,1,0,1,nessuna
4,-,2,sonetto,ABBA ABBA CDE DEC,-,11,"sopra l'acque di Giulio, in un mirteto,",0,0,1,0,0,1,0,0,0,1,nessuna
4,-,3,sonetto,ABBA ABBA CDE DEC,-,11,"e era il mar tranquillo e il ciel quieto,",0,1,0,1,0,1,0,1,0,1,nessuna
4,-,4,sonetto,ABBA ABBA CDE DEC,-,11,"quantunque alquanto zefir, come suole,",0,1,0,1,0,1,0,0,0,1,nessuna
4,-,5,sonetto,ABBA ABBA CDE DEC,-,11,movesse agli arbuscei le cime sole:,0,1,0,0,0,1,0,1,0,1,nessuna
4,-,6,sonetto,ABBA ABBA CDE DEC,-,11,quando mi parve udire un canto lieto,1,0,0,1,0,1,0,1,0,1,nessuna
4,-,7,sonetto,ABBA ABBA CDE DEC,-,11,"tanto, che simil non fu consueto",1,0,0,1,0,0,1,0,0,1,nessuna
4,-,8,sonetto,ABBA ABBA CDE DEC,-,11,d'udir già mai nelle mortali scuole.,0,1,0,1,0,0,0,1,0,1,nessuna
4,-,9,sonetto,ABBA ABBA CDE DEC,-,11,"Per ch'io: - Angela forse, o ninfa, o dea",0,1,1,0,0,1,0,1,0,1,nessuna
4,-,10,sonetto,ABBA ABBA CDE DEC,-,11,"canta con seco in questo loco eletto -,",1,0,0,1,0,1,0,1,0,1,nessuna
4,-,11,sonetto,ABBA ABBA CDE DEC,-,11,"meco diceva, - degli antichi amori -.",1,0,0,1,0,0,0,1,0,1,nessuna
4,-,12,sonetto,ABBA ABBA CDE DEC,-,11,Quinci madonna in assai bel ricetto,1,0,0,1,0,0,0,1,0,1,nessuna
4,-,13,sonetto,ABBA ABBA CDE DEC,-,11,"del bosco ombroso, in su l'erbe e in su' fio",0,1,0,1,0,0,1,0,0,1,nessuna
4,-,14,sonetto,ABBA ABBA CDE DEC,-,11,"vidi cantando, e con altre sedea.",1,0,0,1,0,0,1,0,0,1,nessuna
5,-,1,sonetto,ABBA ABBA CDE CDE,-,11,Non credo il suon tanto soave fosse,0,1,0,1,1,0,0,1,0,1,nessuna
