#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,GiovanniBoccaccio_Rime(parteII)_Branca1992,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Rime (parte II) di Giovanni Boccaccio. Riadattato dall'archivio AMI originale. ,,,,,,,,,,,,,,,,,
#dc:author,"Giovanni Boccaccio",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Rime (parte II)",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Branca,1992",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/UBO0978090,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,sonetto,ABBA ABBA CDE CDE,-,11,"Iscinta e scalza, con le trezze avvolte,",0,1,0,1,0,0,0,1,0,1,nessuna
1,-,2,sonetto,ABBA ABBA CDE CDE,-,11,"e d'uno scoglio in altro trapassando,",0,0,0,1,0,1,0,0,0,1,nessuna
1,-,3,sonetto,ABBA ABBA CDE CDE,-,11,"conche marine da quelli spiccando,",1,0,0,1,0,0,1,0,0,1,nessuna
1,-,4,sonetto,ABBA ABBA CDE CDE,-,11,giva la donna mia con altre molte.,1,0,0,1,0,1,0,1,0,1,nessuna
1,-,5,sonetto,ABBA ABBA CDE CDE,-,11,"E l'onde, quasi in sé tutte raccolte,",0,1,0,1,0,1,1,0,0,1,nessuna
1,-,6,sonetto,ABBA ABBA CDE CDE,-,11,"con picciol moto i bianchi piè bagnando,",0,1,0,1,0,1,0,1,0,1,nessuna
1,-,7,sonetto,ABBA ABBA CDE CDE,-,11,innanzi si spingevan mormorando,0,1,0,0,0,1,0,0,0,1,nessuna
1,-,8,sonetto,ABBA ABBA CDE CDE,-,11,e ritraensi iterando le volte.,0,0,0,1,0,0,1,0,0,1,nessuna
1,-,9,sonetto,ABBA ABBA CDE CDE,-,11,"E se tal volta, forse di bagnarsi",0,0,0,1,0,1,0,0,0,1,nessuna
1,-,10,sonetto,ABBA ABBA CDE CDE,-,11,"temendo, i vestimenti in su tirava,",0,1,0,0,0,1,0,1,0,1,nessuna
1,-,11,sonetto,ABBA ABBA CDE CDE,-,11,"sì ch'io vedeo più della gamba schiuso,",0,0,0,1,1,1,0,1,0,1,nessuna
1,-,12,sonetto,ABBA ABBA CDE CDE,-,11,"oh, quali avria veduto allora farsi,",0,1,0,1,0,1,0,1,0,1,nessuna
1,-,13,sonetto,ABBA ABBA CDE CDE,-,11,"chi rimirato avesse dov'io stava,",1,0,0,1,0,1,0,0,0,1,nessuna
