#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,GiovanniDellaCasa_Rime_Fedi1978,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Rime di Giovanni Della Casa. Riadattato dall'archivio AMI originale. ,,,,,,,,,,,,,,,,,
#dc:author,"Giovanni Della Casa",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Rime",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Fedi,1978",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/TO00020679,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,sonetto,ABBA ABBA CDE CDE,-,11,"Poi ch'ogni esperta, ogni spedita mano,",0,1,0,1,1,0,0,1,0,1,nessuna
1,-,2,sonetto,ABBA ABBA CDE CDE,-,11,"qualunque mosse mai più pronto stile,",0,1,0,1,0,1,0,1,0,1,nessuna
1,-,3,sonetto,ABBA ABBA CDE CDE,-,11,"pigra in seguir voi fôra, alma gentile,",1,0,0,1,0,1,1,0,0,1,nessuna
1,-,4,sonetto,ABBA ABBA CDE CDE,-,11,pregio del mondo e mio sommo e sovrano;,1,0,0,1,0,1,1,0,0,1,nessuna
1,-,5,sonetto,ABBA ABBA CDE CDE,-,11,"né poria lingua, od intelletto umano",0,0,1,1,0,0,0,1,0,1,nessuna
1,-,6,sonetto,ABBA ABBA CDE CDE,-,11,"formar sua loda a voi par, né simile,",0,1,0,1,0,0,1,0,0,1,nessuna
1,-,7,sonetto,ABBA ABBA CDE CDE,-,11,troppo ampio spazio il mio dir tardo umile,0,1,0,1,0,0,1,1,0,1,nessuna
1,-,8,sonetto,ABBA ABBA CDE CDE,-,11,dietro al vostro valor verrà lontano:,1,0,1,0,0,1,0,1,0,1,nessuna
1,-,9,sonetto,ABBA ABBA CDE CDE,-,11,e più mi fôra onor volgerlo altrove;,0,1,0,1,0,1,0,1,0,1,nessuna
1,-,10,sonetto,ABBA ABBA CDE CDE,-,11,"se non che 'l desir mio tutto sfavilla,",0,1,0,0,0,1,1,0,0,1,nessuna
1,-,11,sonetto,ABBA ABBA CDE CDE,-,11,angel novo del ciel qua giù mirando:,1,0,1,0,0,1,0,1,0,1,nessuna
1,-,12,sonetto,ABBA ABBA CDE CDE,-,11,"o se cura di voi, figlie di Giove,",0,0,1,0,0,1,1,0,0,1,nessuna
