#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,GuidoCavalcanti_Rime_Contini1960,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Rime di Guido Cavalcanti. Riadattato dall'archivio AMI originale. ,,,,,,,,,,,,,,,,,
#dc:author,"Guido Cavalcanti",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Rime",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Contini,1960",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/LO10317904,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,7,"Fresca rosa novella,",1,0,1,0,0,1,0,0,0,0,nessuna
1,-,2,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,7,"piacente primavera,",0,1,0,0,0,1,0,0,0,0,nessuna
1,-,3,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,7,per prata e per rivera,0,1,0,0,0,1,0,0,0,0,nessuna
1,-,4,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,7,"gaiamente cantando,",0,0,1,0,0,1,0,0,0,0,nessuna
1,-,5,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,11,vostro fin presio mando - a la verdura.,1,0,0,1,0,1,0,0,0,1,nessuna
1,-,6,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,7,Lo vostro presio fino,0,1,0,1,0,1,0,0,0,0,nessuna
1,-,7,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,7,in gio' si rinovelli,0,1,0,0,0,1,0,0,0,0,nessuna
1,-,8,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,7,da grandi e da zitelli,0,1,0,0,0,1,0,0,0,0,nessuna
1,-,9,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,7,per ciascuno camino;,0,0,1,0,0,1,0,0,0,0,nessuna
1,-,10,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,7,e cantinne gli auselli,0,1,0,0,0,1,0,0,0,0,nessuna
1,-,11,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,7,ciascuno in suo latino,0,1,0,0,0,1,0,0,0,0,nessuna
1,-,12,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,7,da sera e da matino,0,1,0,0,0,1,0,0,0,0,nessuna
1,-,13,ballata,wxxy(y)Z abbabaabcdde(e)Z,-,7,su li verdi arbuscelli.,0,0,1,0,0,1,0,0,0,0,nessuna
