#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,GuidoGuinizzelli_Rime_Contini1960,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Rime di Guido Guinizzelli. Riadattato dall'archivio AMI originale. ,,,,,,,,,,,,,,,,,
#dc:author,"Guido Guinizzelli",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Rime",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Contini,1960",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/LO10317904,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,canzone,AB AB cDcEdE,-,11,"Tegno de folle 'mpres', a lo ver dire,",1,0,0,1,0,1,0,0,0,1,nessuna
1,-,2,canzone,AB AB cDcEdE,-,11,"chi s'abandona inver' troppo possente,",0,0,0,1,0,1,1,0,0,1,nessuna
1,-,3,canzone,AB AB cDcEdE,-,11,sì como gli occhi miei che fèr' esmire,0,1,0,1,0,1,0,0,0,1,nessuna
1,-,4,canzone,AB AB cDcEdE,-,11,"incontr' a quelli de la più avenente,",0,1,0,1,0,0,0,0,0,1,nessuna
1,-,5,canzone,AB AB cDcEdE,-,7,che sol per lor èn vinti,0,1,0,1,0,1,0,0,0,0,nessuna
1,-,6,canzone,AB AB cDcEdE,-,11,senza ch'altre bellezze li dian forza:,1,0,1,0,0,1,0,0,0,1,nessuna
1,-,7,canzone,AB AB cDcEdE,-,7,"ch[è] a ciò far son pinti,",0,0,0,1,0,1,0,0,0,0,nessuna
1,-,8,canzone,AB AB cDcEdE,-,11,"sì come gran baronia di segnore,",0,1,0,0,0,0,1,0,0,1,nessuna
1,-,9,canzone,AB AB cDcEdE,-,7,"quando vuol usar forza,",1,0,1,0,1,1,0,0,0,0,nessuna
1,-,10,canzone,AB AB cDcEdE,-,11,tutta s'apresta in donarli valore.,1,0,0,1,0,0,1,0,0,1,nessuna
1,-,11,canzone,AB AB cDcEdE,-,11,Di sì forte valor lo colpo venne,0,0,1,0,0,1,0,1,0,1,nessuna
1,-,12,canzone,AB AB cDcEdE,-,11,"che gli occhi no'l ritenner di neente,",0,1,0,0,0,1,0,0,0,1,nessuna
1,-,13,canzone,AB AB cDcEdE,-,11,"ma passò dentr'al cor, che lo sostenne",0,0,1,0,0,1,0,0,0,1,nessuna
1,-,14,canzone,AB AB cDcEdE,-,11,e sentèsi plagato duramente;,0,0,1,0,0,1,0,0,0,1,nessuna
1,-,15,canzone,AB AB cDcEdE,-,7,"e poi li rendè pace,",0,1,0,0,1,1,0,0,0,0,nessuna
1,-,16,canzone,AB AB cDcEdE,-,11,"sì come troppo agravata cosa,",0,1,0,1,0,0,0,1,0,1,nessuna
1,-,17,canzone,AB AB cDcEdE,-,7,che more in letto e giace:,0,1,0,1,0,1,0,0,0,0,nessuna
1,-,18,canzone,AB AB cDcEdE,-,11,"ella non mette cura di neente,",1,0,0,1,0,1,0,0,0,1,nessuna
1,-,19,canzone,AB AB cDcEdE,-,7,"ma vassen disdegnosa,",0,1,0,0,0,1,0,0,0,0,nessuna
1,-,20,canzone,AB AB cDcEdE,-,11,"ché si vede alta, bella e avenente.",0,0,1,1,0,1,0,0,0,1,nessuna
1,-,21,canzone,AB AB cDcEdE,-,11,"Ben si pò tener alta quanto vòle,",1,0,0,0,1,1,0,1,0,1,nessuna
1,-,22,canzone,AB AB cDcEdE,-,11,ché la plu bella donna è che si trove,0,0,0,1,0,1,1,0,0,1,nessuna
1,-,23,canzone,AB AB cDcEdE,-,11,ed infra l'altre par lucente sole,0,1,0,1,0,1,0,1,0,1,nessuna
1,-,24,canzone,AB AB cDcEdE,-,11,e falle disparer a tutte prove:,0,1,0,0,0,1,0,1,0,1,nessuna
1,-,25,canzone,AB AB cDcEdE,-,7,"ché 'n lei èno adornezze,",0,1,1,0,0,1,0,0,0,0,nessuna
1,-,26,canzone,AB AB cDcEdE,-,11,"gentilezze, savere e bel parlare",0,0,1,0,0,1,0,0,0,1,nessuna
1,-,27,canzone,AB AB cDcEdE,-,7,e sovrane bellezze;,0,0,1,0,0,1,0,0,0,0,nessuna
1,-,28,canzone,AB AB cDcEdE,-,11,tutto valor in lei par che si metta;,1,0,0,1,0,1,1,0,0,1,nessuna
1,-,29,canzone,AB AB cDcEdE,-,7,posso 'n breve contare:,1,0,1,0,0,1,0,0,0,0,nessuna
1,-,30,canzone,AB AB cDcEdE,-,11,madonna è de le donne gioia eletta.,0,1,0,0,0,1,0,1,0,1,nessuna
1,-,31,canzone,AB AB cDcEdE,-,11,Ben è eletta gioia da vedere,1,0,0,1,0,1,0,0,0,1,nessuna
1,-,32,canzone,AB AB cDcEdE,-,11,"quand' apare 'nfra l'altre più adorna,",0,0,1,0,0,1,0,0,0,1,nessuna
1,-,33,canzone,AB AB cDcEdE,-,11,ché tutta la rivera fa lucere,0,1,0,0,0,1,0,0,0,1,nessuna
1,-,34,canzone,AB AB cDcEdE,-,11,e ciò che l'è d'incerchio allegro torna;,0,1,0,0,0,1,0,1,0,1,nessuna
1,-,35,canzone,AB AB cDcEdE,-,7,"la notte, s'aparisce,",0,1,0,0,0,1,0,0,0,0,nessuna
1,-,36,canzone,AB AB cDcEdE,-,11,"come lo sol di giorno dà splendore,",1,0,0,1,0,1,0,1,0,1,nessuna
1,-,37,canzone,AB AB cDcEdE,-,7,così l'aere sclarisce:,0,1,1,0,0,1,0,0,0,0,nessuna
1,-,38,canzone,AB AB cDcEdE,-,11,"onde 'l giorno ne porta grande 'nveggia,",1,0,1,0,0,1,0,1,0,1,nessuna
1,-,39,canzone,AB AB cDcEdE,-,7,"ch'ei solo avea clarore,",0,1,0,1,0,1,0,0,0,0,nessuna
1,-,40,canzone,AB AB cDcEdE,-,11,ora la notte igualmente 'l pareggia.,1,0,0,1,0,0,1,0,0,1,nessuna
1,-,41,canzone,AB AB cDcEdE,-,11,Amor m'ha dato a madonna servire:,0,1,0,1,0,0,1,0,0,1,nessuna
1,-,42,canzone,AB AB cDcEdE,-,11,"o vogl'i' o non voglia, così este;",0,1,0,0,0,1,0,0,1,1,nessuna
1,-,43,canzone,AB AB cDcEdE,-,11,né saccio certo ben ragion vedere,0,1,0,1,0,1,0,1,0,1,nessuna
1,-,44,canzone,AB AB cDcEdE,-,11,sì como sia caduto a 'ste tempeste:,0,1,0,0,0,1,0,0,0,1,nessuna
1,-,45,canzone,AB AB cDcEdE,-,7,da lei non ho sembiante,0,1,0,0,0,1,0,0,0,0,nessuna
1,-,46,canzone,AB AB cDcEdE,-,11,"ed ella non mi fa vist'amorosa,",0,1,0,0,0,1,1,0,0,1,nessuna
1,-,47,canzone,AB AB cDcEdE,-,7,"per ch'eo divegn'amante,",0,1,0,1,0,1,0,0,0,0,nessuna
1,-,48,canzone,AB AB cDcEdE,-,11,"se non per dritta forza di valore,",0,1,0,1,0,1,0,0,0,1,nessuna
1,-,49,canzone,AB AB cDcEdE,-,7,che la rende gioiosa;,0,0,1,0,0,1,0,0,0,0,nessuna
1,-,50,canzone,AB AB cDcEdE,-,11,onde mi piace morir per su' amore.,1,0,0,1,0,0,1,0,0,1,nessuna
2,-,1,canzone,ABc ABc DdEeFF,-,11,"Madonna, il fino amor ched eo vo porto",0,1,0,1,0,1,0,1,0,1,nessuna
2,-,2,canzone,ABc ABc DdEeFF,-,11,mi dona sì gran gioia ed allegranza,0,1,0,0,0,1,0,0,0,1,nessuna
2,-,3,canzone,ABc ABc DdEeFF,-,7,(ch'aver mi par d'Amore),0,1,0,1,0,1,0,0,0,0,nessuna
2,-,4,canzone,ABc ABc DdEeFF,-,11,"che d'ogni parte m'aduce conforto,",0,0,0,1,0,0,1,0,0,1,nessuna
2,-,5,canzone,ABc ABc DdEeFF,-,11,"quando mi membra di voi la 'ntendanza,",1,0,0,1,0,0,1,0,0,1,nessuna
2,-,6,canzone,ABc ABc DdEeFF,-,7,"a farmi di valore,",0,1,0,0,0,1,0,0,0,0,nessuna
2,-,7,canzone,ABc ABc DdEeFF,-,11,a ciò che la natura mia me mina,0,1,0,0,0,1,0,1,0,1,nessuna
2,-,8,canzone,ABc ABc DdEeFF,-,7,"ad esser di voi, fina,",0,1,0,0,1,1,0,0,0,0,nessuna
2,-,9,canzone,ABc ABc DdEeFF,-,11,così distrettamente innamorato,0,1,0,0,0,1,0,0,0,1,nessuna
2,-,10,canzone,ABc ABc DdEeFF,-,7,che mai in altro lato,0,1,0,0,0,1,0,0,0,0,nessuna
2,-,11,canzone,ABc ABc DdEeFF,-,11,Amor non mi pò dar fin piagimento:,0,1,0,0,0,1,1,0,0,1,nessuna
2,-,12,canzone,ABc ABc DdEeFF,-,11,anzi d'aver m'allegra ogni tormento.,1,0,0,1,0,1,1,0,0,1,nessuna
2,-,13,canzone,ABc ABc DdEeFF,-,11,Dar allegranza amorosa natura,1,0,0,1,0,1,0,0,0,1,nessuna
2,-,14,canzone,ABc ABc DdEeFF,-,11,"senz'esser l'omo a dover gioi compire,",0,1,0,1,0,0,1,1,0,1,nessuna
2,-,15,canzone,ABc ABc DdEeFF,-,7,inganno mi simiglia:,0,1,0,0,0,1,0,0,0,0,nessuna
2,-,16,canzone,ABc ABc DdEeFF,-,11,"ch'Amor, quando è di propïa ventura,",0,1,0,1,0,1,0,0,0,1,nessuna
2,-,17,canzone,ABc ABc DdEeFF,-,11,"di sua natura adopera il morire,",0,0,0,1,0,1,0,0,0,1,nessuna
2,-,18,canzone,ABc ABc DdEeFF,-,7,così gran foco piglia;,0,1,0,1,0,1,0,0,0,0,nessuna
2,-,19,canzone,ABc ABc DdEeFF,-,11,"ed eo, che son di tale amor sorpriso,",0,1,0,1,0,0,0,1,0,1,nessuna
2,-,20,canzone,ABc ABc DdEeFF,-,7,tegnom' a grave miso,1,0,0,1,0,1,0,0,0,0,nessuna
2,-,21,canzone,ABc ABc DdEeFF,-,11,"e non so che natura dé compire,",0,0,1,0,0,1,0,0,0,1,nessuna
2,-,22,canzone,ABc ABc DdEeFF,-,7,se non ch'audit' ho dire,0,1,0,1,0,1,0,0,0,0,nessuna
2,-,23,canzone,ABc ABc DdEeFF,-,11,che 'n quello amare è periglioso inganno,0,1,0,1,0,0,0,1,0,1,nessuna
2,-,24,canzone,ABc ABc DdEeFF,-,11,che l'omo a far diletta e porta danno.,0,1,0,1,0,1,0,1,0,1,nessuna
2,-,25,canzone,ABc ABc DdEeFF,-,11,Sottil voglia vi poteria mostrare,0,1,1,0,0,0,0,1,0,1,nessuna
2,-,26,canzone,ABc ABc DdEeFF,-,11,"come di voi m'ha priso amore amaro,",1,0,0,1,0,1,0,1,0,1,nessuna
2,-,27,canzone,ABc ABc DdEeFF,-,7,"ma ciò dire non voglio,",0,1,1,0,0,1,0,0,0,0,nessuna
2,-,28,canzone,ABc ABc DdEeFF,-,11,ché 'n tutte guise vi deggio laudare:,0,1,0,1,0,0,1,0,0,1,nessuna
2,-,29,canzone,ABc ABc DdEeFF,-,11,per ch'e' più dispietosa vo'n declaro,0,1,0,0,0,1,0,0,0,1,nessuna
