#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,GuidodelleColonneDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Guido delle Colonne,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,ABC ABC (c)D(d)EE,,11,"La mia gran pena e lo gravoso afanno,",0,1,0,1,0,0,0,1,0,1,
1,,2,canzone,ABC ABC (c)D(d)EE,,11,"ch'ò lungiamente per amor patuto,",1,0,0,1,0,0,0,1,0,1,
1,,3,canzone,ABC ABC (c)D(d)EE,,11,madonna lo m'à 'n gioia ritornato.,0,1,0,0,1,1,0,0,0,1,
1,,4,canzone,ABC ABC (c)D(d)EE,,11,"Pensando l'avenente di mio danno,",0,1,0,0,0,1,0,0,0,1,
1,,5,canzone,ABC ABC (c)D(d)EE,,11,"in sua merzede m'àve riceputo,",0,0,0,1,0,1,0,0,0,1,
1,,6,canzone,ABC ABC (c)D(d)EE,,11,e lo sofrire mal m'à meritato:,0,0,0,1,0,1,0,0,0,1,
1,,7,canzone,ABC ABC (c)D(d)EE,,5+6,"ch'ella m'à dato - tanto bene avere,",1,0,0,1,0,1,0,1,0,1,
1,,8,canzone,ABC ABC (c)D(d)EE,,5+6,che lo sofrire - molta malenanza,0,0,0,1,0,1,0,0,0,1,
1,,9,canzone,ABC ABC (c)D(d)EE,,11,"aggi'ubrïato, e vivo in allegranza.",1,0,0,1,0,1,0,0,0,1,
1,,10,canzone,ABC ABC (c)D(d)EE,,11,"Allegro so', ca tale segnoria",0,1,0,1,0,1,0,0,0,1,
1,,11,canzone,ABC ABC (c)D(d)EE,,11,aggio acquistata per mal soferire,1,0,0,1,0,0,1,0,0,1,
1,,12,canzone,ABC ABC (c)D(d)EE,,11,in quella che d'amor non vao cessando.,0,1,0,0,0,1,0,0,0,1,
1,,13,canzone,ABC ABC (c)D(d)EE,,11,"Certo a gran torto lo mal blasmeria,",1,0,0,1,0,0,1,0,0,1,
1,,14,canzone,ABC ABC (c)D(d)EE,,11,che per un male aggio visto avenire,0,0,0,1,0,0,1,0,0,1,
1,,15,canzone,ABC ABC (c)D(d)EE,,11,"poco di bene andare amegliorando,",1,0,0,1,0,1,0,0,0,1,
1,,16,canzone,ABC ABC (c)D(d)EE,,5+6,"ed atardando, - per molto adastiare",0,0,0,1,0,0,1,0,0,1,
1,,17,canzone,ABC ABC (c)D(d)EE,,5+6,un grand'afare - tornare a neiente:,0,0,0,1,0,0,1,0,0,1,
1,,18,canzone,ABC ABC (c)D(d)EE,,11,chi vole amar dev'essere ubidente.,0,1,0,1,0,1,0,0,0,1,
1,,19,canzone,ABC ABC (c)D(d)EE,,11,"Ubidente so' stato tutavia,",0,0,1,0,0,1,0,0,0,1,
1,,20,canzone,ABC ABC (c)D(d)EE,,11,ed ò servuto adesso co leanza,0,0,0,1,0,1,0,0,0,1,
1,,21,canzone,ABC ABC (c)D(d)EE,,11,"a la sovrana di conoscimento,",0,0,0,1,0,0,0,0,0,1,
1,,22,canzone,ABC ABC (c)D(d)EE,,11,"quella che lo meo core distringia,",1,0,0,0,0,1,0,0,0,1,
1,,23,canzone,ABC ABC (c)D(d)EE,,11,ed ora in gioia d'amore m'inavanza.,0,1,0,1,0,1,0,0,0,1,
1,,24,canzone,ABC ABC (c)D(d)EE,,11,"Soferendo aggio avuto compimento,",0,0,1,0,0,1,0,0,0,1,
1,,25,canzone,ABC ABC (c)D(d)EE,,5+6,e per un cento - m'àve più di savore,0,0,0,0,0,0,0,0,0,0,IPERMETRO
1,,26,canzone,ABC ABC (c)D(d)EE,,5+6,lo ben ch'Amore - mi face sentire,0,1,0,1,0,0,1,0,0,1,
1,,27,canzone,ABC ABC (c)D(d)EE,,11,per lo gran mal che m'à fatto sofrire.,0,0,0,1,0,0,1,0,0,1,
1,,28,canzone,ABC ABC (c)D(d)EE,,11,Se madonna m'à ffatto soferire,0,0,1,0,0,1,0,0,0,1,
1,,29,canzone,ABC ABC (c)D(d)EE,,11,"per gioia d'amore avere compimento,",0,1,0,1,0,1,0,0,0,1,
1,,30,canzone,ABC ABC (c)D(d)EE,,11,pene e travaglia ben m'à meritato.,1,0,0,1,0,1,0,0,0,1,
1,,31,canzone,ABC ABC (c)D(d)EE,,11,"Poi ch'a llei piace, a me ben de' piacere,",1,0,1,1,0,1,1,0,0,1,
1,,32,canzone,ABC ABC (c)D(d)EE,,11,che 'nd'aggio avuto tanto vallimento:,0,0,0,1,0,1,0,0,0,1,
1,,33,canzone,ABC ABC (c)D(d)EE,,11,"sovr'ogne amante m'àve più 'norato,",0,1,0,1,0,1,0,0,0,1,
1,,34,canzone,ABC ABC (c)D(d)EE,,5+6,"ch'aggio aquistato - d'amar la più sovrana,",0,0,0,0,0,0,0,0,0,0,IPERMETRO
1,,35,canzone,ABC ABC (c)D(d)EE,,5+6,"che, se Morgana - fosse infra la gente,",0,0,0,1,0,1,1,0,0,1,
1,,36,canzone,ABC ABC (c)D(d)EE,,11,inver' madonna non paria neiente.,0,1,0,1,0,0,0,1,0,1,
1,,37,canzone,ABC ABC (c)D(d)EE,,11,Neiente vale amor sanza penare:,0,1,0,1,0,1,1,0,0,1,
1,,38,canzone,ABC ABC (c)D(d)EE,,11,"chi vole amar, conviene mal patire;",0,1,0,1,0,1,0,0,0,1,
1,,39,canzone,ABC ABC (c)D(d)EE,,11,onde mille mercé n'aggia lo male,1,0,1,0,0,1,1,0,0,1,
1,,40,canzone,ABC ABC (c)D(d)EE,,11,"che m'à fatto in tanto bene montare,",0,0,1,0,1,0,1,0,0,1,
1,,41,canzone,ABC ABC (c)D(d)EE,,11,ch'ïo nonn aggio infra la gente ardire,1,0,0,1,1,0,0,1,0,1,
1,,42,canzone,ABC ABC (c)D(d)EE,,11,di dir la gioia ove il mi' core sale.,0,1,0,1,1,0,0,1,0,1,
1,,43,canzone,ABC ABC (c)D(d)EE,,5+6,Ordunque vale - meglio di poco avere,0,0,0,0,0,0,0,0,0,0,IPERMETRO
1,,44,canzone,ABC ABC (c)D(d)EE,,4+7,che sentire - troppo bene a stagione:,0,0,1,0,1,0,1,0,0,1,
1,,45,canzone,ABC ABC (c)D(d)EE,,11,per troppo ben diventa omo fellone.,0,1,0,1,0,1,1,0,0,1,
2,,1,canzone,abbc abbc (c)DDEE,,7,Gioiosamente canto,0,0,0,1,0,1,0,0,0,0,
2,,2,canzone,abbc abbc (c)DDEE,,7,"e vivo in allegranza,",0,1,0,0,0,1,0,0,0,0,
2,,3,canzone,abbc abbc (c)DDEE,,7,"ca per la vostr'amanza,",0,0,0,1,0,1,0,0,0,0,
2,,4,canzone,abbc abbc (c)DDEE,,7,"madonna, gran gioia sento.",0,1,0,0,1,1,0,0,0,0,
2,,5,canzone,abbc abbc (c)DDEE,,7,"S'eo travagliai cotanto,",1,0,0,1,0,1,0,0,0,0,
2,,6,canzone,abbc abbc (c)DDEE,,7,or aggio riposanza;,0,1,0,0,0,1,0,0,0,0,
2,,7,canzone,abbc abbc (c)DDEE,,7,ben aggia disïanza,0,1,0,0,0,1,0,0,0,0,
2,,8,canzone,abbc abbc (c)DDEE,,7,che vene a compimento;,0,1,0,0,0,1,0,0,0,0,
2,,9,canzone,abbc abbc (c)DDEE,,7+4,"ca tuto mal talento - torna in gioi,",0,1,0,0,0,1,0,1,0,1,
2,,10,canzone,abbc abbc (c)DDEE,,11,quandunque la speranza vien dipoi;,0,1,0,0,0,1,0,1,0,1,
2,,11,canzone,abbc abbc (c)DDEE,,11,und'eo m'alegro di grande ardimento:,0,1,0,1,0,0,1,0,0,1,
2,,12,canzone,abbc abbc (c)DDEE,,11,"un giorno vene, che val più di cento.",0,1,0,1,0,0,1,0,0,1,
2,,13,canzone,abbc abbc (c)DDEE,,7,Ben passa rose e fiore,0,1,0,1,0,1,0,0,0,0,
2,,14,canzone,abbc abbc (c)DDEE,,7,"la vostra fresca cera,",0,1,0,1,0,1,0,0,0,0,
2,,15,canzone,abbc abbc (c)DDEE,,7,"lucente più che spera,",0,1,0,0,0,1,0,0,0,0,
2,,16,canzone,abbc abbc (c)DDEE,,7,e la boca aulitosa,0,0,1,0,0,1,0,0,0,0,
2,,17,canzone,abbc abbc (c)DDEE,,7,più rende aulente aulore,0,1,0,1,0,1,0,0,0,0,
2,,18,canzone,abbc abbc (c)DDEE,,7,che non fa d'una fera,0,0,1,0,0,1,0,0,0,0,
2,,19,canzone,abbc abbc (c)DDEE,,7,"ch'à nome la pantera,",0,1,0,0,0,1,0,0,0,0,
2,,20,canzone,abbc abbc (c)DDEE,,7,che 'n India nasce ed usa;,0,1,0,1,0,1,0,0,0,0,
2,,21,canzone,abbc abbc (c)DDEE,,7+4,"sovr'ogn'altra, amorosa, - mi parete",0,0,1,0,0,1,0,0,0,1,
2,,22,canzone,abbc abbc (c)DDEE,,11,"fontana che m'à tolta ognunque sete,",0,1,0,0,0,1,0,1,0,1,
2,,23,canzone,abbc abbc (c)DDEE,,11,per ch'eo son vostro più leale e fino,0,1,0,1,0,0,0,1,0,1,
2,,24,canzone,abbc abbc (c)DDEE,,11,che nonn è al suo segnore l'assessino.,0,0,1,0,0,1,0,0,0,1,
2,,25,canzone,abbc abbc (c)DDEE,,7,"Come fontana piena,",1,0,0,1,0,1,0,0,0,0,
2,,26,canzone,abbc abbc (c)DDEE,,7,"che spande tuta quanta,",0,1,0,1,0,1,0,0,0,0,
2,,27,canzone,abbc abbc (c)DDEE,,7,"così lo meo cor canta,",0,1,0,0,1,1,0,0,0,0,
2,,28,canzone,abbc abbc (c)DDEE,,7,sì fortemente abonda,0,0,0,1,0,1,0,0,0,0,
2,,29,canzone,abbc abbc (c)DDEE,,7,de la gran gioia che mena,0,0,0,1,0,1,0,0,0,0,
2,,30,canzone,abbc abbc (c)DDEE,,7,"per voi, madonna, tanta,",0,1,0,1,0,1,0,0,0,0,
2,,31,canzone,abbc abbc (c)DDEE,,7,"che certamente è tanta,",0,0,0,1,0,1,0,0,0,0,
2,,32,canzone,abbc abbc (c)DDEE,,7,nonn à dove s'asconda.,0,1,1,0,0,1,0,0,0,0,
2,,33,canzone,abbc abbc (c)DDEE,,7+4,"E più ch'augello in fronda - son gioioso,",0,1,0,1,0,1,0,0,0,1,
2,,34,canzone,abbc abbc (c)DDEE,,11,e ben posso cantare piùe amoroso,0,0,1,0,0,1,0,0,0,1,
2,,35,canzone,abbc abbc (c)DDEE,,11,che non canta giamai null'altro amante,0,0,1,0,0,1,0,1,0,1,
2,,36,canzone,abbc abbc (c)DDEE,,11,uso di bene amare otrapassante.,1,0,0,1,0,1,0,0,0,1,
