#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,IacopoDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Iacopo,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,abc abc dde(e)C,,7,Così afino ad amarvi,0,0,1,0,0,1,0,0,0,0,
1,,2,canzone,abc abc dde(e)C,,7,"com'auro a la fornace,",0,1,0,0,0,1,0,0,0,0,
1,,3,canzone,abc abc dde(e)C,,7,ch'afina pur ardendo,0,1,0,1,0,1,0,0,0,0,
1,,4,canzone,abc abc dde(e)C,,7,senza veder guardarvi.,1,0,0,1,0,1,0,0,0,0,
1,,5,canzone,abc abc dde(e)C,,7,"Donna, già non vi piace",1,0,1,0,0,1,0,0,0,0,
1,,6,canzone,abc abc dde(e)C,,7,lo mio affannar piangendo:,0,0,0,1,0,1,0,0,0,0,
1,,7,canzone,abc abc dde(e)C,,7,"bagnandomi lo viso,",0,1,0,0,0,1,0,0,0,0,
1,,8,canzone,abc abc dde(e)C,,7,pianger mi torna riso,1,0,0,1,0,1,0,0,0,0,
1,,9,canzone,abc abc dde(e)C,,7,e d'ira mi discorda;,0,1,0,0,0,1,0,0,0,0,
1,,10,canzone,abc abc dde(e)C,,7+5,la dolz'agua m'acorda - piange· ridendo.,0,0,0,0,0,0,0,0,0,0,IPERMETRO
1,,11,canzone,abc abc dde(e)C,,7,Molto mi riconforta,1,0,0,0,0,1,0,0,0,0,
1,,12,canzone,abc abc dde(e)C,,7,che credo ca vi doglia,0,1,0,0,0,1,0,0,0,0,
1,,13,canzone,abc abc dde(e)C,,7,che 'l geloso a l'anghiare,0,0,1,0,0,1,0,0,0,0,
1,,14,canzone,abc abc dde(e)C,,7,"io vidi far la scorta,",0,1,0,1,0,1,0,0,0,0,
1,,15,canzone,abc abc dde(e)C,,7,che del morir m'avoglia.,0,0,0,1,0,1,0,0,0,0,
1,,16,canzone,abc abc dde(e)C,,7,"Lasso!, che dëo fare?",1,0,0,1,0,1,0,0,0,0,
1,,17,canzone,abc abc dde(e)C,,7,"ch'Amor mi dona foco,",0,1,0,1,0,1,0,0,0,0,
