#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,JacopoMostacciDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Rime di Jacopo Mostacci. Fellowship Marco Praloran 2013. ,,,,,,,,,,,,,,,,,
#dc:author,Jacopo Mostacci,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,https://docs.google.com/spreadsheets/d/17JCO4ZeEDlpnykLbbfWUvfblOo8YXq7wpiLlWi7IiRc/edit?usp=sharing,,,# file da cui è stato esportato,,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,abC abC cdecd(c)E,,7,Allegramente canto,0,0,0,1,0,1,0,0,0,0,
1,,2,canzone,abC abC cdecd(c)E,,7,certo ed a gra· ragione,1,0,0,1,0,1,0,0,0,0,
1,,3,canzone,abC abC cdecd(c)E,,11,com'amador ch'à gioia a suo volire;,0,0,0,1,0,1,0,0,0,1,
1,,4,canzone,abC abC cdecd(c)E,,7,ma non ch'io già pertanto,0,0,1,1,0,1,0,0,0,0,
1,,5,canzone,abC abC cdecd(c)E,,7,dimostri la cagione,0,1,0,0,0,1,0,0,0,0,
1,,6,canzone,abC abC cdecd(c)E,,11,"de la mia gioia, che ciò saria fallire.",0,0,0,1,0,1,0,1,0,1,
1,,7,canzone,abC abC cdecd(c)E,,7,Ma io farò parire,0,1,0,1,0,1,0,0,0,0,
1,,8,canzone,abC abC cdecd(c)E,,7,ch'io sia meno gioioso,1,0,1,0,0,1,0,0,0,0,
1,,9,canzone,abC abC cdecd(c)E,,7,ch'a mia gioia non s'avene;,0,0,1,0,0,1,0,0,0,0,
1,,10,canzone,abC abC cdecd(c)E,,7,ch'omo senza temere,1,0,1,0,0,1,0,0,0,0,
1,,11,canzone,abC abC cdecd(c)E,,7,"non par che sia amoroso,",0,1,0,0,0,1,0,0,0,0,
1,,12,canzone,abC abC cdecd(c)E,,7+5,ch'amar sanza temere - non si convene.,0,0,0,0,0,0,0,0,0,0,IPERMETRO
1,,13,canzone,abC abC cbdab(c)D,,7,E se lla mia temenza,0,0,0,1,0,1,0,0,0,0,
1,,14,canzone,abC abC cbdab(c)D,,7,"nasce di bene amare,",1,0,0,1,0,1,0,0,0,0,
1,,15,canzone,abC abC cbdab(c)D,,11,dunqua deggio cantar più 'namorato:,1,0,1,0,0,1,0,0,0,1,
1,,16,canzone,abC abC cbdab(c)D,,7,"e sì farò, ma senza",0,1,0,1,0,1,0,0,0,0,
1,,17,canzone,abC abC cbdab(c)D,,7,"vano dismisurare,",1,0,0,0,0,1,0,0,0,0,
