#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,JacopoSannazaro_Rime_Mauro1961,,,,,,,,,,,,,,,,,
#dc:description,questa è una trascrizione fatta nel corso dei progetti precedenti.,,,,,,,,,,,,,,,,,
#dc:author,"Jacopo Sannazaro",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Rime",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Mauro,1961",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/IEI0032408,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,sonetto,ABBA ABBA CDE DEC,-,11,Se quel soave stil che da' prim' anni,0,0,0,1,0,1,0,0,0,1,nessuna
1,-,2,sonetto,ABBA ABBA CDE DEC,-,11,"infuse Apollo a le mie rime nove,",0,1,0,1,0,0,0,1,0,1,nessuna
1,-,3,sonetto,ABBA ABBA CDE DEC,-,11,non fusse per dolor rivolto altrove,0,1,0,0,0,1,0,1,0,1,nessuna
1,-,4,sonetto,ABBA ABBA CDE DEC,-,11,"a parlar di sospir sempre e d' affanni,",0,0,1,0,0,1,1,0,0,1,nessuna
1,-,5,sonetto,ABBA ABBA CDE DEC,-,11,io sarei forse in loco ove gl' inganni,0,0,1,1,0,1,1,0,0,1,nessuna
1,-,6,sonetto,ABBA ABBA CDE DEC,-,11,"del cieco mondo perderian lor prove,",0,1,0,1,0,0,0,1,0,1,nessuna
1,-,7,sonetto,ABBA ABBA CDE DEC,-,11,né l' ira di Vulcan né i tuon di Giove,0,1,0,0,0,1,0,1,0,1,nessuna
1,-,8,sonetto,ABBA ABBA CDE DEC,-,11,mi farebbon temer ruina o danni.,0,0,1,0,0,1,0,1,0,1,nessuna
1,-,9,sonetto,ABBA ABBA CDE DEC,-,11,"Ché se le statue e i sassi il tempo frange,",0,0,0,1,0,1,0,1,0,1,nessuna
1,-,10,sonetto,ABBA ABBA CDE DEC,-,11,"e de' sepolcri è incerta e breve gloria,",0,0,0,1,0,1,0,1,0,1,nessuna
1,-,11,sonetto,ABBA ABBA CDE DEC,-,11,col canto sol potea levarmi a vuolo;,0,1,0,1,0,1,0,1,0,1,nessuna
1,-,12,sonetto,ABBA ABBA CDE DEC,-,11,"onde con fama et immortal memoria,",1,0,0,1,0,0,0,1,0,1,nessuna
