#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,JacopodAquinoDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Rime di Jacopo d'Aquino. Fellowship Marco Praloran 2013. ,,,,,,,,,,,,,,,,,
#dc:author,Jacopo d'Aquino,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,ABAB (b)Ccc(c)B,,11,Al cor m'è nato e prende uno disio,0,1,0,1,0,1,0,0,0,1,
1,,2,canzone,ABAB (b)Ccc(c)B,,11,"d'amor, che m'à sì llungiamente priso",0,1,0,1,0,0,0,1,0,1,
1,,3,canzone,ABAB (b)Ccc(c)B,,11,"e sì mi stringe forte, ch'io non crio",0,1,0,1,0,1,0,1,0,1,
1,,4,canzone,ABAB (b)Ccc(c)B,,11,che d'altr'amor mi piaccia gioia né riso.,0,1,0,1,0,1,0,1,0,1,
1,,5,canzone,ABAB (b)Ccc(c)B,,5+7,Vaio né griso - né nulla gioia che sia,0,0,0,0,0,0,0,0,0,0,ipermetro
1,,6,canzone,ABAB (b)Ccc(c)B,,5,"io non voria,",1,0,0,1,0,0,0,0,0,0,
1,,7,canzone,ABAB (b)Ccc(c)B,,5,"né segnoria,",0,0,0,1,0,0,0,0,0,0,
1,,8,canzone,ABAB (b)Ccc(c)B,,5+7,ma tutavia - veder lo bello viso.,0,0,0,1,0,1,0,1,0,1,
1,,9,canzone,ABAB (b)Ccc(c)B,,11,"Così m'afina Amore, che m'à tolto",0,1,0,1,0,1,0,0,0,1,
1,,10,canzone,ABAB (b)Ccc(c)B,,11,"core e disio e tuta la mia mente,",1,0,0,1,0,1,0,0,0,1,
1,,11,canzone,ABAB (b)Ccc(c)B,,11,e d'altra donna amar non sono acorto,0,1,0,1,0,1,0,1,0,1,
1,,12,canzone,ABAB (b)Ccc(c)B,,11,che tanto si' amorosa né piacente;,0,1,0,0,0,1,0,0,0,1,
1,,13,canzone,ABAB (b)Ccc(c)B,,5+7,nom m'è neente - sed io son d'altr'amato,0,0,0,0,0,0,0,0,0,0,ipermetro
1,,14,canzone,ABAB (b)Ccc(c)B,,5,o disïato;,0,0,0,1,0,0,0,0,0,0,
1,,15,canzone,ABAB (b)Ccc(c)B,,5,"be· ll'ò provato,",1,0,0,1,0,0,0,0,0,0,
1,,16,canzone,ABAB (b)Ccc(c)B,,5+7,mentr'io son stato - lontan da la più gente.,0,0,0,0,0,0,0,0,0,0,ipermetro
1,,17,canzone,ABAB (b)Ccc(c)B,,11,"Ancor ch'io sia lontano in altra parte,",0,1,0,1,0,1,0,1,0,1,
1,,18,canzone,ABAB (b)Ccc(c)B,,11,"là 'vunque io vado, il su' amor mi mantene",0,1,0,1,0,0,1,0,0,1,
1,,19,canzone,ABAB (b)Ccc(c)B,,11,"e giamai dal mio core non si parte,",0,0,1,0,0,1,0,0,0,1,
1,,20,canzone,ABAB (b)Ccc(c)B,,11,né altra donna amar non mi sovene;,0,1,0,1,0,1,0,0,0,1,
1,,21,canzone,ABAB (b)Ccc(c)B,,5+7,"perzò m'avene - ca, s'io sogno, la veo,",0,0,0,0,0,0,0,0,0,0,ipermetro
1,,22,canzone,ABAB (b)Ccc(c)B,,5,"dormo e doneo,",1,0,0,1,0,0,0,0,0,0,
1,,23,canzone,ABAB (b)Ccc(c)B,,5,"vegliar mi creo,",0,1,0,1,0,0,0,0,0,0,
1,,24,canzone,ABAB (b)Ccc(c)B,,5+7,mai non disio - d'aver null'altro bene.,1,0,0,1,0,1,0,1,0,1,
1,,25,canzone,ABAB (b)Ccc(c)B,,11,"Membrandomi la sua cera piagente,",0,1,0,0,0,0,1,0,0,1,
1,,26,canzone,ABAB (b)Ccc(c)B,,11,veder la crëo tuta per sembianti:,0,1,0,1,0,1,0,0,0,1,
1,,27,canzone,ABAB (b)Ccc(c)B,,11,"com'om ch'a lo spechiare tene mente,",0,1,0,0,0,1,0,1,0,1,
1,,28,canzone,ABAB (b)Ccc(c)B,,11,"così mi pare ch'io l'aggia davanti,",0,1,0,1,0,0,1,0,0,1,
