#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,LorenzoilMagnifico_Rime_Zanato1991,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Rime di Lorenzo il Magnifico. Riadattato dall'archivio AMI originale. ,,,,,,,,,,,,,,,,,
#dc:author,"Lorenzo il Magnifico",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Rime",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Zanato,1991",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,Non disponibile,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
16,-,1,sestina,-,-,11,"Fuggo i bei raggi del mio ardente Sole,",1,0,0,1,0,0,0,1,0,1,nessuna
16,-,2,sestina,-,-,11,"silvestra fera all'ombra delle fronde,",0,1,0,1,0,1,0,0,0,1,nessuna
16,-,3,sestina,-,-,11,e vo cercando ruscelletti e fonti,0,0,0,1,0,0,0,1,0,1,nessuna
16,-,4,sestina,-,-,11,"per piagge e valli e pe' più alti poggi,",0,1,0,1,0,0,0,1,0,1,nessuna
16,-,5,sestina,-,-,11,ove le caste ninfe di Diana,1,0,0,1,0,1,0,0,0,1,nessuna
16,-,6,sestina,-,-,11,vanno seguendo gli animal' pe' boschi.,1,0,0,1,0,0,0,1,0,1,nessuna
16,-,7,sestina,-,-,11,"Benché all'ombra de' faggi spesso im-boschi,",0,0,1,0,0,1,0,1,0,1,nessuna
16,-,8,sestina,-,-,11,"cercando di diffendermi dal Sole,",0,1,0,0,0,1,0,0,0,1,nessuna
16,-,9,sestina,-,-,11,non può far ciò che al mondo è di Diana,0,0,1,1,0,1,0,0,0,1,nessuna
16,-,10,sestina,-,-,11,ch'io mi ricopra tralle verdi fronde,0,0,0,1,0,0,0,1,0,1,nessuna
16,-,11,sestina,-,-,11,"dal foco, qual non teme ombra di poggi,",0,1,0,1,0,1,1,0,0,1,nessuna
16,-,12,sestina,-,-,11,né si spegne per l'acqua de' chiar' fonti.,0,0,1,0,0,1,0,0,0,1,nessuna
16,-,13,sestina,-,-,11,"Ma le lacrime mie fan nuovi fonti,",0,0,1,0,0,1,0,1,0,1,nessuna
16,-,14,sestina,-,-,11,che annacquando spesso i verdi boschi,0,0,0,1,0,1,0,1,0,1,nessuna
16,-,15,sestina,-,-,11,rigan per li alti e più elati poggi;,1,0,0,1,0,0,0,1,0,1,nessuna
16,-,16,sestina,-,-,11,né però il foco del mio chiaro Sole,0,0,1,1,0,0,0,1,0,1,nessuna
