#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,MazzeodiRiccoDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Mazzeo di Ricco,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,ABC CAB d(d)EfEF,,11,"Amore, avendo interamente voglia",0,1,0,1,0,0,0,1,0,1,
1,,2,canzone,ABC CAB d(d)EfEF,,11,"di sodisfare a la mia 'namoranza,",0,0,0,1,0,0,1,0,0,1,
1,,3,canzone,ABC CAB d(d)EfEF,,11,"di voi, madonna, fecemi gioioso.",0,1,0,1,0,1,0,0,0,1,
1,,4,canzone,ABC CAB d(d)EfEF,,11,Ben mi terïa bene aventuroso,1,0,0,1,0,1,0,0,0,1,
1,,5,canzone,ABC CAB d(d)EfEF,,11,s'io nonn avesse aconceputa doglia,1,0,0,1,0,0,0,1,0,1,
1,,6,canzone,ABC CAB d(d)EfEF,,11,de la nostra amorosa benenanza:,0,0,1,0,0,1,0,0,0,1,
1,,7,canzone,ABC CAB d(d)EfEF,,7,"mentre ch'io disïava,",1,0,1,0,0,1,0,0,0,0,
1,,8,canzone,ABC CAB d(d)EfEF,,7+4,"ver è ch'io tormentava - disïando,",0,1,0,0,0,1,0,0,0,1,
1,,9,canzone,ABC CAB d(d)EfEF,,7,"ma non crudelemente,",0,1,0,0,0,1,0,0,0,0,
1,,10,canzone,ABC CAB d(d)EfEF,,11,"e, male avendo e pur bene aspetando",0,1,0,1,0,0,1,0,0,1,
1,,11,canzone,ABC CAB d(d)EfEF,,11,lo male m'era assai meno pungente.,0,1,0,1,0,0,1,0,0,1,
1,,12,canzone,ABC CAB d(d)EfEF,,11,Da poi che per la mia disideranza,0,1,0,0,0,1,0,0,0,1,
1,,13,canzone,ABC CAB d(d)EfEF,,11,"Amor di voi mi diede plagimento,",0,1,0,1,0,1,0,0,0,1,
1,,14,canzone,ABC CAB d(d)EfEF,,11,la mia favilla in gran foco è tornata,0,0,0,1,0,0,1,0,0,1,
1,,15,canzone,ABC CAB d(d)EfEF,,11,e la piciola neve in gran gelata;,0,0,1,0,0,1,0,0,0,1,
1,,16,canzone,ABC CAB d(d)EfEF,,11,ch'aggio trovato in voi tanta fallanza,1,0,0,1,0,1,1,0,0,1,
1,,17,canzone,ABC CAB d(d)EfEF,,11,onde m'è radoblato lo tormento.,1,0,1,0,0,1,0,0,0,1,
1,,18,canzone,ABC CAB d(d)EfEF,,7,"Dunque meglio mi fora,",1,0,1,0,0,1,0,0,0,0,
1,,19,canzone,ABC CAB d(d)EfEF,,7+4,"donna, ch'io fosse ancora - disïoso",1,0,0,1,0,1,0,0,0,1,
1,,20,canzone,ABC CAB d(d)EfEF,,7,ch'andar di male in peio,0,1,0,1,0,1,0,0,0,0,
1,,21,canzone,ABC CAB d(d)EfEF,,11,come fac'eo divenendo geloso:,1,0,0,1,0,0,1,0,0,1,
1,,22,canzone,ABC CAB d(d)EfEF,,11,"ca, s'io vi perdo, e voi perdete preio.",0,1,0,1,0,1,0,1,0,1,
1,,23,canzone,ABC CAB dEfEF,,11,Poi che 'n voi trovo tanto fallimento,0,0,1,1,0,1,0,0,0,1,
1,,24,canzone,ABC CAB dEfEF,,11,"che due parti facete d'uno core,",0,0,1,0,0,1,0,0,0,1,
1,,25,canzone,ABC CAB dEfEF,,11,"da voi mi parto, ancor mi sia pesanza,",0,1,0,1,0,1,0,0,0,1,
1,,26,canzone,ABC CAB dEfEF,,11,"come quelli che piange e à 'legranza,",0,0,1,0,0,1,0,0,0,1,
1,,27,canzone,ABC CAB dEfEF,,11,"che lascia, ancor li sia dispiacimento,",0,1,0,1,0,1,0,0,0,1,
1,,28,canzone,ABC CAB dEfEF,,11,male per bene e bene per megliore.,1,0,0,1,0,1,0,0,0,1,
1,,29,canzone,ABC CAB dEfEF,,7,A ciò che voi sacciate,0,1,0,1,0,1,0,0,0,0,
1,,30,canzone,ABC CAB dEfEF,,11,"che de la vostra colpa son pesante,",0,0,0,1,0,1,0,0,0,1,
1,,31,canzone,ABC CAB dEfEF,,7,come fin amadori,0,0,1,0,0,1,0,0,0,0,
1,,32,canzone,ABC CAB dEfEF,,11,"da voi partendo lasciovi a un amante,",0,1,0,1,0,1,0,0,0,1,
1,,33,canzone,ABC CAB dEfEF,,11,che non convene u· regno a due segnori.,0,0,0,1,0,1,0,1,0,1,
1,,34,canzone,ABC CAB dEfEF,,11,"Ben è malvagio chi bon fatto ubria,",1,0,0,1,0,0,0,1,0,1,
1,,35,canzone,ABC CAB dEfEF,,11,ma quelli è tramalvagio e scaunoscente,0,1,0,0,0,1,0,0,0,1,
1,,36,canzone,ABC CAB dEfEF,,11,che gra· rispetto mette in obrïanza;,0,0,0,1,0,1,0,0,0,1,
1,,37,canzone,ABC CAB dEfEF,,11,"ed io, avendo in ciò consideranza,",0,1,0,1,0,1,0,0,0,1,
1,,38,canzone,ABC CAB dEfEF,,11,"non son più vostro e voi non tegno mia,",0,1,0,1,0,1,0,1,0,1,
1,,39,canzone,ABC CAB dEfEF,,11,così m'avete punto duramente.,0,1,0,1,0,1,0,0,0,1,
1,,40,canzone,ABC CAB dEfEF,,7,Ma di questa partenza,0,0,1,0,0,1,0,0,0,0,
1,,41,canzone,ABC CAB dEfEF,,11,pur so ch'eo n'aggio adolorato il core;,0,1,0,1,0,0,0,1,0,1,
1,,42,canzone,ABC CAB dEfEF,,7,ma vadomi alegrando,0,1,0,0,0,1,0,0,0,0,
1,,43,canzone,ABC CAB dEfEF,,11,"sì come face 'l cesne quando more,",0,1,0,1,0,1,0,1,0,1,
1,,44,canzone,ABC CAB dEfEF,,11,che la sua vita termina in cantando.,0,0,0,1,0,1,0,0,0,1,
1,,45,canzone,ABC CAB dEfEF,,11,"Di ciò mi pesa ch'io non son colpato,",0,1,0,1,0,1,0,0,0,1,
1,,46,canzone,ABC CAB dEfEF,,11,e son danato come avesse colpa:,0,0,0,1,0,1,0,1,0,1,
1,,47,canzone,ABC CAB dEfEF,,11,che la pena che ll'om à indegnamente,0,0,1,0,0,1,0,0,0,1,
1,,48,canzone,ABC CAB dEfEF,,11,assai più dole dolorosamente;,0,1,0,1,0,0,0,0,0,1,
1,,49,canzone,ABC CAB dEfEF,,11,"da poi pur e leal vi sono stato,",0,1,1,0,0,1,0,1,0,1,
1,,50,canzone,ABC CAB dEfEF,,11,nulla ragion né torto vo iscolpa.,1,0,0,1,0,1,0,0,0,1,
1,,51,canzone,ABC CAB dEfEF,,7,Dunque ben è ragione,1,0,1,0,0,1,0,0,0,0,
1,,52,canzone,ABC CAB dEfEF,,11,"che 'l nostro amore si parta 'ntrasatto,",0,1,0,1,0,0,1,0,0,1,
1,,53,canzone,ABC CAB dEfEF,,7,ch'io aggio audito dire,0,1,0,1,0,1,0,0,0,0,
1,,54,canzone,ABC CAB dEfEF,,11,che solamente per un gran misfatto,0,0,0,1,0,0,0,1,0,1,
1,,55,canzone,ABC CAB dEfEF,,11,si perde un lontano benservire.,0,1,0,0,0,1,0,0,0,1,
2,,1,canzone,abC abC deFfeD,,7,"«Lo core inamorato,",0,1,0,0,0,1,0,0,0,0,
2,,2,canzone,abC abC deFfeD,,7,"messere, si lamenta",0,1,0,0,0,1,0,0,0,0,
2,,3,canzone,abC abC deFfeD,,11,e fa piangere gli ochi di pietate;,0,0,1,0,0,1,0,0,0,1,
2,,4,canzone,abC abC deFfeD,,7,"da voi èste alongato,",0,1,1,0,0,1,0,0,0,0,
2,,5,canzone,abC abC deFfeD,,7,e lo mi' cor tormenta,0,0,0,1,0,1,0,0,0,0,
2,,6,canzone,abC abC deFfeD,,11,vegnendo a voi lo giorno a mille fiate.,0,1,0,1,0,1,0,1,0,1,
2,,7,canzone,abC abC deFfeD,,7,"Avendo di voi voglia,",0,1,0,0,1,1,0,0,0,0,
2,,8,canzone,abC abC deFfeD,,7,"lo mio cor a voi mando,",0,0,1,0,1,1,0,0,0,0,
2,,9,canzone,abC abC deFfeD,,11,ed ello vene e con voi si soggiorna;,0,1,0,1,0,0,1,0,0,1,
2,,10,canzone,abC abC deFfeD,,7,"e, poi a me non torna,",0,1,0,1,0,1,0,0,0,0,
2,,11,canzone,abC abC deFfeD,,7,"a voi lo racomando,",0,1,0,0,0,1,0,0,0,0,
2,,12,canzone,abC abC deFfeD,,11,no li faciate gelosia né doglia.»,0,0,0,1,0,0,0,1,0,1,
2,,13,canzone,abC abC deFfeD,,7,"«Donna, se mi mandate",1,0,0,0,0,1,0,0,0,0,
2,,14,canzone,abC abC deFfeD,,7,lo vostro dolze core,0,1,0,1,0,1,0,0,0,0,
2,,15,canzone,abC abC deFfeD,,11,"inamorato sì come lo me' ò,",0,0,0,1,0,0,1,0,0,1,
2,,16,canzone,abC abC deFfeD,,7,saciate in veritate,0,1,0,0,0,1,0,0,0,0,
