#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,OdodelleColonneDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Odo delle Colonne,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,abab acca,,8,Distretto core e amoroso,0,1,0,1,0,0,1,0,0,0,
1,,2,canzone,abab acca,,8,gioioso mi fa cantare;,0,1,0,0,1,0,1,0,0,0,
1,,3,canzone,abab acca,,8,"e certo, s'io son pensoso",0,1,0,1,0,0,1,0,0,0,
1,,4,canzone,abab acca,,8,"nonn è da maravigliare,",0,1,0,0,0,0,1,0,0,0,
1,,5,canzone,abab acca,,8,"ch'Amor m'à usato a tal uso,",0,1,0,1,0,0,1,0,0,0,
1,,6,canzone,abab acca,,8,"che m'à sì presa la voglia,",0,1,0,1,0,0,1,0,0,0,
1,,7,canzone,abab acca,,8,che 'l disusare m'è doglia,0,0,0,1,0,0,1,0,0,0,
1,,8,canzone,abab acca,,8,vostro piacere amoroso.,1,0,0,1,0,0,1,0,0,0,
1,,9,canzone,abab acca,,8,L'amoroso piacimento,0,0,1,0,0,0,1,0,0,0,
1,,10,canzone,abab acca,,8,"che mi donava allegranza,",0,0,0,1,0,0,1,0,0,0,
1,,11,canzone,abab acca,,8,veggio che reo parlamento,1,0,0,1,0,0,1,0,0,0,
1,,12,canzone,abab acca,,8,"me n'à divisa speranza,",0,0,0,1,0,0,1,0,0,0,
1,,13,canzone,abab acca,,8,ond'io languisco e tormento,0,1,0,1,0,0,1,0,0,0,
1,,14,canzone,abab acca,,8,"per fina disïanza,",0,1,0,0,0,1,0,0,0,0,IPOMETRO
1,,15,canzone,abab acca,,8,ca per lunga dimoranza,0,0,1,0,0,0,1,0,0,0,
1,,16,canzone,abab acca,,8,troppo m'adastia talento.,1,0,0,1,0,0,1,0,0,0,
1,,17,canzone,abab acca,,8,Lo pensoso adastiamento,0,0,1,0,0,0,1,0,0,0,
1,,18,canzone,abab acca,,8,"deggiate, donna, allegrare",0,1,0,1,0,0,1,0,0,0,
1,,19,canzone,abab acca,,8,per ira e per spiacimento,0,1,0,0,0,0,1,0,0,0,
1,,20,canzone,abab acca,,8,"d'invidïoso parlare,",0,0,0,1,0,0,1,0,0,0,
1,,21,canzone,abab acca,,8,e dare confortamento,0,1,0,0,0,0,1,0,0,0,
1,,22,canzone,abab acca,,8,"a li leali amadori,",0,0,0,1,0,0,1,0,0,0,
1,,23,canzone,abab acca,,8,sì che li rei parladori,1,0,0,1,0,0,1,0,0,0,
1,,24,canzone,abab acca,,8,n'aggiano sconfortamento.,1,0,0,0,0,0,1,0,0,0,
1,,25,canzone,abab acca,,8,Sconfortamento n'avrano,0,0,0,1,0,0,1,0,0,0,
1,,26,canzone,abab acca,,8,poi comandato m'avete,1,0,0,1,0,0,1,0,0,0,
1,,27,canzone,abab acca,,8,ch'io mostri tal viso vano,0,1,0,0,1,0,1,0,0,0,
1,,28,canzone,abab acca,,8,"che voi, bella, conoscete;",0,1,1,0,0,0,1,0,0,0,
1,,29,canzone,abab acca,,8,e co [...] crederano,0,0,0,0,0,0,0,0,0,0,
1,,30,canzone,abab acca,,8,"ch'io ci aggia mia diletanza,",0,1,0,1,0,0,1,0,0,0,
1,,31,canzone,abab acca,,8,e perderanno credanza,0,0,0,1,0,0,1,0,0,0,
1,,32,canzone,abab acca,,8,del falso dire che fano.,0,1,0,1,0,0,1,0,0,0,
1,,33,canzone,abab acca,,8,Fannomi noia e pesanza,1,0,0,1,0,0,1,0,0,0,
1,,34,canzone,abab acca,,8,"di voi, mia vita piagente,",0,1,0,1,0,0,1,0,0,0,
1,,35,canzone,abab acca,,8,"per mantener loro usanza,",0,0,0,1,0,0,1,0,0,0,
1,,36,canzone,abab acca,,8,la noiosa e falsa gente;,0,0,1,0,1,0,1,0,0,0,
1,,37,canzone,abab acca,,8,ed io com'auro in bilanza,0,1,0,1,0,0,1,0,0,0,
1,,38,canzone,abab acca,,8,"vi son leale, sovrana,",0,0,0,1,0,0,1,0,0,0,
1,,39,canzone,abab acca,,8,"fiore d'ogni cristïana,",1,0,1,0,0,0,1,0,0,0,
1,,40,canzone,abab acca,,8,per cui 'l mi' cor s'inavanza.,0,1,0,1,0,0,1,0,0,0,
