#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,PaganinodaSerzanaDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Rime di Paganino da Serzana. Fellowship Marco Praloran 2013. ,,,,,,,,,,,,,,,,,
#dc:author,Paganino da Serzana,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,Contra lo meo volere,1,0,0,1,0,1,0,0,0,0,
1,,2,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,Amor mi face amare,0,1,0,1,0,1,0,0,0,0,
1,,3,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7+4,"donna di grande affare - troppo altera,",1,0,0,1,0,1,0,1,0,1,
1,,4,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,però che 'l meo servire,0,1,0,0,0,1,0,0,0,0,
1,,5,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,non mi poria aiutare,0,0,0,1,0,1,0,0,0,0,
1,,6,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7+4,"ver' lo suo disdegnare, - tant'è fera;",0,0,1,0,0,1,0,1,0,1,
1,,7,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,che la sua fresca cera,0,0,0,1,0,1,0,0,0,0,
1,,8,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,"già d'amar non s'adotta,",1,0,1,0,0,1,0,0,0,0,
1,,9,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7+4,né giorno nonn anotta - là ove apare.,0,1,0,0,0,1,0,1,0,1,
1,,10,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,"Dunqua, s'aggio provato",1,0,1,0,0,1,0,0,0,0,
1,,11,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,li affanni e li martiri,0,1,0,0,0,1,0,0,0,0,
1,,12,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7+4,"ch'Amor face sentire - a chi gli è dato,",0,1,1,0,0,1,0,1,0,1,
1,,13,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7+4,d'Amor prendo comiato - e vo' partire.,0,1,1,0,0,1,0,0,0,1,
1,,14,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,Lo partir non mi vale,0,0,1,0,0,1,0,0,0,0,
1,,15,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,ch'adesso mi riprende,0,1,0,0,0,1,0,0,0,0,
1,,16,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7+4,"Amor, chi no gl'ofende - poi li piace,",0,1,0,0,0,1,0,1,0,1,
1,,17,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,ca tuto lo mio male,0,1,0,0,0,1,0,0,0,0,
1,,18,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,"di gran gioia si riprende,",0,0,1,0,0,1,0,0,0,0,
1,,19,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7+4,s'ello inver' me s'arende - ed amar face,1,0,0,1,0,1,0,0,1,1,
1,,20,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,pur uno poco in pace,1,0,0,1,0,1,0,0,0,0,
1,,21,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,"la mia piagente donna,",0,1,0,1,0,1,0,0,0,0,
1,,22,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7+4,ch'amor di bona donna - non discende.,0,1,0,1,0,1,0,0,0,1,
1,,23,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,Perciò s'a llei piacesse,0,1,0,1,0,1,0,0,0,0,
1,,24,canzone,ab(b)C ab(b)C cd(d)Bef(f)E(e)F,,7,"d'amare, i' ll'ameria,",0,1,0,0,0,1,0,0,0,0,
