#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,ReGiovanniDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Rime di Re Giovanni. Fellowship Marco Praloran 2013. ,,,,,,,,,,,,,,,,,
#dc:author,Re Giovanni,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,discordo,aabccbddbebebebebebebeb,,6,"Donna, audite como",1,0,1,0,1,0,0,0,0,0,
1,,2,discordo,aabccbddbebebebebebebeb,,7,mi tegno vostro omo,0,1,0,0,0,1,0,0,0,0,
1,,3,discordo,aabccbddbebebebebebebeb,,7,e non d'altro segnore.,0,0,1,0,0,1,0,0,0,0,
1,,4,discordo,aabccbddbebebebebebebeb,,6,La mia vita fina,0,0,1,0,1,0,0,0,0,0,
1,,5,discordo,aabccbddbebebebebebebeb,,7,voi l'avete in dotrina,0,0,1,0,0,1,0,0,0,0,
1,,6,discordo,aabccbddbebebebebebebeb,,7,ed in vostro tenore.,0,0,1,0,0,1,0,0,0,0,
1,,7,discordo,aabccbddbebebebebebebeb,,6,"Oi chiarita spera,",0,0,1,0,1,0,0,0,0,0,
1,,8,discordo,aabccbddbebebebebebebeb,,7,la vostra dolze cera,0,1,0,1,0,1,0,0,0,0,
1,,9,discordo,aabccbddbebebebebebebeb,,6,de l'altr'è genzore.,0,1,0,0,1,0,0,0,0,0,
1,,10,discordo,aabccbddbebebebebebebeb,,7,Così similemente,0,1,0,0,0,1,0,0,0,0,
1,,11,discordo,aabccbddbebebebebebebeb,,7,è lo vostro colore:,1,0,1,0,0,1,0,0,0,0,
1,,12,discordo,aabccbddbebebebebebebeb,,8,color non vidi sì gente,0,1,0,1,0,0,1,0,0,0,
1,,13,discordo,aabccbddbebebebebebebeb,,6,né 'n tinta né 'n fiore;,0,1,0,0,1,0,0,0,0,0,
1,,14,discordo,aabccbddbebebebebebebeb,,8,"ancor la fiore sia aulente,",0,1,0,1,0,0,1,0,0,0,
1,,15,discordo,aabccbddbebebebebebebeb,,6,voi avete il dolzore.,0,1,0,0,1,0,0,0,0,0,
1,,16,discordo,aabccbddbebebebebebebeb,,8,Dolze tempo e gaudente,1,0,1,0,0,0,1,0,0,0,
1,,17,discordo,aabccbddbebebebebebebeb,,6,inver' la pascore!,0,1,0,0,1,0,0,0,0,0,
1,,18,discordo,aabccbddbebebebebebebeb,,8,Ogn'omo che ama altamente,0,1,0,1,0,0,1,0,0,0,
1,,19,discordo,aabccbddbebebebebebebeb,,7,sì de' avere bon core;,1,0,1,0,0,1,0,0,0,0,
1,,20,discordo,aabccbddbebebebebebebeb,,8,de' esser cortese e valente,1,0,0,1,0,0,1,0,0,0,
1,,21,discordo,aabccbddbebebebebebebeb,,7,e leal servitore,0,0,1,0,0,1,0,0,0,0,
1,,22,discordo,aabccbddbebebebebebebeb,,8,"inver' sua donna piagente,",0,1,0,1,0,0,1,0,0,0,
1,,23,discordo,aabccbddbebebebebebebeb,,7,cui ama a tutore.,0,1,0,0,0,1,0,0,0,0,
1,,24,discordo,abababaaabaaabaabaabaaab,,7,Tutora de' guardare,0,1,0,0,0,1,0,0,0,0,
1,,25,discordo,abababaaabaaabaabaabaaab,,6,"di fare fallanza,",0,1,0,0,1,0,0,0,0,0,
1,,26,discordo,abababaaabaaabaabaabaaab,,7,che nonn è da laudare,0,0,1,0,0,1,0,0,0,0,
1,,27,discordo,abababaaabaaabaabaabaaab,,6,"chi nonn à leanza,",0,0,1,0,1,0,0,0,0,0,
1,,28,discordo,abababaaabaaabaabaabaaab,,7,e ben de' om guardare,0,1,0,1,0,1,0,0,0,0,
1,,29,discordo,abababaaabaaabaabaabaaab,,6,la sua 'noranza.,0,1,0,0,1,0,0,0,0,0,
1,,30,discordo,abababaaabaaabaabaabaaab,,6,Cierto be· mi pare,1,0,1,0,1,0,0,0,0,0,
1,,31,discordo,abababaaabaaabaabaabaaab,,7,che si faccia blasmare,0,0,1,0,0,1,0,0,0,0,
1,,32,discordo,abababaaabaaabaabaabaaab,,7,chi si vuole orgogliare,0,0,1,0,0,1,0,0,0,0,
1,,33,discordo,abababaaabaaabaabaabaaab,,7,là ove nonn à possanza.,1,0,0,1,0,1,0,0,0,0,
1,,34,discordo,abababaaabaaabaabaabaaab,,6,E chi ben vuol fare,0,0,1,0,1,0,0,0,0,0,
1,,35,discordo,abababaaabaaabaabaabaaab,,7,sì si de' umiliare,1,0,1,0,0,1,0,0,0,0,
1,,36,discordo,abababaaabaaabaabaabaaab,,7,inver' sua donna amare,0,1,0,1,0,1,0,0,0,0,
1,,37,discordo,abababaaabaaabaabaabaaab,,7,e fare conoscianza.,0,1,0,0,0,1,0,0,0,0,
1,,38,discordo,abababaaabaaabaabaabaaab,,6,Or vegna a ridare,0,1,0,0,1,0,0,0,0,0,
1,,39,discordo,abababaaabaaabaabaabaaab,,6,"chi ci sa andare,",1,0,0,0,1,0,0,0,0,0,
1,,40,discordo,abababaaabaaabaabaabaaab,,6,e chi à intendanza,0,1,0,0,1,0,0,0,0,0,
1,,41,discordo,abababaaabaaabaabaabaaab,,6,si deggia allegrare,0,1,0,0,1,0,0,0,0,0,
1,,42,discordo,abababaaabaaabaabaabaaab,,6,e gran gioia menare,0,0,1,0,1,0,0,0,0,0,
1,,43,discordo,abababaaabaaabaabaabaaab,,5?,per fin'amanza;,0,0,0,1,0,0,0,0,0,0,
1,,44,discordo,abababaaabaaabaabaabaaab,,6,"chi non lo sa fare,",1,0,0,0,1,0,0,0,0,0,
1,,45,discordo,abababaaabaaabaabaabaaab,,7,sì si vada a posare;,1,0,1,0,0,1,0,0,0,0,
1,,46,discordo,abababaaabaaabaabaabaaab,,7,non si faccia blasmare,0,0,1,0,0,1,0,0,0,0,
1,,47,discordo,abababaaabaaabaabaabaaab,,6?,di trarersi a danza.,0,0,1,0,1,0,0,0,0,0,
1,,48,discordo,ababababababababababab,,8,Fino amor m'à comandato,1,0,1,0,0,0,1,0,0,0,
