#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,RinaldodAquinoDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Rinaldo d'Aquino,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,https://docs.google.com/spreadsheets/d/15dkaVVLKk2B_ZFhV0sQQTRzeiJYMOGtsSWMUtbhkGa8/edit?usp=sharing,,,# file da cui è stato esportato,,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,abCabC DEFfGgED,,7,Venuto m'è in talento,0,1,0,1,0,1,0,0,0,0,
1,,2,canzone,abCabC DEFfGgED,,7,"di gio' mi rinovare,",0,1,0,0,0,1,0,0,0,0,
1,,3,canzone,abCabC DEFfGgED,,11,ch'eo l'avea quasi miso 'n obrïanza;,1,0,1,0,0,1,0,0,0,1,
1,,4,canzone,abCabC DEFfGgED,,7,ben fora fallimento,0,1,0,0,0,1,0,0,0,0,
1,,5,canzone,abCabC DEFfGgED,,7,"de lo 'n tutto lassare,",0,0,1,0,0,1,0,0,0,0,
1,,6,canzone,abCabC DEFfGgED,,11,"per perdenza, cantare d'alegranza:",0,0,1,0,0,1,0,0,0,1,
1,,7,canzone,abCabC DEFfGgED,,11,poi che son dato ne la signoria,1,0,0,1,0,0,0,0,0,1,
1,,8,canzone,abCabC DEFfGgED,,11,"d'Amor che solo di piacer è nato,",0,1,0,1,0,0,0,1,0,1,
1,,9,canzone,abCabC DEFfGgED,,11,"piacere lo nodrisce e dà crescenza,",0,1,0,0,0,1,0,0,0,1,
1,,10,canzone,abCabC DEFfGgED,,5,vol che fallenza,1,0,0,1,0,0,0,0,0,0,
1,,11,canzone,abCabC DEFfGgED,,11,"non aggia l'omo poi ch'è suo servente,",0,1,0,1,0,0,1,0,0,1,
1,,12,canzone,abCabC DEFfGgED,,5,ma sia piagente,0,0,0,1,0,0,0,0,0,0,
1,,13,canzone,abCabC DEFfGgED,,11,sì che piacci'a li boni e serv'a grato:,1,0,1,0,0,1,0,1,0,1,
1,,14,canzone,abCabC DEFfGgED,,11,piagere vol che l'omo allegro sia.,0,1,0,1,0,1,0,1,0,1,
1,,15,canzone,abCabC DEFfGgED,,7,Sia di tal movimento,1,0,1,0,0,1,0,0,0,0,
1,,16,canzone,abCabC DEFfGgED,,7,che si faccia laudare,0,0,1,0,0,1,0,0,0,0,
