#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,RuggeriApuglieseDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Ruggeri Apugliese,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,aaab aaab CC,,8/9,"Umile sono ed orgoglioso,",0,1,0,1,0,0,0,1,0,0,
1,,2,canzone,aaab aaab CC,,8/9,"prode e vile e coraggioso,",1,0,0,1,0,0,0,1,0,0,
1,,3,canzone,aaab aaab CC,,8/9,"franco e sicuro e pauroso,",1,0,0,1,0,0,0,1,0,0,
1,,4,canzone,aaab aaab CC,,7,e sono folle e saggio,0,1,0,1,0,1,0,0,0,0,
1,,5,canzone,aaab aaab CC,,8/9,"e dolente e allegro e gioioso,",0,0,1,0,1,0,0,1,0,0,
1,,6,canzone,aaab aaab CC,,8/9,"largo e scarso e dubitoso,",1,0,0,1,0,0,0,1,0,0,
1,,7,canzone,aaab aaab CC,,8/9,cortese e villano e 'nodioso;,0,1,0,0,1,0,0,1,0,0,
1,,8,canzone,aaab aaab CC,,7,"faciomi pro e danaggio,",1,0,0,1,0,1,0,0,0,0,
1,,9,canzone,aaab aaab CC,,11,e diraggiovi [...] como,0,0,0,0,0,0,0,0,0,0,
1,,10,canzone,aaab aaab CC,,11,male e bene aggio più di null'omo.,1,0,0,1,1,0,1,0,0,1,
1,,11,canzone,aaab aaab CC,,8/9,Povero e rico e disasciato,1,0,0,1,0,0,0,1,0,0,
1,,12,canzone,aaab aaab CC,,8/9,"sono, e fermo e malato,",1,0,0,1,0,0,0,1,0,0,
1,,13,canzone,aaab aaab CC,,8/9,"giovane e vechio, ed agravato",1,0,0,1,0,0,0,1,0,0,
1,,14,canzone,aaab aaab CC,,7,e sano spessamente;,0,1,0,0,0,1,0,0,0,0,
1,,15,canzone,aaab aaab CC,,8/9,"mercé faccio e pecato,",0,1,1,0,0,0,1,0,0,0,
1,,16,canzone,aaab aaab CC,,8/9,ch'io favello e non sono nato;,1,0,1,0,0,1,0,1,0,0,
1,,17,canzone,aaab aaab CC,,8/9,sono disciolto e legat'ò,1,0,0,1,0,0,0,1,0,0,
1,,18,canzone,aaab aaab CC,,7,lo core e la mente.,0,1,0,0,0,1,0,0,0,0,
