#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,RuggeronedaPalermoDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Ruggerone da Palermo,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,abC abC DDEE,,7,Oi lasso! Non pensai,0,1,0,0,0,1,0,0,0,0,
1,,2,canzone,abC abC DDEE,,7,sì forte mi paresse,0,1,0,0,0,1,0,0,0,0,
1,,3,canzone,abC abC DDEE,,11,lo dipartire da madonna mia;,0,0,0,1,0,0,0,1,0,1,
1,,4,canzone,abC abC DDEE,,7,"da poi ch'io m'alontai,",0,1,1,0,0,1,0,0,0,0,
1,,5,canzone,abC abC DDEE,,7,"ben paria ch'io morisse,",0,0,1,0,0,1,0,0,0,0,
1,,6,canzone,abC abC DDEE,,11,membrando di sua dolze compagnia;,0,1,0,0,0,1,0,0,0,1,
1,,7,canzone,abC abC DDEE,,11,"e giamai tanta pena non durai,",0,0,1,0,0,1,0,0,0,1,
1,,8,canzone,abC abC DDEE,,11,se non quando a la nave adimorai.,0,0,1,0,0,1,0,0,0,1,
1,,9,canzone,abC abC DDEE,,11,Ed or mi credo morir certamente,0,1,0,1,0,0,1,0,0,1,
1,,10,canzone,abC abC DDEE,,11,se da llei no ritorno prestamente.,0,0,1,0,0,1,0,0,0,1,
1,,11,canzone,abC abC DDEE,,7,Tutto quanto eo vio,0,0,1,0,0,1,0,0,0,0,
1,,12,canzone,abC abC DDEE,,7,"sì forte mi dispiace,",0,1,0,0,0,1,0,0,0,0,
1,,13,canzone,abC abC DDEE,,11,che non mi lascia in posa in nesun loco;,0,0,0,1,0,1,0,0,0,1,
1,,14,canzone,abC abC DDEE,,7,sì mi stringe disio,1,0,1,0,0,1,0,0,0,0,
1,,15,canzone,abC abC DDEE,,7,"che non posso aver pace,",0,0,1,0,0,1,0,0,0,0,
1,,16,canzone,abC abC DDEE,,11,e fami reo parere riso e gioco.,0,1,0,0,0,1,0,1,0,1,
1,,17,canzone,abC abC DDEE,,11,Membrandomi suo dolz'ensegnamente,0,1,0,0,0,1,0,0,0,1,
1,,18,canzone,abC abC DDEE,,11,tuti diporti m'escono di mente;,1,0,0,1,0,1,0,0,0,1,
