#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,RuggieridAmiciDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Ruggieri d'Amici,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,ABCABC CbddBC,,11,Sovente Amore n'à ricuto manti,0,1,0,1,0,0,0,1,0,1,
1,,2,canzone,ABCABC CbddBC,,11,ch'a le lor donne nonn ànno leanza,0,0,0,1,0,0,1,0,0,1,
1,,3,canzone,ABCABC CbddBC,,11,"e non conoscon ciò ch'a lor è dato,",0,0,0,1,0,1,0,1,0,1,
1,,4,canzone,ABCABC CbddBC,,11,e che leali chiamanosi amanti;,0,0,0,1,0,1,0,0,0,1,
1,,5,canzone,ABCABC CbddBC,,11,"e non veggion ch'Amor mette 'n bassanza,",0,0,1,0,0,1,1,0,0,1,
1,,6,canzone,ABCABC CbddBC,,11,per cui esto mondo par che sia avanzato.,0,1,0,1,0,1,0,0,0,1,
1,,7,canzone,ABCABC CbddBC,,11,"Ma s'eo voglio tacere lo mio stato,",0,0,1,0,0,1,0,0,0,1,
1,,8,canzone,ABCABC CbddBC,,7,fallirò in ubrïanza,0,0,1,0,0,1,0,0,0,0,
1,,9,canzone,ABCABC CbddBC,,7,"incontro al meo volere,",0,1,0,0,0,1,0,0,0,0,
1,,10,canzone,ABCABC CbddBC,,7,"ca, s'eo voglio ver dire,",0,0,1,0,0,1,0,0,0,0,
1,,11,canzone,ABCABC CbddBC,,11,"sì gran guisa per lui + sono allocato +,",0,0,1,0,0,1,0,0,0,1,
1,,12,canzone,ABCABC CbddBC,,11,ca presso a l'aire par ch'io sia montato.,0,1,0,1,0,1,0,0,0,1,
1,,13,canzone,ABCABC CbddBC,,11,"E più che nulla gioia, ben m'è aviso,",0,1,0,1,0,1,0,1,0,1,
1,,14,canzone,ABCABC CbddBC,,11,"sì rico dono Amore m'à dato,",0,1,0,1,0,0,1,0,0,1,
1,,15,canzone,ABCABC CbddBC,,11,"che me ne fa tutora in gioia stare,",0,0,0,1,0,1,0,1,0,1,
1,,16,canzone,ABCABC CbddBC,,11,"che 'nfra esti amanti m'à sì bene asiso,",1,0,0,1,0,0,0,1,0,1,
