#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,StefanoProtonotaroDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Stefano Protonotaro,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,abbc abbc deedFF,,7,Assai cretti celare,0,1,1,0,0,1,0,0,0,0,
1,,2,canzone,abbc abbc deedFF,,7,"ciò che mi conven dire,",1,0,0,0,1,1,0,0,0,0,
1,,3,canzone,abbc abbc deedFF,,7,ca lo troppo tacere,0,0,1,0,0,1,0,0,0,0,
1,,4,canzone,abbc abbc deedFF,,7,"noce manta stagione,",1,0,1,0,0,1,0,0,0,0,
1,,5,canzone,abbc abbc deedFF,,7,e di troppo parlare,0,0,1,0,0,1,0,0,0,0,
1,,6,canzone,abbc abbc deedFF,,7,può danno adivenire:,1,1,0,0,0,1,0,0,0,0,
1,,7,canzone,abbc abbc deedFF,,7,per che m'aven temere,0,0,0,1,0,1,0,0,0,0,
1,,8,canzone,abbc abbc deedFF,,7,l'una e l'altra cagione.,1,0,1,0,0,1,0,0,0,0,
1,,9,canzone,abbc abbc deedFF,,7,Quand'omo à temenza,0,1,0,0,0,1,0,0,0,0,
1,,10,canzone,abbc abbc deedFF,,7,"di dir ciò che convene,",0,1,1,0,0,1,0,0,0,0,
1,,11,canzone,abbc abbc deedFF,,7,levemente adivene,0,0,1,0,0,1,0,0,0,0,
1,,12,canzone,abbc abbc deedFF,,7,che 'n suo dire è fallenza:,0,0,1,0,0,1,0,0,0,0,
1,,13,canzone,abbc abbc deedFF,,11,"omo temente no è ben suo segnore,",1,0,0,1,0,0,1,0,0,1,
1,,14,canzone,abbc abbc deedFF,,11,"per che, s'io fallo, il mi perdoni Amore.",0,1,0,1,0,0,0,1,0,1,
1,,15,canzone,abbc abbc deedFF,,7,Certo ben son temente,1,0,1,0,0,1,0,0,0,0,
1,,16,canzone,abbc abbc deedFF,,7,"di mia voglia mostrare,",0,0,1,0,0,1,0,0,0,0,
1,,17,canzone,abbc abbc deedFF,,7,"e quando io creo posare,",0,1,0,1,0,1,0,0,0,0,
1,,18,canzone,abbc abbc deedFF,,7,mio cor prende arditanza;,0,1,1,0,0,1,0,0,0,0,
