#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,TommasodiSassoDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Tommaso di Sasso,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,abc(c)D abc(c)D efB efB,,7,L'amoroso vedere,0,0,1,0,0,1,0,0,0,0,
1,,2,canzone,abc(c)D abc(c)D efB efB,,7,m'à miso a rimembranza,0,1,0,0,0,1,0,0,0,0,
1,,3,canzone,abc(c)D abc(c)D efB efB,,7,com'io già lungiamente,0,1,0,0,0,1,0,0,0,0,
1,,4,canzone,abc(c)D abc(c)D efB efB,,4+7,a l'avenente - ò tanto ben voluto;,0,0,0,1,0,1,0,1,0,1,
1,,5,canzone,abc(c)D abc(c)D efB efB,,7,ch'io non poria tacere,1,0,0,1,0,1,0,0,0,0,
1,,6,canzone,abc(c)D abc(c)D efB efB,,7,la gran gioia e l'alegranza,0,0,1,0,0,1,0,0,0,0,
1,,7,canzone,abc(c)D abc(c)D efB efB,,7,che mi dava sovente:,0,0,1,0,0,1,0,0,0,0,
1,,8,canzone,abc(c)D abc(c)D efB efB,,5+6,allegramente - son da llei veduto.,0,0,0,1,0,1,0,1,0,1,
1,,9,canzone,abc(c)D abc(c)D efB efB,,7,A ciò mi riconforto,0,1,0,0,0,1,0,0,0,0,
1,,10,canzone,abc(c)D abc(c)D efB efB,,7,"e merzede le chero,",0,0,1,0,0,1,0,0,0,0,
1,,11,canzone,abc(c)D abc(c)D efB efB,,11,ch'a sé m'acolga sanza dimoranza:,0,1,0,1,0,1,0,0,0,1,
1,,12,canzone,abc(c)D abc(c)D efB efB,,7,"perch'io no fosse morto,",0,1,0,1,0,1,0,0,0,0,
1,,13,canzone,abc(c)D abc(c)D efB efB,,7,lo suo visaggio altero,0,0,0,1,0,1,0,0,0,0,
1,,14,canzone,abc(c)D abc(c)D efB efB,,11,mi si mostra piagente per pietanza.,0,0,1,0,0,1,0,0,0,1,
1,,15,canzone,abc(c)D abc(c)D efG efG,,7,«Grande l'Amor pietanza,1,0,0,1,0,1,0,0,0,0,
1,,16,canzone,abc(c)D abc(c)D efG efG,,7,m'à tocato a lo core»;,0,0,1,0,0,1,0,0,0,0,
1,,17,canzone,abc(c)D abc(c)D efG efG,,7,"e, secondo ch'io crio,",0,0,1,0,0,1,0,0,0,0,
1,,18,canzone,abc(c)D abc(c)D efG efG,,4+7,con gran disio - l'à fata rimembrare,0,0,0,1,0,1,0,0,0,1,
1,,19,canzone,abc(c)D abc(c)D efG efG,,7,la dolze inamoranza,0,1,0,0,0,1,0,0,0,0,
1,,20,canzone,abc(c)D abc(c)D efG efG,,7,"a lo suo servidore,",0,0,1,0,0,1,0,0,0,0,
1,,21,canzone,abc(c)D abc(c)D efG efG,,7,lo mal che soferio,0,1,0,0,0,1,0,0,0,0,
1,,22,canzone,abc(c)D abc(c)D efG efG,,4+7,e non partio - giamai per spaventare.,0,0,0,1,0,1,0,0,0,1,
1,,23,canzone,abc(c)D abc(c)D efG efG,,7,"Ma s'ell'à, rimembrando,",0,0,1,0,0,1,0,0,0,0,
1,,24,canzone,abc(c)D abc(c)D efG efG,,7,"l'amoroso vedere,",0,0,1,0,0,1,0,0,0,0,
