#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,TorquatoTasso_Rimedelcodicechigiano_Gavazzeni-Leva-Martignone1996,,,,,,,,,,,,,,,,,
#dc:description,Trascrizione e analisi dei versi del componimento Rime del codice chigiano di Torquato Tasso. Riadattato dall'archivio AMI originale. ,,,,,,,,,,,,,,,,,
#dc:author,"Torquato Tasso",,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,"Rime del codice chigiano",,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,"Gavazzeni-Leva-Martignone,1996",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,Non disponibile,,,# permalink dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Sconosciuto,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,-,1,sonetto,ABBA ABBA CDE CDE,-,11,Vere fur queste gioie e questi ardori,1,0,0,1,0,1,0,1,0,1,nessuna
1,-,2,sonetto,ABBA ABBA CDE CDE,-,11,"ond' io piansi e cantai con vario carme,",0,0,1,0,0,1,0,1,0,1,nessuna
1,-,3,sonetto,ABBA ABBA CDE CDE,-,11,che potean agguagliare il suon de l' arme,0,0,1,0,0,1,0,1,0,1,nessuna
1,-,4,sonetto,ABBA ABBA CDE CDE,-,11,e de gli eroi le glorie e i casti amori;,0,0,0,1,0,1,0,1,0,1,nessuna
1,-,5,sonetto,ABBA ABBA CDE CDE,-,11,e se non fu de' più costanti cori,0,0,0,1,0,0,0,1,0,1,nessuna
1,-,6,sonetto,ABBA ABBA CDE CDE,-,11,"ne' vani affetti il mio, di ciò lagnarme",0,1,0,1,0,1,0,1,0,1,nessuna
1,-,7,sonetto,ABBA ABBA CDE CDE,-,11,"già non devrei, ché più lodevol parme",1,0,0,1,0,0,0,1,0,1,nessuna
1,-,8,sonetto,ABBA ABBA CDE CDE,-,11,il pentimento ove onestà s' onori.,0,0,0,1,1,0,0,1,0,1,nessuna
1,-,9,sonetto,ABBA ABBA CDE CDE,-,11,"Or con l' essempio mio gli accorti amanti,",1,0,0,1,0,1,0,1,0,1,nessuna
1,-,10,sonetto,ABBA ABBA CDE CDE,-,11,"leggendo i miei diletti e i miei desiri,",0,1,0,0,0,1,0,0,0,1,nessuna
1,-,11,sonetto,ABBA ABBA CDE CDE,-,11,ritolgano ad Amor de l' alme il freno.,0,1,0,0,0,1,0,1,0,1,nessuna
1,-,12,sonetto,ABBA ABBA CDE CDE,-,11,Pur ch' altri asciughi tosto i caldi pianti,0,1,0,1,0,1,0,1,0,1,nessuna
1,-,13,sonetto,ABBA ABBA CDE CDE,-,11,"et a ragion talvolta il cor s' adiri,",0,0,0,1,0,1,0,1,0,1,nessuna
1,-,14,sonetto,ABBA ABBA CDE CDE,-,11,dolce è nudrir voglie amorose in seno.,1,0,0,1,1,0,0,1,0,1,nessuna
2,-,1,sonetto,ABBA ABBA CDE DEC,-,11,"Era de l' età mia nel lieto Aprile,",1,0,0,0,1,1,0,1,0,1,nessuna
2,-,2,sonetto,ABBA ABBA CDE DEC,-,11,e per vaghezza l' alma giovinetta,0,0,0,1,0,1,0,0,0,1,nessuna
2,-,3,sonetto,ABBA ABBA CDE DEC,-,11,gìa ricercando di beltà ch' alletta,1,0,0,1,0,0,0,1,0,1,nessuna
2,-,4,sonetto,ABBA ABBA CDE DEC,-,11,"di piacere in piacer spirto gentile,",0,0,1,0,0,1,1,0,0,1,nessuna
2,-,5,sonetto,ABBA ABBA CDE DEC,-,11,quando m' apparve Donna assai simile,1,0,0,1,0,1,0,1,0,1,nessuna
2,-,6,sonetto,ABBA ABBA CDE DEC,-,11,ne la voce e nel volto ad Angioletta:,0,0,1,0,0,1,0,0,0,1,nessuna
2,-,7,sonetto,ABBA ABBA CDE DEC,-,11,l' ale non avea già ma quasi eletta,1,0,0,0,0,1,0,1,0,1,nessuna
2,-,8,sonetto,ABBA ABBA CDE DEC,-,11,sembrò per darle al mio leggiadro stile.,0,1,0,1,0,0,0,1,0,1,nessuna
2,-,9,sonetto,ABBA ABBA CDE DEC,-,11,"Miracol novo, ella a' miei versi et io",0,1,0,1,1,0,0,1,0,1,nessuna
2,-,10,sonetto,ABBA ABBA CDE DEC,-,11,"impennava al suo nome altere piume,",0,0,1,0,0,1,0,1,0,1,nessuna
2,-,11,sonetto,ABBA ABBA CDE DEC,-,11,e l' un per l' altro andò volando a prova.,0,1,0,1,0,1,0,1,0,1,nessuna
2,-,12,sonetto,ABBA ABBA CDE DEC,-,11,Questa fu quella il cui soave lume,1,0,0,1,0,0,0,1,0,1,nessuna
2,-,13,sonetto,ABBA ABBA CDE DEC,-,11,"di pianger solo e di cantar mi giova,",0,1,0,1,0,0,0,1,0,1,nessuna
2,-,14,sonetto,ABBA ABBA CDE DEC,-,11,e i primi amori sparge un dolce oblio.,0,1,0,1,0,1,0,1,0,1,nessuna
3,-,1,sonetto,ABBA ABBA CDE CED,-,11,Su l' ampia fronte l' or crespo lucente,0,1,0,1,0,1,1,0,0,1,nessuna
3,-,2,sonetto,ABBA ABBA CDE CED,-,11,"sparso ondeggiava, e de' begli occhi il raggio",1,0,0,1,0,0,0,1,0,1,nessuna
3,-,3,sonetto,ABBA ABBA CDE CED,-,11,al terreno adducea fiorito maggio,0,0,1,0,0,1,0,1,0,1,nessuna
3,-,4,sonetto,ABBA ABBA CDE CED,-,11,e luglio a' cori oltra misura ardente;,0,1,0,1,1,0,0,1,0,1,nessuna
3,-,5,sonetto,ABBA ABBA CDE CED,-,11,nel bianco seno Amor soavemente,0,1,0,1,0,1,0,0,0,1,nessuna
3,-,6,sonetto,ABBA ABBA CDE CED,-,11,"scherzava, e farli non osava oltraggio,",0,1,0,1,0,0,0,1,0,1,nessuna
3,-,7,sonetto,ABBA ABBA CDE CED,-,11,e l' aura del parlar cortese e saggio,0,1,0,0,0,1,0,1,0,1,nessuna
3,-,8,sonetto,ABBA ABBA CDE CED,-,11,fra le rose spirar s' udia sovente.,0,0,1,0,0,1,0,1,0,1,nessuna
3,-,9,sonetto,ABBA ABBA CDE CED,-,11,Io che forma celeste in terra scorsi,1,0,1,0,0,1,0,1,0,1,nessuna
3,-,10,sonetto,ABBA ABBA CDE CED,-,11,"rinchiusi i lumi, e dissi: ""Ahi, com' è stolto",0,1,0,1,0,1,1,0,0,1,nessuna
3,-,11,sonetto,ABBA ABBA CDE CED,-,11,"chi d' affisarvi gli occhi è troppo ardito"".",1,0,0,1,0,1,0,1,0,1,nessuna
3,-,12,sonetto,ABBA ABBA CDE CED,-,11,"Ma de l' altro periglio io non m' accorsi,",0,0,1,0,0,1,0,0,0,1,nessuna
3,-,13,sonetto,ABBA ABBA CDE CED,-,11,ché mi fu per gli orecchi il cor ferito,0,0,1,0,0,1,0,1,0,1,nessuna
3,-,14,sonetto,ABBA ABBA CDE CED,-,11,e i detti andaro ove non giunse il volto.,0,1,0,1,1,0,0,1,0,1,nessuna
4,-,1,sonetto,ABBA ABBA CDE CDE,-,11,Avean gli atti leggiadri e 'l vago aspetto,0,1,1,0,0,1,0,1,0,1,nessuna
4,-,2,sonetto,ABBA ABBA CDE CDE,-,11,"già rotto il gielo onde armò sdegno il core,",0,1,0,1,1,0,1,1,0,1,nessuna
4,-,3,sonetto,ABBA ABBA CDE CDE,-,11,e le vestigia de l' antico ardore,0,0,0,1,0,0,0,1,0,1,nessuna
4,-,4,sonetto,ABBA ABBA CDE CDE,-,11,conoscea già dentro al cangiato petto;,0,0,0,1,1,0,0,1,0,1,nessuna
4,-,5,sonetto,ABBA ABBA CDE CDE,-,11,e di nudrire il mal prendea diletto,0,0,0,1,0,1,0,1,0,1,nessuna
4,-,6,sonetto,ABBA ABBA CDE CDE,-,11,"con l' esca dolce di un soave errore,",0,1,0,1,0,0,0,1,0,1,nessuna
4,-,7,sonetto,ABBA ABBA CDE CDE,-,11,sì mi sforzava il lusinghiero Amore,1,0,0,1,0,0,0,1,0,1,nessuna
4,-,8,sonetto,ABBA ABBA CDE CDE,-,11,che s' avea ne' begli occhi albergo eletto;,0,0,1,0,0,1,0,1,0,1,nessuna
4,-,9,sonetto,ABBA ABBA CDE CDE,-,11,quando ecco un novo canto il cor percosse,0,1,0,1,0,1,0,1,0,1,nessuna
4,-,10,sonetto,ABBA ABBA CDE CDE,-,11,e spirò nel suo foco e più cocenti,0,0,1,0,0,1,0,0,0,1,nessuna
4,-,11,sonetto,ABBA ABBA CDE CDE,-,11,fece le fiamme da' be' lumi accese.,1,0,0,1,0,0,0,1,0,1,nessuna
4,-,12,sonetto,ABBA ABBA CDE CDE,-,11,Né crescer mai né sfavillar commosse,0,1,0,1,0,0,0,1,0,1,nessuna
4,-,13,sonetto,ABBA ABBA CDE CDE,-,11,vidi mai faci a lo spirar de' venti,1,0,1,1,0,0,0,1,0,1,nessuna
4,-,14,sonetto,ABBA ABBA CDE CDE,-,11,come l' incendio all' or virtù riprese.,1,0,0,1,0,1,0,1,0,1,nessuna
5,-,1,sonetto,ABAB ABAB CDE CED,-,11,Colei che sovra ogni altra amo et onoro,0,1,0,0,0,1,1,0,0,1,nessuna
5,-,2,sonetto,ABAB ABAB CDE CED,-,11,"fiori coglier vidi io su questa riva,",1,0,1,0,1,1,0,1,0,1,nessuna
5,-,3,sonetto,ABAB ABAB CDE CED,-,11,ma non tanti la man cogliea di loro,0,0,1,0,0,1,0,1,0,1,nessuna
5,-,4,sonetto,ABAB ABAB CDE CED,-,11,quanti fra l' erbe il bianco piè n' apriva.,1,0,0,1,0,1,0,1,0,1,nessuna
5,-,5,sonetto,ABAB ABAB CDE CED,-,11,Ondeggiavano sparsi i bei crin d' oro,0,0,1,0,0,1,0,0,1,1,nessuna
5,-,6,sonetto,ABAB ABAB CDE CED,-,11,"onde Amor mille e mille lacci ordiva,",1,0,1,1,0,1,0,1,0,1,nessuna
5,-,7,sonetto,ABAB ABAB CDE CED,-,11,e l' aura del parlar dolce ristoro,0,1,0,0,0,1,1,0,0,1,nessuna
5,-,8,sonetto,ABAB ABAB CDE CED,-,11,era dal foco che de gli occhi usciva.,1,0,0,1,0,0,0,1,0,1,nessuna
5,-,9,sonetto,ABAB ABAB CDE CED,-,11,"Fermò suo corso il Rio, pur come vago",0,1,0,1,0,1,0,1,0,1,nessuna
5,-,10,sonetto,ABAB ABAB CDE CED,-,11,di fare specchio a quelle chiome bionde,0,1,0,1,0,1,0,1,0,1,nessuna
5,-,11,sonetto,ABAB ABAB CDE CED,-,11,"di sé medesmo, et a que' dolci lumi,",0,0,0,1,0,0,0,1,0,1,nessuna
5,-,12,sonetto,ABAB ABAB CDE CED,-,11,"e parea dire: ""A la tua bella imago,",0,0,1,1,0,0,0,1,0,1,nessuna
5,-,13,sonetto,ABAB ABAB CDE CED,-,11,"se pur non degni solo il Re de' fiumi,",0,1,0,1,0,1,0,1,0,1,nessuna
5,-,14,sonetto,ABAB ABAB CDE CED,-,11,"rischiaro, o donna, queste placide onde"".",0,1,0,1,0,1,0,1,0,1,nessuna
6,-,1,sonetto,ABBA ABBA CDE EDC,-,11,Bella è la donna mia se del bel crine,1,0,0,1,0,1,0,0,0,1,nessuna
6,-,2,sonetto,ABBA ABBA CDE EDC,-,11,l' oro al vento ondeggiar avien ch' io miri;,1,0,1,0,0,1,0,1,0,1,nessuna
6,-,3,sonetto,ABBA ABBA CDE EDC,-,11,bella se volger gli occhi in vaghi giri,1,0,0,1,0,1,0,1,0,1,nessuna
6,-,4,sonetto,ABBA ABBA CDE EDC,-,11,o le rose fiorir tra nevi e brine;,0,0,1,0,0,1,0,1,0,1,nessuna
