#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,CielodAlcamoDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Cielo d'Alcamo,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,contrasto,aaa BB,,7+7,«Rosa fresca aulentisima ,1,0,1,0,0,1,0,0,0,0,1° emistichio
1,,1,contrasto,aaa BB,,7+7,"ch'apari inver' la state,",1,0,1,0,0,1,0,0,0,0,2° emistichio
1,,2,contrasto,aaa BB,,7+7,"le donne ti disiano, ",0,1,0,0,0,1,0,0,0,0,1° emistichio
1,,2,contrasto,aaa BB,,7+7,pulzell'e maritate:,0,1,0,0,0,1,0,0,0,0,2° emistichio
1,,3,contrasto,aaa BB,,7+7,"tràgemi d'este fòcora, ",1,0,0,1,0,1,0,0,0,0,1° emistichio
1,,3,contrasto,aaa BB,,7+7,se t'èste a bolontate;,0,1,0,0,0,1,0,0,0,0,2° emistichio
1,,4,contrasto,aaa BB,,11,"per te non aio abento notte e dia,",0,1,0,1,0,1,0,1,0,1,
1,,5,contrasto,aaa BB,,11,"penzando pur di voi, madonna mia».",0,1,0,1,0,1,0,1,0,1,
1,,6,contrasto,aaa BB,,7+7,"«Se di meve trabàgliti, ",0,0,1,0,0,1,0,0,0,0,1° emistichio
1,,6,contrasto,aaa BB,,7+7,follia lo ti fa fare.,0,0,1,0,0,1,0,0,0,0,2° emistichio
1,,7,contrasto,aaa BB,,7+7,"Lo mar potresti arompere, ",0,1,0,1,0,1,0,0,0,0,1° emistichio
1,,7,contrasto,aaa BB,,7+7,"avanti asemenare,",0,1,0,0,0,1,0,0,0,0,2° emistichio
1,,8,contrasto,aaa BB,,7+7,l'abere d'esto secolo ,1,0,0,1,0,1,0,0,0,0,1° emistichio
1,,8,contrasto,aaa BB,,7+7,tuto quanto asembrare:,0,0,1,0,0,1,0,0,0,0,2° emistichio
1,,9,contrasto,aaa BB,,11,avere me non pòteri a esto monno;,0,1,0,1,0,1,0,1,0,1,
1,,10,contrasto,aaa BB,,11,avanti li cavelli m'aritonno».,0,1,0,0,0,1,0,0,0,1,
1,,11,contrasto,aaa BB,,7+7,"«Se li cavelli artóniti,",0,0,0,1,0,1,0,0,0,0,1° emistichio
1,,11,contrasto,aaa BB,,7+7,"avanti foss'io morto,",0,1,0,1,0,1,0,0,0,0,2° emistichio
1,,12,contrasto,aaa BB,,7+7,"donna, ch'aisì mi pèrdera",1,0,0,1,0,1,0,0,0,0,1° emistichio
1,,12,contrasto,aaa BB,,7+7,lo solaccio e 'l diporto.,0,0,1,0,0,1,0,0,0,0,2° emistichio
1,,13,contrasto,aaa BB,,7+7,"Quando ci passo e véioti,",1,0,0,1,0,1,0,0,0,0,1° emistichio
1,,13,contrasto,aaa BB,,7+7,"rosa fresca de l'orto,",1,0,1,0,0,1,0,0,0,0,2° emistichio
1,,14,contrasto,aaa BB,,11,"bono conforto donimi tutore,",1,0,0,1,0,1,0,0,0,1,
1,,15,contrasto,aaa BB,,11,poniamo che s'aiunga il nostro amore».,0,1,0,0,0,1,0,1,0,1,
1,,16,contrasto,aaa BB,,7+7,"«Che 'l nostro amore aiùngasi, ",0,1,0,1,0,1,0,0,0,0,1° emistichio
1,,16,contrasto,aaa BB,,7+7,non boglio m'atalenti:,0,1,0,0,0,1,0,0,0,0,2° emistichio
1,,17,contrasto,aaa BB,,7+7,se ci ti trova pàremo ,0,0,0,1,0,1,0,0,0,0,1° emistichio
1,,17,contrasto,aaa BB,,7+7,"cogli altri miei parenti,",0,1,0,1,0,1,0,0,0,0,2° emistichio
1,,18,contrasto,aaa BB,,7+7,guarda non s'arigòlgano questi forti corenti.,1,0,0,0,0,1,0,0,0,0,1° emistichio
1,,18,contrasto,aaa BB,,7+7,questi forti corenti.,1,0,1,0,0,1,0,0,0,0,2° emistichio
1,,19,contrasto,aaa BB,,11,"Come ti seppe bona la venuta,",1,0,0,1,0,1,0,0,0,1,
1,,20,contrasto,aaa BB,,11,consiglio che ti guardi a la partuta».,0,1,0,0,0,1,0,0,0,1,
1,,21,contrasto,aaa BB,,7+7,"«Se i tuoi parenti trovami, e che mi pozon fare?",0,1,0,1,0,1,0,0,0,0,1° emistichio
1,,21,contrasto,aaa BB,,7+7,e che mi pozon fare?,0,1,0,1,0,1,0,0,0,0,2° emistichio
1,,22,contrasto,aaa BB,,7+7,Una difensa métoci di du mili'agostari:,0,0,0,1,0,1,0,0,0,0,1° emistichio
1,,22,contrasto,aaa BB,,7+7,di du mili'agostari:,0,0,1,0,0,1,0,0,0,0,2° emistichio
1,,23,contrasto,aaa BB,,7+7,non mi tocara pàdreto ,0,0,0,1,0,1,0,0,0,0,1° emistichio
1,,23,contrasto,aaa BB,,7+7,per quanto avere à 'n Bari.,0,1,0,1,0,1,0,0,0,0,2° emistichio
1,,24,contrasto,aaa BB,,11,"Viva lo 'mperadore, grazi'a Deo!",1,0,0,0,0,1,0,1,0,1,
1,,25,contrasto,aaa BB,,11,"Intendi, bella, quel che ti dico eo?»",0,1,0,1,0,1,0,0,1,1,
1,,26,contrasto,aaa BB,,7+7,«Tu me no lasci vivere ,1,1,0,1,0,1,0,0,0,0,1° emistichio
1,,26,contrasto,aaa BB,,7+7,né sera né maitino.,0,1,0,0,0,1,0,0,0,0,2° emistichio
1,,27,contrasto,aaa BB,,7+7,"Donna mi so' di pèrperi, ",1,0,0,1,0,1,0,0,0,0,1° emistichio
1,,27,contrasto,aaa BB,,7+7,d'auro massamotino;,1,0,0,0,0,1,0,0,0,0,2° emistichio
1,,28,contrasto,aaa BB,,7+7,se tanto aver donàssemi ,0,1,0,1,0,1,0,0,0,0,1° emistichio
1,,28,contrasto,aaa BB,,7+7,"quanto à lo Saladino,",0,1,0,0,0,1,0,0,0,0,2° emistichio
1,,29,contrasto,aaa BB,,11,"e per aiunta quant'à lo Soldano,",0,0,0,1,0,0,1,0,0,1,
1,,30,contrasto,aaa BB,,11,tocare me non poteri a la mano».,0,1,0,1,0,1,0,0,0,1,
1,,31,contrasto,aaa BB,,7+7,«Molte sono le femine ,1,0,1,0,0,1,0,0,0,0,1° emistichio
1,,31,contrasto,aaa BB,,7+7,"ch'ànno dura la testa,",1,0,1,0,0,1,0,0,0,0,2° emistichio
1,,32,contrasto,aaa BB,,7+7,e l'omo con parabole ,0,1,0,0,0,1,0,0,0,0,1° emistichio
1,,32,contrasto,aaa BB,,7+7,l'adímina e amonesta;,0,1,0,0,0,1,0,0,0,0,2° emistichio
1,,33,contrasto,aaa BB,,7+7,tanto intorno procazzala ,1,0,1,0,0,1,0,0,0,0,1° emistichio
1,,33,contrasto,aaa BB,,7+7,fin che ll'à in sua podesta.,0,0,1,0,0,1,0,0,0,0,2° emistichio
1,,34,contrasto,aaa BB,,11,Femina d'omo non si può tenere:,1,0,0,1,0,0,0,1,0,1,
1,,35,contrasto,aaa BB,,11,"guàrdati, bella, pur de ripentere».",1,0,0,1,0,1,0,0,0,1,
1,,36,contrasto,aaa BB,,7+7,«Ch'eo ne pur ripentésseme? ,1,0,1,0,0,1,0,0,0,0,1° emistichio
1,,36,contrasto,aaa BB,,7+7,Davanti foss'io aucisa,0,1,0,0,1,1,0,0,0,0,2° emistichio
1,,37,contrasto,aaa BB,,7+7,ca nulla bona femina ,0,1,0,1,0,1,0,0,0,0,1° emistichio
1,,37,contrasto,aaa BB,,7+7,per me fosse ripresa!,0,1,0,1,0,1,0,0,0,0,2° emistichio
1,,38,contrasto,aaa BB,,7+7,Aersera passàstici ,0,0,1,0,0,1,0,0,0,0,1° emistichio
1,,38,contrasto,aaa BB,,7+7,corenno a la distesa.,0,1,0,0,0,1,0,0,0,0,2° emistichio
1,,39,contrasto,aaa BB,,11,"Aquìstati riposa, canzoneri,",0,1,0,0,0,1,0,0,0,1,
1,,40,contrasto,aaa BB,,11,le tue parole a me non piacion gueri».,0,0,0,1,0,1,0,1,0,1,
1,,41,contrasto,aaa BB,,7+7,«Quante sono le schiàntora ,1,0,1,0,0,1,0,0,0,0,1° emistichio
1,,41,contrasto,aaa BB,,7+7,"che m'à' mise a lo core,",0,0,1,0,0,1,0,0,0,0,2° emistichio
1,,42,contrasto,aaa BB,,7+7,e solo pur penzànnome ,0,1,0,0,0,1,0,0,0,0,1° emistichio
1,,42,contrasto,aaa BB,,7+7,la dia quanno vo fore!,0,1,1,0,0,1,0,0,0,0,2° emistichio
1,,43,contrasto,aaa BB,,7+7,Femina d'esto secolo ,1,0,0,1,0,1,0,0,0,0,1° emistichio
1,,43,contrasto,aaa BB,,7+7,tanto no amai ancore,1,0,0,1,0,1,0,0,0,0,2° emistichio
1,,44,contrasto,aaa BB,,11,"quant'amo teve, rosa invidïata:",0,1,0,1,0,1,0,0,0,1,
1,,45,contrasto,aaa BB,,11,ben credo che mi fosti distinata».,0,1,0,0,0,1,0,0,0,1,
1,,46,contrasto,aaa BB,,7+7,"«Se distinata fósseti, ",0,0,0,1,0,1,0,0,0,0,1° emistichio
1,,46,contrasto,aaa BB,,7+7,"caderia de l'altezze,",0,0,1,0,0,1,0,0,0,0,2° emistichio
1,,47,contrasto,aaa BB,,7+7,che male messe fòrano ,0,1,0,1,0,1,0,0,0,0,1° emistichio
1,,47,contrasto,aaa BB,,7+7,in teve mie bellezze.,0,1,0,0,0,1,0,0,0,0,2° emistichio
1,,48,contrasto,aaa BB,,7+7,"Se tuto adivenìssemi, t",0,1,0,0,0,1,0,0,0,0,1° emistichio
1,,48,contrasto,aaa BB,,7+7,"agliàrami le trezze,",0,1,0,0,0,1,0,0,0,0,2° emistichio
1,,49,contrasto,aaa BB,,11,e consore m'arenno a una magione,0,0,1,0,0,1,0,0,0,1,
1,,50,contrasto,aaa BB,,11,avanti che m'artochi 'n la persone».,0,1,0,0,0,1,0,0,0,1,
1,,51,contrasto,aaa BB,,7+7,"«Se tu consore arènneti, ",0,1,0,1,0,1,0,0,0,0,1° emistichio
