#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,FolcodaCalavraDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Folco da Calavra,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,Abc Abc dedec,,11,"D'amor distretto vivo doloroso,",0,1,0,1,0,1,0,0,0,1,
1,,2,canzone,Abc Abc dedec,,7,com'om che sta lontano,0,1,0,0,0,1,0,0,0,0,
1,,3,canzone,Abc Abc dedec,,7,e vedesi alungare,0,1,0,0,0,1,0,0,0,0,
1,,4,canzone,Abc Abc dedec,,11,"da cosa ch'ama: vedesi noioso,",0,1,0,1,0,1,0,0,0,1,
1,,5,canzone,Abc Abc dedec,,7,"languisce stando sano,",0,1,0,1,0,1,0,0,0,0,
1,,6,canzone,Abc Abc dedec,,7,perché non pote usare,0,1,0,1,0,1,0,0,0,0,
1,,7,canzone,Abc Abc dedec,,7,la cosa che li piace;,0,1,0,0,0,1,0,0,0,0,
1,,8,canzone,Abc Abc dedec,,7,perzò vado morendo.,0,1,1,0,0,1,0,0,0,0,
1,,9,canzone,Abc Abc dedec,,7,Dunqua non mi dispiace,1,0,0,0,0,1,0,0,0,0,
1,,10,canzone,Abc Abc dedec,,7,"tal morte soferendo,",0,1,0,0,0,1,0,0,0,0,
1,,11,canzone,Abc Abc dedec,,7,ma vivere mi pare.,0,1,0,0,0,1,0,0,0,0,
1,,12,canzone,Abc Abc dedec,,11,"Cui s'entenza, bel gli è, contro al morire,",1,0,1,0,0,1,1,0,0,1,
1,,13,canzone,Abc Abc dedec,,7,"languir disiderando,",0,1,0,0,0,1,0,0,0,0,
1,,14,canzone,Abc Abc dedec,,7,atendendo speranza,0,0,1,0,0,1,0,0,0,0,
1,,15,canzone,Abc Abc dedec,,11,"süa vogli' a dolze gioia compiére,",1,0,1,0,1,0,1,0,0,1,
1,,16,canzone,Abc Abc dedec,,7,e non sa merzé quando,0,0,1,0,1,1,0,0,0,0,
1,,17,canzone,Abc Abc dedec,,7,"li compia disïanza,",0,1,0,0,0,1,0,0,0,0,
1,,18,canzone,Abc Abc dedec,,7,ma vive confortato,0,1,0,0,0,1,0,0,0,0,
1,,19,canzone,Abc Abc dedec,,7,ch'à ssenno e volontate,0,1,0,0,0,1,0,0,0,0,
1,,20,canzone,Abc Abc dedec,,7,di quella cui son dato,0,1,0,1,0,1,0,0,0,0,
1,,21,canzone,Abc Abc dedec,,7,"per fedele amistate,",0,0,1,0,0,1,0,0,0,0,
1,,22,canzone,Abc Abc dedec,,7,e blasmando tardanza.,0,0,1,0,0,1,0,0,0,0,
1,,23,canzone,Abc Abc dedec,,11,"Son ben morto, che vivo in carestia",1,0,1,0,0,1,0,0,0,1,
1,,24,canzone,Abc Abc dedec,,7,di ciò che più disio,0,1,0,1,0,1,0,0,0,0,
1,,25,canzone,Abc Abc dedec,,7,e va pur acrescendo;,0,1,0,0,0,1,0,0,0,0,
1,,26,canzone,Abc Abc dedec,,11,di mia morte a danno mi teria,0,0,1,0,0,1,0,0,0,1,
1,,27,canzone,Abc Abc dedec,,7,"(non me 'nde fora, crio,",0,1,0,1,0,1,0,0,0,0,
1,,28,canzone,Abc Abc dedec,,7,"ch'i' ò s'avesse), savendo",1,0,1,0,0,1,0,0,0,0,
1,,29,canzone,Abc Abc dedec,,7,"plagere a cui onore,",0,1,0,1,0,1,0,0,0,0,
1,,30,canzone,Abc Abc dedec,,7,"senno è genzor, misura.",1,0,0,1,0,1,0,0,0,0,
1,,31,canzone,Abc Abc dedec,,7,"Prego beltà e valore,",1,0,0,1,0,1,0,0,0,0,
1,,32,canzone,Abc Abc dedec,,7,"che fanno lor dimora,",0,1,0,0,0,1,0,0,0,0,
1,,33,canzone,Abc Abc dedec,,7,da ella non partendo.,0,1,0,0,0,1,0,0,0,0,
1,,34,canzone,Abc Abc dedec,,11,"Avendo io voglia ma' d'altrui talento,",0,1,0,1,0,1,0,1,0,1,
