#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,DaLentiniAntonelli2008,,,# l'identificatore è una stringa corta ed univoca che verrà utilizzata identificare e per ordinare in ordine alfabetico il record,,,,,,,,,,,,,,
#dc:description,questa è una trascrizione fatta nel corso del progetto test@it,,,,,,,,,,,,,,,,,
#dc:author,Giacomo Da Lentini,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,Antonelli 2008,,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/UFE0862859,,,# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,https://docs.google.com/spreadsheets/d/1pximtYYQ37Vc4g6m4h9Fpn8NX0TWwFhvIct4CoP6FWk/edit?usp=sharing,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Università di Ginevra,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sub,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"Madonna, dir vo voglio",0,1,0,1,0,1,0,0,0,0,
1,,2,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"como l’amor m’à priso,",1,0,0,1,0,1,0,0,0,0,
1,,3,canzone,abaC dbdC eef(f)G hhi(i)G,,7,inver’ lo grande orgoglio,0,1,0,1,0,1,0,0,0,0,
1,,4,canzone,abaC dbdC eef(f)G hhi(i)G,,11,"che voi, bella, mostrate, e no m’aita.",0,1,1,0,0,1,0,0,0,1,
1,,5,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"Oi lasso, lo meo core,",0,1,0,0,0,1,0,0,0,0,
1,,6,canzone,abaC dbdC eef(f)G hhi(i)G,,7,che ’n tante pene è miso,0,1,0,1,0,1,0,0,0,0,
1,,7,canzone,abaC dbdC eef(f)G hhi(i)G,,7,che vive quando more,0,1,0,1,0,1,0,0,0,0,
1,,8,canzone,abaC dbdC eef(f)G hhi(i)G,,11,"per bene amare, e teneselo a vita!",0,0,0,1,0,1,0,0,0,1,
1,,9,canzone,abaC dbdC eef(f)G hhi(i)G,,7,Dunque mor’e viv’eo?,1,0,1,0,1,1,0,0,0,0,
1,,10,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"No, ma lo core meo",1,0,0,1,0,1,0,0,0,0,
1,,11,canzone,abaC dbdC eef(f)G hhi(i)G,,7,more più spesso e forte,1,0,0,1,0,1,0,0,0,0,
1,,12,canzone,abaC dbdC eef(f)G hhi(i)G,,7+4,"che non faria di morte naturale,",0,0,0,1,0,1,0,0,0,1,
1,,13,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"per voi, donna, cui ama,",0,1,1,0,0,1,0,0,0,0,
1,,14,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"più che se stesso brama,",1,0,0,1,0,1,0,0,0,0,
1,,15,canzone,abaC dbdC eef(f)G hhi(i)G,,7,e voi pur lo sdegnate:,0,1,1,0,0,1,0,0,0,0,
1,,16,canzone,abaC dbdC eef(f)G hhi(i)G,,7+4,"Amor, vostra ’mistate vidi male.",0,1,1,0,0,1,0,1,0,1,
1,,17,canzone,abaC dbdC eef(f)G hhi(i)G,,7,Lo meo ’namoramento,0,1,0,0,0,1,0,0,0,0,
1,,18,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"non pò parire in detto,",0,0,0,1,0,1,0,0,0,0,
1,,19,canzone,abaC dbdC eef(f)G hhi(i)G,,7,ma sì com’eo lo sento,0,1,0,1,0,1,0,0,0,0,
1,,20,canzone,abaC dbdC eef(f)G hhi(i)G,,11,cor no lo penseria né diria lingua;,1,0,0,0,0,1,0,0,1,1,
1,,21,canzone,abaC dbdC eef(f)G hhi(i)G,,7,e zo ch’eo dico è nente,0,1,0,1,0,1,0,0,0,0,
1,,22,canzone,abaC dbdC eef(f)G hhi(i)G,,7,inver’ ch’eo son distretto,0,1,1,0,0,1,0,0,0,0,
1,,23,canzone,abaC dbdC eef(f)G hhi(i)G,,7,tanto coralemente:,1,0,0,0,0,1,0,0,0,0,
1,,24,canzone,abaC dbdC eef(f)G hhi(i)G,,11,"foc’aio al cor non credo mai si stingua,",0,1,0,1,0,1,0,1,0,1,
1,,25,canzone,abaC dbdC eef(f)G hhi(i)G,,7,anzi si pur alluma:,1,0,0,1,0,1,0,0,0,0,
