#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,PercivalleDoriaDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Percivalle Doria,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg ,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,"# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati",,,,,,,,,,,,,,
#dc:source,"https://docs.google.com/spreadsheets/d/1p48yPMRIe5kzdHeMMZ1MLn0Fqk_qrWpGyrOT_sBY1wY/edit?usp=sharing",,,"# file da cui è stato esportato",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"Come lo giorno quand'è dal maitino,",1,0,0,1,0,0,1,0,0,1,
1,,2,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,"chiaro e sereno - e bell'è da vedere,",1,0,0,1,0,0,1,0,0,1,
1,,3,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"per che gli augelli fanno lor latino,",0,0,0,1,0,1,0,0,0,1,
1,,4,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,"cantare fino, - e pare dolze audire;",0,1,0,1,0,1,0,1,0,1,
1,,5,canzone,A(a)B A(a)B CCdDE(e)FF,,11,e poi ver' mezo il giorno cangia e muta,0,1,0,1,0,1,0,1,0,1,
1,,6,canzone,A(a)B A(a)B CCdDE(e)FF,,11,e torna in pioggia la dolze veduta,0,1,0,1,0,0,1,0,0,1,
1,,7,canzone,A(a)B A(a)B CCdDE(e)FF,,4/5,che mostrava;,0,0,1,0,0,0,0,0,0,0,
1,,8,canzone,A(a)B A(a)B CCdDE(e)FF,,11,lo pellegrino ca sicuro andava,0,0,0,1,0,0,0,1,0,1,
1,,9,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"per l'alegrezza de lo giorno bello,",0,0,0,1,0,0,0,1,0,1,
1,,10,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,"diventa fello, - pieno di pesanza:",0,1,0,1,0,1,0,0,0,1,
1,,11,canzone,A(a)B A(a)B CCdDE(e)FF,,11,così m'à ffatto Amore a sua possanza;,0,1,0,1,0,1,0,0,0,1,
1,,12,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"così m'à ffatto Amor certanamente,",0,1,0,1,0,1,0,0,0,1,
1,,13,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,ca 'mprimamente - d'amor mi mostrava,0,0,0,1,0,0,1,0,0,1,
1,,14,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"sollazzo e tuto ben de la più gente,",0,1,0,1,0,1,0,0,0,1,
1,,15,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,poi per neiente - lo cor mi cangiava;,1,0,0,1,0,0,1,0,0,1,
1,,16,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"ch'io mi credea laudar tuta mia vita,",1,0,0,1,0,1,1,0,0,1,
1,,17,canzone,A(a)B A(a)B CCdDE(e)FF,,11,avere grande ben di sua partita,0,1,0,1,0,1,0,0,0,1,
1,,18,canzone,A(a)B A(a)B CCdDE(e)FF,,4/5,"e star baldo,",0,0,1,0,0,0,0,0,0,0,
1,,19,canzone,A(a)B A(a)B CCdDE(e)FF,,11,quella ch'avanza giachinto e smeraldo,1,0,0,1,0,0,1,0,0,1,
1,,20,canzone,A(a)B A(a)B CCdDE(e)FF,,11,ed àve le bellezze ond'io disvio:,0,1,0,0,0,1,0,1,0,1,
1,,21,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,"or sento e vio - che gran follia lo tira,",0,1,0,1,0,0,0,1,0,1,
1,,22,canzone,A(a)B A(a)B CCdDE(e)FF,,11,chi lauda il giorno avanti che sia sera.,0,1,0,1,0,1,0,0,0,1,
1,,23,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"Per voi, madonna, con tante bellezze,",0,1,0,1,0,0,1,0,0,1,
1,,24,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,sanza ferezze - lo mio cor sotrasse,1,0,0,1,0,0,0,1,0,1,
1,,25,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"e sì m'à preso e tene l'adornezze,",0,1,0,1,0,1,0,0,0,1,
1,,26,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,vostra bellezze - che 'l mio core atrasse.,1,0,0,1,0,0,0,1,0,1,
1,,27,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"Perché mi siete fatta sì orgogliosa,",0,1,0,1,0,1,0,0,0,1,
1,,28,canzone,A(a)B A(a)B CCdDE(e)FF,,11,oi gentil donna bene aventurosa?,0,0,1,1,0,1,0,0,0,1,
1,,29,canzone,A(a)B A(a)B CCdDE(e)FF,,4/5,Se pensate,0,0,1,0,0,0,0,0,0,0,
1,,30,canzone,A(a)B A(a)B CCdDE(e)FF,,11,come s'avene a donna in veritate,1,0,0,1,0,1,0,0,0,1,
1,,31,canzone,A(a)B A(a)B CCdDE(e)FF,,11,mostrare amore e metere in erore,0,1,0,1,0,1,0,0,0,1,
1,,32,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,"suo servidore - e sì fedele amante,",1,0,0,1,0,0,0,1,0,1,
1,,33,canzone,A(a)B A(a)B CCdDE(e)FF,,11,tu doni e tolli come fa lo fante.,0,1,0,1,0,0,0,1,0,1,
1,,23,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"Assai val meglio lo no incomenzare,",0,1,0,1,0,0,0,0,0,1,
1,,24,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,"ca, poi lo fare, - non val ripentanza:",0,1,0,1,0,0,1,0,0,1,
1,,25,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"per voi m'à messo, bella, Amore in mare;",0,1,0,1,0,1,0,1,0,1,
1,,26,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,fàme tornare - a porto d'allegranza.,1,0,0,1,0,1,0,0,0,1,
1,,27,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"Che voi m'avete tolto remi e vela,",0,1,0,1,0,1,0,1,0,1,
1,,28,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"e travagli'à lo meo core, né spera",0,0,1,1,0,0,1,0,0,1,
1,,29,canzone,A(a)B A(a)B CCdDE(e)FF,,4/5,"ei, donna mia,",1,1,0,1,0,0,0,0,0,0,
1,,30,canzone,A(a)B A(a)B CCdDE(e)FF,,11,poi m'ài levata la tua compagnia.,1,0,0,1,0,0,1,0,0,1,
1,,31,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"Rendetelami, donna, tutta en una,",0,1,0,0,0,1,0,1,0,1,
1,,32,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,"che no è in fortuna - tuttavia lo Faro,",0,1,0,1,0,0,0,1,0,1,
1,,33,canzone,A(a)B A(a)B CCdDE(e)FF,,11,e presso a notte vene giorno chiaro.,0,1,0,1,0,1,0,1,0,1,
1,,34,canzone,A(a)B A(a)B CCdDE(e)FF,,11,Plui bella par la mare e più sollazza,0,1,0,1,0,1,0,1,0,1,
1,,35,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,quand'è 'n bonazza - che quand'è turbata:,0,1,0,1,0,0,0,1,0,1,
1,,36,canzone,A(a)B A(a)B CCdDE(e)FF,,11,la vostra cera che 'l meo core allazza,0,1,0,1,0,0,0,1,0,1,
1,,37,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,par ch'a voi plazza - che m'è curuzzata.,1,0,1,1,0,0,1,0,0,1,
1,,38,canzone,A(a)B A(a)B CCdDE(e)FF,,11,Che non è donna che sia tanto bella,0,0,0,1,0,0,1,0,0,1,
1,,39,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"che, s'ella mostra vista e gronda fella,",0,1,0,1,0,1,0,1,0,1,
1,,40,canzone,A(a)B A(a)B CCdDE(e)FF,,4/5,che non desdica:,0,0,0,1,0,0,0,0,0,0,
1,,41,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"però vi priego, dolce mia enemica,",0,1,0,1,0,1,0,1,0,1,
1,,42,canzone,A(a)B A(a)B CCdDE(e)FF,,11,"da voi si mova merzede e pietanza,",0,1,0,1,0,0,1,0,0,1,
1,,43,canzone,A(a)B A(a)B CCdDE(e)FF,,5+6,"sì che d'erranza - mi traggiate, donna,",1,0,0,1,0,0,0,1,0,1,
1,,44,canzone,A(a)B A(a)B CCdDE(e)FF,,11,che di mia vita voi siete colonna.,0,0,0,1,0,0,1,0,0,1,
2,,1,canzone,abc abc ddee(g)FF,,7,Amore m'àve priso,0,1,0,1,0,1,0,0,0,0,
2,,2,canzone,abc abc ddee(g)FF,,7,e misso m'à 'n balia,0,1,0,1,0,1,0,0,0,0,
2,,3,canzone,abc abc ddee(g)FF,,7,d'altr'amore salvaggio;,1,0,1,0,0,1,0,0,0,0,
