#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,PierdellaVignaDiGirolamo2008,,,,,,,,,,,,,,,,,
#dc:description,Fellowship Marco Praloran 2013,,,,,,,,,,,,,,,,,
#dc:author,Pier della Vigna,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:data,1200-01-01/1300-01-01,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem aaaa-mm-gg/aaaa-mm-gg,,,,,,,,,,,,,,
#dc:source,"Di Girolamo, 2008",,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/MIL0749010,,,# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,https://docs.google.com/spreadsheets/d/1_N-5t_p0xGbnFpSfEyPZ1NEcP5A8WP3nVVDFXhQylDg/edit?usp=sharing,,,# file da cui è stato esportato,,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:provenance,Fondazione Ezio Franceschini ONLUS,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sottogruppo,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,1,canzone,aBC aBC Def(f)ED,,7,Poi tanta caunoscenza,0,1,0,0,0,1,0,0,0,0,
1,,2,canzone,aBC aBC Def(f)ED,,11,e compimento di tutte bellore,0,0,0,1,0,0,1,0,0,1,
1,,3,canzone,aBC aBC Def(f)ED,,11,"senza mancare natura li à dato,",1,0,0,1,0,0,1,0,0,1,
1,,4,canzone,aBC aBC Def(f)ED,,7,no mi ven mai increscenza,0,0,0,1,0,1,0,0,0,0,
1,,5,canzone,aBC aBC Def(f)ED,,11,penare lungamente per suo amore:,0,1,0,0,0,1,0,0,0,1,
1,,6,canzone,aBC aBC Def(f)ED,,11,"quanto più peno e più serò inalzato,",1,0,0,1,0,1,0,1,0,1,
1,,7,canzone,aBC aBC Def(f)ED,,11,in sì gran sicuranza Amor m'à miso,0,0,1,0,0,1,0,1,0,1,
1,,8,canzone,aBC aBC Def(f)ED,,7,"in del suo gran valere,",0,0,1,0,0,1,0,0,0,0,
1,,9,canzone,aBC aBC Def(f)ED,,7,a cui son tutto dato,0,1,0,1,0,1,0,0,0,0,
1,,10,canzone,aBC aBC Def(f)ED,,5+6,"e infiammato - di sì bon volere,",0,0,0,1,0,0,0,1,0,1,
1,,11,canzone,aBC aBC Def(f)ED,,11,com'albore che d'ellera è sorpreso.,0,1,0,0,0,1,0,0,0,1,
1,,12,canzone,aBC aBC Def(f)ED,,7,Lo veder mi sotrasse,0,0,1,0,0,1,0,0,0,0,
1,,13,canzone,aBC aBC Def(f)ED,,11,"sì come il ferro fa la calamita,",0,1,0,1,0,1,0,0,0,1,
1,,14,canzone,aBC aBC Def(f)ED,,11,sì m'è viso ch'Amor mi sotraggesse;,1,0,1,0,0,1,0,0,0,1,
1,,15,canzone,aBC aBC Def(f)ED,,7,parse che mi furasse,1,0,0,0,0,1,0,0,0,0,
1,,16,canzone,aBC aBC Def(f)ED,,11,"subitamente cor e corpo e vita,",0,0,0,1,0,1,0,1,0,1,
